Unnamed: 0,p_val,avg_log2FC,p_val_adj
Tcea1,0.0573787409700722,-0.2828965571088134,0.1303895107300679
Smap1,0.5713582599031516,-0.049828867492909,0.6883483539020127
Phf3,0.1178062328531228,-0.2305490219460076,0.2225696637631805
Ptpn18,1.5876796062554575e-05,-0.5188027194438016,0.0005491048004073
Cox5b,0.0015241724220052,-0.1790615445137172,0.0098239840654698
Tmem131,0.0021592442645074,0.7514416867226204,0.0122472334682859
Mrpl30,0.0573787409700722,-0.1688584152343142,0.1303895107300679
Rpl31,0.0314201794077955,-0.077833339695707,0.0835906461543227
Map4k4,3.175359212510915e-05,0.4272782209045891,0.0007899402391825
Il1r2,0.0004763038818766,0.3731872515078822,0.0043019038503249
Nabp1,0.0029639058244674,0.9696015623595938,0.015170250184731
Stat4,0.0004140103241979,1.080115073539945,0.0042235010051267
Stat1,1.5876796062554575e-05,-1.187642638676866,0.0005491048004073
Stk17b,0.0007144558228149,-0.3651428394992881,0.0057562406633609
Sf3b1,0.0978804477256489,-0.1305987352827803,0.1922361147852772
Coq10b,0.0020123814286729,-0.7561560586407534,0.0122472334682859
Hspe1,0.0015241724220052,-0.2180586311758791,0.0098239840654698
Clk1,0.0473446058585377,-0.1475642170231614,0.1130212981606169
Ndufb3,0.0123997777248551,-0.2495999731900372,0.0436299871311278
Fam117b,0.0010637453361911,0.6026771897822953,0.0076181357915099
Arpc2,0.0007144558228149,-0.1528454455800112,0.0057562406633609
Dock10,0.2541239977772486,-0.1742484709351624,0.394253642065797
Sp140,1.5876796062554575e-05,-0.5080102429152094,0.0005491048004073
Ncl,0.5208065412399778,-0.0408546071268814,0.6541219446220448
Ptma,6.35071842502183e-05,-0.1186326317831565,0.001250738712039
Arl4c,0.0054933714376438,0.3159941775853207,0.024488965748667
St8sia4,0.0002423343526326,1.6082349198183876,0.0030369117403842
Dbi,0.0095578312296578,0.2387167505990389,0.0366297423882561
Actr3,6.35071842502183e-05,-0.2880922567344922,0.001250738712039
Ubxn4,0.0690958164642375,0.3568658817488667,0.1488825493691583
Cxcr4,0.0586340835608684,0.3931503801767555,0.1319732229989069
Mapkapk2,0.0097222837672139,-0.3040876923706737,0.0369603173777729
Nucks1,0.0314201794077955,-0.4555702308964748,0.0835906461543227
Snrpe,0.0690958164642375,-0.1174570412012141,0.1488825493691583
Ptprc,1.5876796062554575e-05,-0.4857567698174699,0.0005491048004073
Rgs1,0.0690958164642375,-0.14363453091162,0.1488825493691583
Ptgs2,0.0006056643678553,-1.7207995957100688,0.0052689084271092
Tpr,1.5876796062554575e-05,-0.5766802901668355,0.0005491048004073
Ier5,0.004096213384139,-0.3606459774684106,0.0191697378835283
Tor1aip1,0.0003733919657006,-1.8989402700755087,0.0038367377345177
Soat1,0.001542396104861,-2.447714017049206,0.0098964600755334
Prdx6,0.038707628800508,-0.2294652945442367,0.0974909727160219
Creg1,0.022796347982707,-0.3797675292252217,0.0701197862027733
Uck2,0.060587266201943,2.438909618714769,0.1361533177089622
Fcer1g,0.0007144558228149,-0.5803506162142468,0.0057562406633609
Pfdn2,0.0094769206997081,-0.4061923045446365,0.0366297423882561
Arhgap30,0.0016758358231059,-0.6661704337466337,0.010656211646476
Hnrnpu,0.0001111375724378,-0.3186647647153449,0.0017908304286
Acbd3,0.0365306772221386,0.6010459573674964,0.095866108849873
Cnih4,0.0045475302289993,-0.9362869139408878,0.0212118350813191
Celf2,0.0073033261887751,-0.4145465036320855,0.0296520256766931
Atp5c1,0.0003016591251885,-0.3223879514273549,0.0032652873245594
Pip4k2a,0.0021592442645074,-0.5018020654324207,0.0122472334682859
Apbb1ip,0.0031156560380675,-2.742713264669001,0.0157785723642132
Rpl7a,0.0001905215527506,-0.1301492511321943,0.0027015956180035
Set,0.0004763038818766,-0.3137124565946311,0.0043019038503249
Fnbp1,0.0015241724220052,0.3681875836450156,0.0098239840654698
Rpl12,0.2379772961816305,-0.0256504060285413,0.3728749237409415
Hspa5,0.0252441057394617,0.1634059831824897,0.0721696410051546
Traf1,0.0473446058585377,0.1800892820649237,0.1130212981606169
Gsn,0.0007144558228149,0.3374298048937597,0.0057562406633609
Ggta1,0.0017731114297543,0.8775816096395784,0.0110760881382889
Ndufa8,0.0001905215527506,-0.5004097848822141,0.0027015956180035
Psmb7,0.0351645196685477,-0.2471213613968487,0.0925107400556598
Gpd2,0.0694015268921112,0.4914061415551835,0.1488825493691583
Cytip,1.5876796062554575e-05,0.3340116188657425,0.0005491048004073
Dpp4,0.1503886102513491,-0.1984242605595377,0.2726995515810907
Ppig,0.0252441057394617,0.1680212583629502,0.0721696410051546
Hat1,0.0013094543395349,-1.6247831772647947,0.0092378420570173
Nfe2l2,0.0054933714376438,0.3965144915604198,0.024488965748667
Itga4,0.0001111375724378,0.4561220461184918,0.0017908304286
Itprid2,0.0002345546750104,1.922389964129552,0.0030369117403842
Cd44,0.0022725832923102,0.92816406044313,0.0127877901130788
Eif3m,0.0123997777248551,-0.2670832934265467,0.0436299871311278
