,KO_none,KO_node_1,KO_node_10,KO_node_11,KO_node_12,KO_node_13,KO_node_14,KO_node_15,KO_node_16,KO_node_17,KO_node_18,KO_node_2,KO_node_3,KO_node_4,KO_node_5,KO_node_6,KO_node_7,KO_node_8,KO_node_9
R,50.06588930104644,50.02171469084926,49.9785777213705,49.88743538728161,50.00629626939933,49.96175627641467,50.038423104932015,49.82754615591309,49.97759718426651,49.94508825499974,49.98435535764712,49.99122966812231,49.971039610875366,49.99065406639188,50.081560008865175,50.05218785644886,49.97168494458628,50.10636181119639,49.97610935733561
node_1,-34.692470366438556,0.0,-35.50555016581588,-35.04195839525323,-34.80861013265957,-35.580112726602955,-35.567643906700944,-35.028514453817955,-34.80059670798777,-35.52392017805821,-34.642327417662976,-35.25652841066706,-34.99653517595303,-35.088870032173766,-34.98609234727783,-34.8956866989082,-35.43668624782664,-34.49783387971965,-35.03048221474048
node_10,30.97996973176485,0.20236503981211904,0.0,31.709287055667104,30.699192963163384,32.2060076849932,31.720219506103675,31.66453101608353,31.46533772129937,31.45646259619627,30.903030654372156,31.408833130092425,31.075980785234748,31.392851438909588,30.795599587368187,31.0774260913297,31.222054974165413,30.560218254185106,30.925606569069764
node_11,-19.715614699276863,-0.17311105950863725,-19.89816811014401,0.0,-20.061199467093886,-19.89886573469132,-20.36177537428742,-20.666344424731427,-18.968595050206293,-19.891225357223433,-19.32707496445698,-0.034107439850339906,-19.148948444046727,-19.481739997816383,-19.753615543218825,-20.190745839379396,-19.977674190245796,-19.805859367451614,-20.584681624130962
node_12,-8.891080204007768,-0.7609451153920562,-9.078108005119361,-7.578960649970063,0.0,-8.031405057110991,-8.547166389155695,-8.702889398515241,-8.650600068290531,-8.844219682377622,-7.919992127617477,-8.396234006071477,-0.030319728403710902,-8.085806354616205,-7.885398220724618,-8.15327765836429,-9.2306700941573,-8.283854554920788,-8.498819463287889
node_13,-5.312084758355069,-0.17858194521722542,-5.788978944810205,-5.102455580524763,-5.099602176522362,0.0,-5.022393507636882,-5.118447572878454,-4.760207290813184,-5.877685368133042,-4.883691796572211,-5.382504774605694,-4.965395318381227,-0.06993024115437793,-5.1522743846233405,-5.076181237030065,-5.282743434202007,-5.078521211146278,-5.154433566325738
node_14,-2.7109157529371544,-0.31134956673143205,-3.276213910938213,-2.9217815720512856,-3.717904394221947,-2.8853442267691993,0.0,-3.071704849020681,-2.8522005454073627,-2.370432983786696,-2.8821891566229443,-2.845865502762719,-2.2638997817521194,-2.9822314630527593,-0.6710398157946513,-3.339518313903188,-2.421263640441561,-3.009847448013415,-1.912715724163539
node_15,-10.021868785016373,0.15687658354541545,-10.145358105206764,-10.077975736718136,-10.574068050806495,-9.61426069754982,-10.079877610618787,0.0,-9.67915660804689,-10.123122897108571,-10.241016972223845,-10.117836856226118,-9.669076482780442,-10.397604532242863,-9.803979655370732,-0.1860415483895769,-10.238374467595053,-10.122802531168084,-10.106070984512026
node_16,-4.016950829480469,0.25812143132005355,-4.074765446595923,-3.988408912090057,-4.214963764529452,-4.14509017402742,-3.808965445636517,-3.773217277238071,0.0,-4.530830562711861,-4.001792576428901,-3.16681281999752,-4.3436138114313865,-4.129967642484895,-4.92495130488389,-4.379736101676107,0.38380114458879555,-4.201764576637171,-4.705451508216174
node_17,-3.2471331694272125,-0.3276840815103059,-3.6154033096804357,-3.805176558523917,-3.4784129531446513,-3.035279340156626,-2.9499046255876276,-3.329612186414183,-3.8098719314281686,0.0,-3.153266606991979,-3.646426884649923,-3.373853900073774,-3.310868833499046,-2.5815753575691183,-3.3358795194646276,-3.011501372256674,0.532584629538166,-2.8998638618492363
