Edge Name,KO_pval,KO_median,wk3_pval,wk3_median,wk6_pval,wk6_median
Rpl13_T5<==>Rpl8_T5,0.1608403538502108,0.5476190476190477,0.0,1.0,0.1,0.8999999999999999
Ubl5_M0<==>Actr2_M0,0.1600256425388966,0.5476190476190477,0.0,1.0,0.0,1.0
Ubl5_T5<==>Cd164_M0,0.1810689024455748,0.5357142857142857,0.0,1.0,0.1,0.8999999999999999
Atp5l_M0<==>Rps2_M0,0.1713731965393057,0.5357142857142858,0.1,0.8999999999999999,0.1,0.8999999999999999
Rplp1_B5<==>Iglc1_B3,0.0644889862427802,-0.6785714285714286,0.1,-0.7999999999999998,0.1,-0.8999999999999999
Rpl4_B2<==>Rpl17_B2,0.1713731965393057,0.5357142857142858,0.1,0.8999999999999999,0.0,1.0
Dennd4a_B1<==>Cd14_M2,0.028683944153193,0.7619047619047619,0.0,1.0,0.1,0.8999999999999999
Fam214a_B3<==>Ighg1_B5,0.1885303699378417,-0.2600149733338185,0.0,-1.0,0.1256583509747431,-0.8743416490252568
Eef1a1_M0<==>Rpl10a_M0,0.0280049391530718,0.7619047619047619,0.1,0.8999999999999999,0.0,1.0
Rpl29_M0<==>Gnai2_T4,0.1827207505397149,0.4880952380952381,0.1,0.8999999999999999,0.0,1.0
Rpsa_B2<==>Rps4x_B2,0.1308793399965805,0.5833333333333334,0.0,1.0,0.1,0.8999999999999999
Rpsa_B2<==>mt-Atp6_B1,0.1948760002698574,0.5119047619047619,0.1,0.8999999999999999,0.0,1.0
Rpsa_B2<==>mt-Atp6_B2,0.1203464973074856,0.5952380952380952,0.1,0.8999999999999999,0.1,0.8999999999999999
Eef2_T5<==>Rps4x_B1,0.1267797411420836,0.6071428571428572,0.1,0.8999999999999999,0.1,0.8999999999999999
Txnrd1_M0<==>Cd14_M0,0.0372665857186195,0.7380952380952381,0.0,1.0,0.0,1.0
