celltype,gene,Salmonella_infNonTLSwk3_vs_IL10_KOnonTLS_FCmedian,Salmonella_infNonTLSwk3_vs_IL10_KOnonTLS_sign,Salmonella_infNonTLSwk3_vs_IL10_KOnonTLS_expr_Salmonella_infNonTLSwk3,Salmonella_infNonTLSwk3_vs_IL10_KOnonTLS_expr_IL10_KOnonTLS,Salmonella_infTLSwk6_vs_IL10_KOTLS_FCmedian,Salmonella_infTLSwk6_vs_IL10_KOTLS_sign,Salmonella_infTLSwk6_vs_IL10_KOTLS_expr_Salmonella_infTLSwk6,Salmonella_infTLSwk6_vs_IL10_KOTLS_expr_IL10_KOTLS,Salmonella_infTLSwk3_vs_IL10_KOTLS_FCmedian,Salmonella_infTLSwk3_vs_IL10_KOTLS_sign,Salmonella_infTLSwk3_vs_IL10_KOTLS_expr_Salmonella_infTLSwk3,Salmonella_infTLSwk3_vs_IL10_KOTLS_expr_IL10_KOTLS,Salmonella_infNonTLSwk6_vs_IL10_KOnonTLS_FCmedian,Salmonella_infNonTLSwk6_vs_IL10_KOnonTLS_sign,Salmonella_infNonTLSwk6_vs_IL10_KOnonTLS_expr_Salmonella_infNonTLSwk6,Salmonella_infNonTLSwk6_vs_IL10_KOnonTLS_expr_IL10_KOnonTLS
B0,Neurl3,-0.3855996181916518,negative,0.82893194421781,0.616816600864875,30.21811877468876,positive,0.0,1.2587000861325888,30.221168811876005,positive,0.0,1.257723419289044,-0.1211819360530497,negative,0.7207801777314224,0.6176648489736275
B0,Ighd,-0.1347532545854634,negative,1.65759755480314,1.506990348823397,-0.0577427826670563,negative,1.6482470025244325,1.58540191124307,0.0265085672390695,positive,1.5586579925557351,1.58470605634387,-0.1207569156195738,negative,1.64673387091928,1.5060545713906688
B0,Satb1,-0.0401934187432555,negative,2.098850616922375,2.0430847152111675,0.0287226350980237,positive,2.046299115258157,2.089395667416848,0.1076158592259558,positive,1.9316810127270951,2.089135228724384,-0.0786915783680544,negative,2.1556474751642627,2.0408634578157074
B0,Scd1,0.3436102136105748,positive,1.18100702950466,1.5069923503459826,0.0573440585227114,positive,1.44517793309778,1.50229149132361,0.131425377197027,positive,1.3722440765759152,1.502492997243816,-0.1520861039125796,negative,1.672837859991315,1.5073792707752451
B0,nan,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,
B0,nan,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,
B0,nan,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,
B0,nan,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,
B0,nan,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,
B0,nan,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,
B0,nan,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,
B0,nan,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,
B0,nan,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,
B0,nan,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,
B0,nan,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,
B0,nan,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,
B0,nan,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,
B0,nan,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,
B0,nan,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,
B0,nan,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,
B0,nan,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,
B0,nan,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,
B0,nan,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,
B0,nan,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,
B0,nan,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,
B0,nan,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,
B0,nan,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,
B1,Zbtb20,-0.7008515717251471,negative,1.927520588968295,1.1968743114532752,-0.8480738958611828,negative,1.8664383717652613,1.0368205648346414,-0.8800065341612122,negative,1.911309685125325,1.0377639520990525,-0.6133254633612839,negative,1.829526860282208,1.1958184068659712
B1,Celf2,0.1479163678643191,positive,1.506340544776535,1.6676932467583363,0.1890174421083433,positive,1.5607846569751826,1.7804849315931188,0.1685946740764925,positive,1.58613650533324,1.7808289737725589,0.0754379347519285,positive,1.5829494858912236,1.6671456328833625
B1,Irf2bp2,-0.2400361651786618,negative,1.0835619771471263,0.9123012071712602,-0.392754986430152,negative,1.056288579031985,0.8073634555120239,-0.4415886166941352,negative,1.0896266317818002,0.8114995084088812,-0.2384965850261332,negative,1.0884267391687308,0.915492720138465
B1,Itga4,-0.2477537991452462,negative,1.5206387744456975,1.2809051545589,0.1394128265854261,positive,1.3131276177335276,1.4469744196031424,-0.1182257027341684,negative,1.5663253475706425,1.447480929074839,-0.2617872429339938,negative,1.531225993388625,1.282976437916775
B1,Rilpl2,-30.28201302864312,negative,1.3988035307997349,0.0,-30.248126870674355,negative,1.2773718896825663,0.0,-30.128232952925902,negative,1.176283319914595,0.0,-30.122844129450502,negative,1.2715861453268225,0.0
B1,Pou2f2,-0.8574626176667128,negative,1.232254342944945,0.6834365951170522,-0.4229715464607565,negative,1.23329287761685,0.9206113910203064,-0.5172004144287607,negative,1.3048767419677212,0.9164308699211596,-0.8196075663696332,negative,1.1796609710674049,0.6717370242299965
B1,Plac8,-0.0827499186259391,negative,2.4583437913362003,2.317629679502472,0.1107413521913529,positive,2.298069793184048,2.4849363084166747,-0.0437533679167827,negative,2.558884695855728,2.483992871475221,0.1392430140468276,positive,2.105720427353531,2.3172226728227088
B1,Odc1,30.125423044941755,positive,0.0,1.244524948085401,0.1103306513725536,positive,1.2664686802205625,1.3647420457778914,0.4101397957277239,positive,1.021982652152166,1.3625035499300764,0.3451974110927982,positive,0.966387625222638,1.2443472022127162
B1,Ltb,-0.6176721620140418,negative,1.4901127946237,0.9760046468026752,-0.1945546923632949,negative,1.4101311065959763,1.2313457852414325,-0.204914457076532,negative,1.4160657104096126,1.2312342531397236,-0.4387815893205719,negative,1.3152371786393,0.9744318961374414
B1,Cd86,0.3060713567431483,positive,1.3418758416526426,1.659075658068995,0.2792536104680491,positive,1.5186925803245277,1.844202313746468,0.4029243620850236,positive,1.3936748252662126,1.8445458160990773,0.3523355869461381,positive,1.301158282439995,1.6590799928823077
B1,Capg,-0.376057288526134,negative,1.3405693719983938,1.0364467262450678,-0.6994943742745366,negative,1.1440238338509574,0.7065050136512889,-0.922846360550306,negative,1.317635889988865,0.6998073094829893,-0.2280737554339887,negative,1.2140889672813149,1.0344609548923636
B1,Swap70,-30.016237823079024,negative,1.1471295188265744,0.0,-1.3816967700058471,negative,1.3429706510490336,0.5148005797816398,-1.1138711611613528,negative,1.4879975766178375,0.6905050867798752,-30.062242392922776,negative,1.181729041777745,0.0
B1,Bcl2a1b,0.0,zero,0.0,0.0,0.6429865889491713,positive,0.6196063319941993,0.9722278923403868,1.033642590471362,positive,0.4666562946617855,0.9757229271794025,0.0,zero,0.0,0.0
B1,nan,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,
B1,nan,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,
B1,nan,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,
B1,nan,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,
B1,nan,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,
B1,nan,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,
B1,nan,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,
B1,nan,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,
B1,nan,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,
B1,nan,NA,NA,,,NA,NA,,,NA,NA,,,NA,NA,,
