Cell_Type,Unique_Node_Count
M3,465
B3,421
M0,371
M1,365
M4,361
B1,311
T5,299
M5,284
T2,268
T4,245
T1,202
B5,182
B4,174
T3,164
B2,135
T7,80
T0,79
M2,70
O7,64
O10,63
B0,63
T6,51
M7,48
B6_0,25
B7,17
T6_2,12
T6_3,8
O4,7
