gene_cell,source,log2fc_median_LP
Akr1a1_M3,DEG,-0.2389000404978449
Akr1a1_M4,DEG,-0.1836268704072126
Akr1a1_M5,DEG,-0.3003610406252081
Alcam_M4,DEG,0.4761295481574397
Aldh1a1_O13,Signature,0.4546428697823084
Aldh2_M3,DEG,2.2690407201130025
Aldh2_O7,DEG,-0.3641668959377809
Aldoa_B3,DEG,0.2641167113935266
Aldoa_M0,DEG,-0.5945262601349119
Aldoa_M5,DEG,-0.5741794344283464
Aldoa_O7,DEG,-0.3088772948214731
Aldoa_T0,DEG,-0.327159681146716
Aldoa_T2,DEG,-0.3135788298326092
Aldoa_T3,DEG,-2.3541992630861444
Aldoa_T5,DEG,-0.41631386083132
Alox5ap_M0,DEG,-0.7119050463207813
Alox5ap_M2,DEG,-0.308113553181865
Alox5ap_M3,DEG,-0.5228820159443502
Alox5ap_M4,DEG,-0.1241099548004166
Alox5ap_M5,DEG,-0.7285218600017094
Alyref_M3,DEG,-0.2055475880564936
Alyref_M4,DEG,-0.4104456300709095
Anapc13_B3,DEG,-0.3693353943339778
Anapc5_T5,DEG,-0.3301992493418931
Ankrd11_M3,DEG,-0.3186480965898562
Ankrd11_T1,DEG,-0.2156631926080877
Ankrd12_T4,DEG,-0.2592981735250247
Anp32a_M4,DEG,-2.26399670448608
Anp32b_M0,DEG,-0.7894303098935638
Anp32b_M3,DEG,-0.6663615248891128
Anp32b_M4,DEG,-0.2038151199788858
Anp32e_M3,DEG,-0.4329308684141311
Antxr1_O7,DEG,-1.2576124265604038
Antxr2_M1,DEG,0.6455341114565878
Antxr2_M4,DEG,1.1208809624369755
Anxa1_M4,DEG,0.3289117300597739
Anxa2_M3,DEG,0.1936685826577146
Anxa2_M4,DEG,0.7764776332759886
Anxa2_O4,DEG,0.3817361693703784
Anxa5_M1,DEG,0.0894448893848539
Anxa5_M3,DEG,0.0883344550499471
Anxa5_M4,DEG,0.5962167787515893
Anxa5_O13,DEG,0.2514263476635909
Anxa5_O4,DEG,0.2227472304415683
Anxa5_O7,DEG,0.3153360294699523
Anxa6_M4,DEG,0.1925339692492174
Ap2s1_M1,DEG,-0.3245038849398823
Ap2s1_M3,DEG,-0.2774954022388664
Apbb1ip_M3,DEG,-2.742713264669001
Apbb1ip_M4,DEG,-1.567560711452047
Apobec1_B4,Signature,1.6435817347914905
Apoe_B1,DEG;Signature,0.8076879853912977
Apoe_M0,DEG,1.1420370908759272
Apoe_M1,Signature,-0.2273896231842099
Apoe_O4,DEG,-0.8067993789103163
Apoe_O7,DEG,-1.3430798122680772
App_M0,DEG,-0.3545136006214183
App_M3,DEG,-0.3100059030044907
App_M5,DEG,-0.4436437511094792
App_O4,DEG,-0.244211767914268
App_O7,DEG,-0.3751558578076441
Appl1_M3,DEG;Signature,0.7585692767540436
Appl1_M4,DEG,0.7724090458783968
Aprt_M0,DEG,-0.2889574892235999
Aprt_M1,DEG,0.104655535784538
Ar_O7,DEG,-1.3376896673737502
Arap2_M3,DEG;Signature,1.3629967225937345
Arap2_M5,Signature,-0.5735437450285066
Arap2_T0,DEG;Signature,-0.4080274711631273
Arap2_T5,DEG,-1.1359714694644854
Arcn1_M3,DEG,0.4678031794365173
Areg_T8,Signature,-1.112104554273355
Arf1_B3,DEG,0.1356374288109114
Arf1_M0,DEG,-0.3345031391568974
Arf1_M3,DEG,-0.1340356971409756
Arf1_T1,DEG,0.0723354963658344
Arf4_B3,DEG,0.0954489394505792
Arf4_M3,DEG,0.2425290641480354
Arf4_M4,DEG,0.231832265301163
Arf4_O7,DEG,0.0835106423864761
Arf4_T2,DEG,-0.3049480899610555
Arf5_B3,DEG,0.1675018806647825
Arf5_M0,DEG,-0.2758593397525284
Arf5_T0,DEG,-0.6860565120820684
Arf5_T2,DEG,-0.336085999095101
Arf5_T3,DEG,-1.2068157318460695
Arhgap30_M3,DEG,-0.6661704337466337
Arhgap30_M4,DEG,-0.4225623311496804
Arhgap30_T5,DEG,-0.6640466555338085
Arhgap5_M4,DEG,-0.5705650123589818
Arhgdia_B3,DEG,0.21473612852916
Arhgdia_M0,DEG,-0.2518248570635328
Arhgdia_M3,DEG,-0.1537555509660711
Arhgdia_O7,DEG,-0.6968369584314229
Arhgdib_B3,DEG,0.4949096099683434
Arhgdib_M0,DEG,-0.178577291854835
Arhgdib_M2,DEG,-1.412627633269226
Arhgdib_M3,DEG,-0.4323239572408296
Arhgdib_M5,DEG,-0.3756145214177282
Arhgdib_T0,DEG,-0.4100038043390626
Arhgdib_T1,DEG,-0.2562316622084027
Arhgdib_T2,DEG,-0.2221951694820677
Arhgdib_T3,DEG,-0.4208773566483906
Arhgdib_T4,DEG,-0.3769921764112706
Arhgdib_T5,DEG,-0.3142517000365009
Arid4a_M4,DEG,-0.389567364285071
Arid4b_M3,DEG,-0.5511034082335846
Arid4b_M4,DEG,-0.4293219018353874
Arih1_M3,DEG,0.4464565241226353
Arl1_B3,DEG,-0.1885073525788832
Arl1_O4,DEG,-0.1411595231829995
Arl4c_M1,DEG,0.2977813431451346
Arl4c_M3,DEG,0.3159941775853207
Arl4c_M4,DEG,3.202148068769802
Arl4c_M5,DEG,0.3731339232016434
Arl4c_M6,DEG;Signature,1.022634491433926
Arl6ip1_T2,DEG,0.2266465279760848
Arl6ip1_T3,DEG,0.5274759068522303
Arl6ip1_T5,DEG,0.3279576423113378
Arpc1b_B1,DEG,-0.3238189680911247
Arpc1b_B2,DEG,-0.2070662135369462
Arpc1b_B3,DEG,0.31925562021128
Arpc1b_M0,DEG,-0.1235206238520522
Arpc1b_M1,DEG,-0.1092554222439947
Arpc1b_M2,DEG,-0.134592844955368
Arpc1b_M3,DEG,-0.1328906509571891
Arpc1b_M5,DEG,-0.2011385066482311
Arpc1b_O10,DEG,-0.2628343345147549
Arpc1b_O4,DEG,-0.2624239386477998
Arpc1b_O7,DEG,-0.4631565211300161
Arpc1b_T0,DEG,-0.4028866781328286
Arpc1b_T1,DEG,-0.3089197365584132
Arpc1b_T2,DEG,-0.3561179536769291
Arpc1b_T3,DEG,-0.3220348845510945
Arpc1b_T4,DEG,-0.2982431135765315
Arpc1b_T5,DEG,-0.2379694521974664
Arpc2_B3,DEG,0.1955708895346934
Arpc2_M0,DEG,-0.1514707641113124
Arpc2_M2,DEG,-0.0974518583394211
Arpc2_M3,DEG,-0.1528454455800112
Arpc2_M4,DEG,-0.0740300279337764
Arpc2_T3,DEG,-0.1146457624983448
Arpc2_T4,DEG,0.0738160670423344
Arpc2_T5,DEG,-0.112351313639314
Arpc3_B3,DEG,0.3203698309416718
Arpc3_M0,DEG,0.0940379145067896
Arpc3_M1,DEG,0.0831963517463713
Arpc3_M2,DEG,0.3192927800413733
Arpc3_M3,DEG,0.091005961648501
Arpc3_M4,DEG,0.0739891641622735
Arpc3_M5,DEG,0.2013725973881941
Arpc3_T1,DEG;Signature,0.332877343378926
Arpc3_T2,DEG,0.1811619746994677
Arpc3_T3,DEG,0.1993493140882416
Arpc3_T4,DEG,0.1040135508354803
Arpc3_T5,DEG,0.1963488324700788
Arpc3_T7,DEG,0.0854902935323261
Arpc4_M0,DEG,-0.3109386893948923
Arpc4_M1,DEG,-0.2923227009225508
Arpc4_M3,DEG,-0.3093897898466634
Arpc4_M4,DEG,-0.2382521972529819
Arpc4_T5,DEG,-0.1633677873016077
Arpc5_M4,DEG,-0.1301376275201756
Arpc5_M6,DEG,0.5805016292070709
Arpc5_T1,DEG,0.2191444339699404
