gene_cell,source,log2fc_median_TLS
Fcer1g_M0,DEG,-0.2406920620599484
Fcer1g_M1,DEG,-0.1614884198109306
Fcer1g_M3,DEG,0.4684394892868401
Fcer1g_M5,DEG,-0.9021408850529096
Fcer1g_T7,Signature,-0.0339245174008601
Fcgr2b_M0,DEG,-1.9426404291718795
Fcgr3_M0,DEG,-1.6732101866307143
Fcgr3_M1,DEG,-0.2981743558318819
Fcrla_B2,Signature,
Fcrla_M7,Signature,-0.1661101626173751
Fem1c_M1,DEG,0.2513572106148638
Fem1c_M3,DEG,0.3438207631656735
Fem1c_M4,DEG,0.7506287031831635
Fermt1_O15,Signature,-2.593099441617234
Fermt3_M1,DEG,-1.8899910768781207
Fermt3_M3,DEG,-1.4180463633748746
Fermt3_M4,DEG,-0.8086458693212006
Fermt3_M5,DEG,-1.129592109798394
Fermt3_T5,DEG,-2.7730527430727605
Fgfr1op_M4,DEG,-1.6856256201299114
Fgl2_M0,DEG,-2.2425699067237503
Fgl2_M3,DEG,-0.6168004553009354
Fgl2_M4,DEG,-0.8754072377856981
Fgl2_M6,Signature,0.5229165730249858
Fgl2_T8,Signature,1.854835018845776
Fhl2_O13,Signature,0.8434519037004433
Fis1_M0,DEG,-2.294898600673758
Fis1_M5,DEG,-0.6414506773950428
Fis1_T4,DEG,-0.204028567114495
Fkbp11_B3,Signature,-0.282274968884206
Fkbp1a_M1,DEG,0.3377864571154066
Fkbp1a_M3,DEG,0.2953046261060259
Fkbp2_B3,Signature,-0.044359981252175
Fkbp3_B4,DEG,-0.2917693779069815
Fkbp3_T4,DEG,-2.5083438960508544
Fkbp3_T5,DEG,-0.3022237186105967
Fkbp8_T5,DEG,-1.4109829456156344
Fli1_M4,DEG,1.4172739016954683
Flt1_O10,Signature,0.1390363400684229
Flt3_M4,Signature,-0.4787770810063584
Fmnl2_M4,DEG,-1.6428260457828183
Fnbp1_M3,DEG,-0.3770719678302119
Fnbp1_M5,DEG,0.3901510200319381
Fndc1_O7,Signature,0.350970841839358
Fndc3a_B3,DEG,0.0870883016477123
Fnip1_M3,DEG,0.9673152609344948
Fos_M1,DEG,0.1193884289613348
Fos_M3,DEG,1.1230166478878272
Fos_M4,DEG,-0.9035580405512296
Fos_T8,Signature,0.7662772301882592
Fosb_B3,DEG,-1.8107660886419883
Fosb_M1,DEG,-0.8898624793246737
Fosb_T8,Signature,0.9648361473567014
Fosl2_M3,DEG,0.2008914036787303
Fosl2_M5,DEG,0.5586366290770268
Fosl2_T7,DEG,0.1054135908276134
Foxn3_M3,DEG,0.3134886632750943
Foxn3_M4,DEG,2.293753599763776
Foxn3_M5,DEG,1.423681177073366
Foxo1_T5,DEG,0.7796810895811409
Foxp1_B2,Signature,-0.0252164086716968
Foxp1_B3,DEG,1.4992580080054512
Foxp1_B4,DEG,0.1177408240054624
Foxp1_B5,DEG,-0.1622255422356637
Foxp1_M1,DEG,0.6757120739704491
Foxp1_M3,DEG,0.6399066264638018
Foxp1_M4,DEG,0.3269054765303539
Foxp1_M5,DEG,0.8154347168521743
Foxp1_T6,Signature,0.0055329156204644
Foxp1_T6_3,Signature,0.03652082439061
Fstl1_O13,DEG,0.2122300659126733
Fth1_B0,Signature,0.0437949785450496
Fth1_B1,DEG,0.0052743551920311
Fth1_B7,DEG,-0.8749913789676933
Fth1_M0,DEG,-0.1598732158554771
Fth1_M1,DEG,-0.034486851474101
Fth1_M3,DEG,0.1604458940802747
Fth1_M5,DEG,-0.2174272427325282
Fth1_O7,DEG,-0.2779082145725545
Fth1_T4,DEG,0.0308409689715732
Ftl1_B5,DEG,0.1649614678882615
Ftl1_M0,DEG,-0.1404047648151297
Ftl1_M1,DEG,-0.0642288536534491
Ftl1_M3,DEG,0.2661511132646802
Ftl1_M4,DEG,0.0289994958070189
Ftl1_T1,DEG,-0.2223538652197305
Ftl1_T2,DEG,-0.188200263453631
Fuca1_M1,DEG,-1.9800905639873867
Fuca1_M3,DEG,-1.903566192711301
Fuca1_M4,DEG,-0.5024631360476621
Fuca1_M5,DEG,-0.9713907613090392
Furin_B6_0,Signature,
Furin_M5,DEG,-0.6042332000749571
Furin_T4,DEG,-0.5006248202655625
Furin_T5,DEG,-0.6738018489201791
Fus_B1,DEG,-0.1100026104115401
Fus_B4,DEG,-0.1957758918172621
Fus_M0,DEG,-1.9179569699238035
Fxyd1_O7,DEG,-0.6460534947662341
Fxyd5_B3,DEG,1.272400571713305
Fxyd5_M0,DEG,-0.3436123872714498
Fxyd5_M1,DEG,-0.1942657601270614
Fxyd5_M5,DEG,-0.3079124461688877
Fyb_B6_0,Signature,-0.526007082307459
Fyb_M0,DEG,-0.5721651222804371
Fyb_M1,DEG,-0.4173562261581854
Fyb_M3,DEG,0.6950232848524782
Fyb_M5,DEG,-0.7514855217588404
Fyb_T1,DEG,-0.3728013417030593
Fyb_T2,DEG,-0.1653381507449972
Fyb_T3,DEG,-0.272767793141591
Fyb_T6_3,Signature,-0.0012224413921976
Fyn_M4,DEG,0.5305743835948417
Fyn_T1,DEG,-1.9755663452619456
Fyn_T3,DEG,-0.3816702223204335
Fyn_T5,DEG,-0.7536321535460682
Fzd1_O4,Signature,0.2450590536017439
G0s2_M2,Signature,0.0226362230943667
G3bp1_M1,DEG,0.2627097005732043
G3bp1_M5,DEG,0.3822383183768078
Gabarap_M3,DEG,0.1128887720049791
Gabarap_T1,DEG,-0.1738292199408557
Gabarapl2_B3,DEG,0.080969831372815
Gabarapl2_B4,DEG,0.1559278683832923
Gabarapl2_M1,DEG,-1.3573181221322177
Gabarapl2_M3,DEG,-2.0039332148941327
Gabarapl2_T0,DEG,-2.1304431244785524
Gadd45b_M0,DEG,-0.7294174183405882
Gadd45b_M3,DEG,0.1474075311863837
Gadd45b_O13,DEG,-2.3406060729040528
Gadd45b_T2,DEG;Signature,-0.2969696203880425
Gadd45b_T8,Signature,2.4296120984154177
Gapdh_B1,DEG,-0.3353879077431639
Gapdh_B4,DEG,-0.1768656063115387
Gapdh_M0,DEG,-0.3768260146468845
Gapdh_M2,DEG,-2.163958477493822
Gapdh_M3,DEG,-0.2735071436797005
Gapdh_T2,DEG,-0.1181454596528158
Gapdh_T5,DEG,-0.2037794855337429
Gas5_B3,DEG,0.3807861831522647
Gas5_M3,DEG,-0.6877023703450305
Gas5_M4,DEG,0.0139905624095064
Gas5_M5,DEG,0.3259989337627109
Gas5_T1,DEG,0.1372504961117518
Gas5_T3,DEG,0.1363833735472664
Gask1b_O4,Signature,0.6613852442287982
Gatm_M0,DEG,-1.6582297271711652
Gatm_M1,DEG,-0.3787349546458816
Gatm_M3,DEG,0.8639817081147878
Gatm_M4,DEG,-0.7670148092173242
Gatm_M5,DEG,-2.87382467588516
Gbp2_O10,DEG,-1.4388561457898532
Gbp7_O10,DEG,-1.1177569709031312
Gch1_B5,Signature,-0.1253531444026697
Gcnt2_M7,DEG,1.1150461604783897
Gde1_M1,DEG,-0.5191299499142973
Gdi2_B3,DEG,0.0276923060342654
Gdi2_B4,DEG,-0.1460246345389292
Gdi2_B5,DEG,-0.3429376137583721
Gdi2_M3,DEG,-0.3233834910763608
Gdi2_M5,DEG,0.1663147777656968
Gdi2_O10,DEG,-2.3464776460780064
Gdi2_T5,DEG,-0.1650807380274875
Gdpd3_B1,DEG,0.1238089850481477
Gdpd3_B3,DEG,0.4514032781945659
Gdpd3_B4,DEG,0.7640716930493576
Gdpd3_M0,DEG,-0.4858868922320485
Gdpd3_M2,DEG,0.2235884351610487
Gdpd3_M3,DEG,1.1847767055210217
Gdpd3_M4,DEG,0.4215003913209383
Gdpd3_T2,Signature,-0.1060065177249707
Gfod1_M4,DEG,0.6074017260427771
Gfpt1_M4,DEG,0.9646080425734528
Gfpt2_O7,Signature,0.6443318964464954
Ggta1_M1,DEG,0.2248217843940149
Ggta1_M3,DEG,0.6559302880182933
Ghr_O4,Signature,
Gimap1_T1,DEG,-0.2609108206108873
Gimap1_T2,DEG,-0.2000984820976095
Gimap3_M5,DEG;Signature,-0.7655636863128423
Gimap3_T1,DEG,-0.2528398464669748
Gimap3_T2,DEG,-0.4755804563284049
Gimap3_T3,DEG,-0.1675112780103753
Gimap4_M5,DEG;Signature,-1.658471963964809
Gimap4_T0,Signature,-0.1144804183566832
Gimap4_T1,DEG,-0.261865971835491
Gimap4_T2,DEG,-1.715468170378312
Gimap4_T3,DEG;Signature,-0.1802205400040603
Gimap4_T5,DEG,-0.7288405082449831
Gimap5_T3,Signature,-0.9923856626787428
Gimap6_B0,DEG,-0.3140726051205396
Gimap6_B1,DEG,-0.4283662311820251
Gimap6_B2,DEG;Signature,-0.1874004344439477
Gimap6_B4,DEG,-0.8449278682447224
Gimap6_B5,DEG,-0.5051307745618541
Gimap6_M5,DEG;Signature,-0.7784026352190135
Gimap6_O10,Signature,-0.1672052908131393
Gimap6_T1,DEG,-0.4132587081613817
Gimap6_T2,DEG,-0.651957854975336
Gimap6_T3,DEG;Signature,-0.1490910679205016
Gimap6_T5,DEG,-0.7141177595452874
Gimap6_T6,DEG,-0.1865853615077254
Gimap7_T0,Signature,0.1402460542478155
Gimap7_T3,Signature,-0.1062927971634191
Gimap7_T5,DEG,-0.8702172169050648
Gja1_O10,DEG,0.7841405900182213
Glipr1_B3,DEG,0.0630232065049708
Glo1_T5,DEG,-1.0594585618174368
Glrx3_B4,DEG;Signature,0.3432465362610691
Glrx3_T5,DEG,-2.518060091736577
Glrx_M5,DEG,-2.102825843853725
Gls_M3,DEG,0.1529489160372955
Gltp_M4,DEG,-0.4983965369145028
Gltp_M7,DEG,-0.4830388468549483
Glud1_M3,DEG,-0.1330127507496441
Gm10076_M3,DEG,-0.5304656510337784
Gm13889_O13,Signature,-0.8333551582173524
Gm15056_M0,Signature,
Gm26917_B7,Signature,1.3769108676172397
Gm2a_M3,DEG,-0.2145978782191735
Gm42418_B0,DEG,0.1683252616512994
Gm42418_B1,DEG,0.1987455152148175
Gm42418_B2,DEG,0.206927002654074
Gm42418_B3,DEG,0.2002066063171371
Gm42418_B4,DEG,0.2115543769094769
Gm42418_B5,DEG,0.2010924552707187
Gm42418_B6_0,DEG,0.1402216637530965
Gm42418_B7,Signature,0.3826209835561479
Gm42418_M0,DEG,0.313322693633158
Gm42418_M1,DEG,0.1960673640333316
Gm42418_M2,DEG,0.1899597719996747
Gm42418_M3,DEG,0.4570969577990058
Gm42418_M4,DEG,0.1681608238201342
Gm42418_M5,DEG,0.1328728464658595
Gm42418_M7,DEG,0.1576816045617204
Gm42418_O10,DEG,0.1262022379194089
Gm42418_T0,DEG,0.1295481545787939
Gm42418_T1,DEG,0.1296459582822227
Gm42418_T2,DEG,0.1530545944309201
Gm42418_T3,DEG,0.13322879080798
Gm42418_T4,DEG,0.1356416167378331
Gm42418_T5,DEG,0.2525522146350787
Gm42418_T6,DEG,0.1806792652127806
Gm42418_T7,DEG,0.190040728247629
Gm47283_T5,DEG,-0.5629756720421987
Gm5547_B3,DEG,0.3934169479540755
Gm8369_T0,Signature,-2.1026633353959787
Gm8369_T6,DEG;Signature,-0.3399045344777611
Gm8369_T6_3,Signature,-0.571727428659476
Gm8797_B3,DEG,0.436051473607676
Gmfg_B1,DEG,-0.4433121849571558
Gmfg_M0,DEG,-0.5231534862320177
Gmfg_M1,DEG,-0.1221557539623001
Gmfg_M3,DEG,-0.1892531714730952
Gmfg_M5,DEG,-0.3811959752814032
Gmfg_T2,DEG,-0.7451945011047917
Gmfg_T3,DEG,-0.3869012414905718
Gmfg_T4,DEG,-0.4685830742188126
Gmfg_T6,DEG,-0.2540781880307754
Gna13_B4,DEG,0.2130648256410625
Gna13_B5,DEG,-0.1937875270426425
Gna13_M0,DEG,-0.6413749161507174
Gna13_M1,DEG,0.1369555220581996
Gna13_M3,DEG,0.513305075266548
Gna13_M4,DEG,0.1769200305615497
Gna13_M7,DEG,0.2177316779164947
Gna13_T1,DEG;Signature,0.3180692261255323
Gna13_T2,DEG,0.4321371473398481
Gna13_T3,DEG,0.3045382916714943
Gna13_T4,DEG,0.067151824458315
Gna13_T5,DEG,0.8894204942337689
Gna13_T7,DEG,0.0146666729098195
Gnai1_O13,Signature,
Gnai2_B1,DEG,-0.1866585165454101
Gnai2_B5,DEG,-2.559337322870607
Gnai2_M0,DEG,-0.2304940788140213
Gnai2_M1,DEG,-0.0940338029079833
Gnai2_M3,DEG,-0.2071116385495535
Gnai2_O10,DEG,-0.2334414138124214
Gnai2_T4,DEG,-0.1625879370692063
Gnas_B1,DEG,-0.0878926514393667
Gnas_B3,DEG,0.088676328235908
Gnas_B5,DEG,-0.1534550931830887
Gnas_M3,DEG,-0.1140846101629975
Gnas_M5,DEG,0.1411767553004006
Gnas_T2,DEG,-0.2717952443467171
Gnas_T4,DEG,-0.1305180968144369
Gnas_T5,DEG,-0.1660192531407975
Gnas_T7,DEG,-0.166959570460049
Gnb1_M0,DEG,-0.8130720456300664
Gnb2_M0,DEG,-0.6052939899282163
Gnb2_M3,DEG,-0.2062797571939058
Gnb2_M4,DEG,-0.3052523226001725
Gnb2_M5,DEG,-0.2275516903033559
Gng10_B4,DEG,-0.5657335432480086
Gng10_M3,DEG,-1.4691780116518092
Gng10_M4,DEG,-0.1842303021418268
Gng10_T5,DEG,-0.303153636415975
Gng11_O13,DEG,-1.420233740879543
Gng2_M4,DEG,-0.5978584244028304
Gng2_T5,DEG,-0.529707938861537
Gng5_B1,DEG,0.126646054739398
Gng5_B3,DEG,0.1809797916910432
Gng5_B4,DEG,0.0498621182153424
Gng5_B5,DEG,0.2899355198930812
Gng5_M2,DEG,0.1862567710478606
Gng5_M4,DEG,0.085889376415429
Gng5_M7,DEG,0.2466986282026552
Gng5_T1,DEG,0.1120251045274473
Gng5_T2,DEG,0.1456527028946808
Gng5_T3,DEG,0.0395733692108048
Gng5_T5,DEG,0.1161816595631842
Gngt2_M0,DEG,-0.7014689590974867
Gngt2_M1,DEG,-0.2196289779987367
Gns_M1,DEG,-0.2875906417187993
Gns_M3,DEG,0.8446312776339169
Gns_M4,DEG,-0.4749512415312575
Got1_M1,DEG;Signature,0.9980053807878464
Got1_M3,DEG,0.9363561277202844
Got1_M4,DEG,0.5876535629573836
Got1_M5,DEG,0.9233412737156692
Got1_T2,DEG;Signature,0.3500574945328117
Got2_M4,DEG,-0.3923430901227992
Gpbp1_M3,DEG,-0.3216267181636872
Gpc3_O7,Signature,
Gpcpd1_M4,DEG,0.8345985546863535
Gpi1_B4,DEG,-0.4499119228474429
Gpi1_M1,DEG,-0.3580582016031588
Gpi1_M3,DEG,-0.2802687683634825
Gpi1_M4,DEG,-0.2764181780340399
Gpr132_M1,DEG,0.3648972259633499
Gpr137b_M3,DEG,-0.4929643222056078
Gpr141b_M4,Signature,
Gpr171_M4,DEG;Signature,0.4005787830724222
Gpr183_B5,Signature,-0.0698088167443844
Gpr183_M1,DEG;Signature,0.0056974453663494
Gpr183_M3,DEG,0.3008255741845943
Gpr183_M5,DEG,1.5264111120473864
Gpr183_T4,Signature,-0.0133867787461406
Gpsm3_M4,DEG,-0.756235737195516
Gpx1_M0,DEG,-0.2241588681602305
Gpx1_M1,DEG,-0.2062718065919548
Gpx1_M3,DEG,-0.1660392336506642
Gpx1_M4,DEG,-0.2740509446159824
Gpx1_T4,DEG;Signature,0.2933174148796282
Gpx1_T5,DEG,0.7099105219943508
Gpx4_B1,DEG,0.1312266242912755
Gpx4_B3,DEG,0.3418228282220181
Gpx4_M3,DEG,0.0712745810471746
Gpx4_M4,DEG,0.4328490192738339
Gpx4_T2,DEG,-0.2137889958838794
Gramd3_M5,Signature,
Gramd3_T0,Signature,-0.6029414841517341
Gramd3_T3,DEG;Signature,-0.5553115042977063
Grap_B4,DEG,-0.7151968619913713
Grasp_M3,Signature,
Grb2_B1,Signature,-0.0850174261018603
Grb2_B3,DEG,0.4338279124239471
Grb2_B5,DEG,0.1604040295928041
Grb2_M5,DEG,0.2076901333967814
Grcc10_M0,DEG,-2.094108793635285
Grcc10_M1,DEG,-0.783867753811426
Grcc10_M3,DEG,-0.3778809509068415
Grina_M2,DEG,-0.1773994502855239
Grk2_M4,DEG,-0.316161600269341
Grk2_T5,DEG,-1.4262533519727885
Grn_M0,DEG,-0.8291940203932727
Grn_M1,DEG,-0.4289798257969805
Grn_M3,DEG,0.869426708897851
Grn_M4,DEG,-0.5821681323723126
Grn_M5,DEG,-0.8701064247205403
Gsn_M3,DEG,-0.4007015572325505
Gsn_M5,DEG,0.7599401879018727
Gsn_O7,DEG,0.2887532580275533
Gspt1_M1,DEG,-1.6638809898473732
Gspt1_M3,DEG,-1.4848895171806833
Gtf2b_B4,DEG,-2.0209589643724986
Gtf2e2_M4,DEG,0.8150718436299149
Gucy1b1_O13,Signature,-0.7977771163130494
H13_M4,DEG,-2.7795775128726903
H2-Aa_B0,Signature,0.0303831538642807
H2-Aa_B1,DEG,0.0258621431636342
H2-Aa_B4,DEG,-0.1245590421096789
H2-Aa_B5,DEG;Signature,0.041083165782507
H2-Aa_M0,DEG,-0.100983688376917
H2-Aa_M1,DEG,-0.0341333429375608
H2-Aa_M3,DEG,0.0844272816704948
H2-Aa_O10,DEG,-1.3397348100726671
H2-Ab1_B0,Signature,0.0100307217329145
H2-Ab1_B1,DEG,0.0294205162004698
H2-Ab1_B3,DEG,-0.5168285286565022
H2-Ab1_B5,DEG,0.0270259846225053
H2-Ab1_M0,DEG,-0.0955801974281485
H2-Ab1_M1,DEG,-0.0517584120769867
H2-Ab1_M5,DEG,-0.0848245466274933
H2-Ab1_M7,DEG,-0.1560618255100456
H2-Ab1_O10,DEG,-1.2763298286543674
H2-D1_B1,DEG,-0.120195702074324
H2-D1_B2,DEG,-0.1287372334061862
H2-D1_B3,DEG,-0.192706893627867
H2-D1_B4,DEG,-0.5056087265760114
H2-D1_B5,DEG,-0.1465799578470686
H2-D1_M0,DEG,-0.1930183414514572
H2-D1_M1,DEG,-0.1423797282991346
H2-D1_M2,DEG,-0.2795537869984882
H2-D1_M3,DEG,-0.0595592147729377
H2-D1_M4,DEG,-0.1484052706882893
H2-D1_M5,DEG,-0.2247842157569766
H2-D1_M7,DEG,-0.1795857034940468
H2-D1_O10,DEG,-0.0918182356038128
H2-D1_O7,DEG,-0.5260151381363913
H2-D1_T4,DEG,-0.0848459072733797
H2-D1_T6,DEG,-0.1088016728435983
H2-D1_T7,DEG,-0.308923282509675
H2-D1_T8,DEG,-0.2470490684253653
H2-DMa_B1,DEG,-0.3049609107558734
H2-DMa_B2,Signature,-0.1069541009478625
H2-DMa_B4,DEG,-0.2074857159783851
H2-DMa_M0,DEG,-0.4868434254092598
H2-DMa_M1,DEG,-0.1042259513189509
H2-DMa_M3,DEG,0.1140302886604593
H2-DMa_M4,DEG,-0.1114762012569343
H2-DMa_M5,DEG,-0.3861032592338309
H2-DMb1_M0,DEG,-0.3813380468697248
H2-DMb1_M1,DEG,-0.137403072853637
H2-DMb1_M3,DEG,0.375181221444966
H2-DMb1_M4,DEG,-0.1912603473125863
H2-DMb1_M5,DEG,-0.5382511768841761
H2-DMb1_M7,DEG,-0.5385509748384942
H2-DMb2_B1,DEG,-0.1332050630846833
H2-DMb2_M3,Signature,
H2-Eb1_B3,DEG,-0.7037985400554729
H2-Eb1_B4,DEG,-0.1351598828623641
H2-Eb1_M0,DEG,-0.1359901000429661
H2-Eb1_M1,DEG,-0.0638371177789021
H2-Eb1_M3,DEG,0.0212604403909125
H2-Eb1_M7,DEG,-0.2483156405843121
H2-Eb1_O10,DEG,-1.1734279993565022
H2-K1_B1,DEG,-0.1471737941298936
H2-K1_B2,DEG,-0.2147789791160662
H2-K1_B3,DEG,-0.3271967460094657
H2-K1_B4,DEG,-0.678500015283301
H2-K1_B5,DEG,-0.2002963732839808
H2-K1_M0,DEG,-0.1756176698120082
H2-K1_M1,DEG,-0.0982152911181989
H2-K1_M2,DEG,-0.5785647251439443
H2-K1_M4,DEG,-0.2353026556246457
H2-K1_M5,DEG,-0.1325510203506916
H2-K1_M7,DEG,-0.2481831884881611
H2-K1_O10,DEG,-0.1333142378199908
H2-K1_O13,DEG,-0.4403416366425543
H2-K1_O7,DEG,-0.473054490915979
H2-K1_T4,DEG,-0.1266360023098764
H2-K1_T6,DEG,-0.0818203786702938
H2-K1_T7,DEG,-0.2861605461372511
H2-Oa_B2,DEG;Signature,-0.355154427144846
H2-Oa_M3,Signature,
H2-Oa_M4,DEG,-0.4325304717955923
H2-Ob_B1,DEG,-0.176422356257596
H2-Ob_M3,Signature,
H2-Ob_M4,DEG;Signature,-0.2719732243960402
H2-Q6_B2,Signature,
H2-Q6_M4,DEG,-0.6685073362386764
H2-Q6_M5,DEG,-0.9515872995340416
H2-Q6_O10,DEG,-0.5256051159305029
H2-Q6_T3,DEG,-0.2220995493111137
H2-Q6_T5,DEG,-0.3286750678923623
H2-Q7_B0,DEG,-0.8323607460552953
H2-Q7_B1,DEG,-0.6571443673849662
H2-Q7_B2,DEG;Signature,-0.5859845764854907
H2-Q7_B3,DEG,-0.8650015010147356
H2-Q7_B5,DEG,-0.674909328057297
H2-Q7_B6_0,DEG,-0.3677787212376656
H2-Q7_M0,DEG,-0.2967513395605048
H2-Q7_M1,DEG,-0.4719000431517312
H2-Q7_M3,DEG,-0.7518403644466892
H2-Q7_M4,DEG,-0.6522222208641728
H2-Q7_M5,DEG,-0.3863236140292866
H2-Q7_M7,DEG,-1.078918750649502
H2-Q7_O10,DEG,-0.4380610376090831
H2-Q7_T1,DEG,-0.3271088643745959
H2-Q7_T2,DEG,-0.2848050040601542
H2-Q7_T3,DEG,-0.1168518102953707
H2-Q7_T4,DEG,-0.46511968016401
H2-Q7_T5,DEG,-0.1682357109152003
H2-Q7_T6,DEG,-0.2665141316213498
H2-Q7_T7,DEG,-0.4670960696393841
H2-T22_M4,DEG,-1.452543318531203
H2-T22_M5,DEG,-1.650715880960925
H2-T22_O10,DEG,-0.8912383283850889
H2-T23_B3,DEG,-0.3298687756605756
H2-T23_M0,DEG,-1.6547007203781303
H2-T23_M1,DEG,-0.7198117128013437
H2-T23_M3,DEG,-0.6619923301824664
H2-T23_M4,DEG,-0.747540443399239
H2-T23_M5,DEG,-0.7872837172068459
H2-T23_M7,DEG,-0.6175184463510273
H2-T23_O10,DEG,-0.5016207190998969
H2-T23_O13,DEG,-1.466735670904718
H2-T23_T5,DEG,-0.4143414241726734
H2afj_B1,DEG,-0.1560084958409364
H2afj_M1,DEG,-0.2583555120470026
H2afj_M3,DEG,-0.1409050268613592
H2afj_T1,DEG,-0.207910400355345
H2afj_T2,DEG,-1.550151564868529
H2afj_T3,DEG,-0.2304421551690523
H2afj_T4,DEG,-0.1037216319750842
H2afj_T5,DEG,-0.2122212602572707
H2afv_T5,DEG,0.1839695526282354
H2afy_B4,DEG,-0.4935186506258366
H2afy_M0,DEG,-1.5505352112983375
H2afy_M3,DEG,-0.876330851239718
H2afy_T5,DEG,-0.1385073394156188
H2afz_B0,DEG,0.172060785035564
H2afz_B1,DEG,0.196269404546407
H2afz_B3,DEG,0.1379685944951137
H2afz_B4,DEG;Signature,-0.389160443848382
H2afz_M3,DEG,-0.3424304649251296
H2afz_O10,DEG,0.3307449129838735
H2afz_T0,DEG,0.1961963413802327
H2afz_T1,DEG;Signature,0.1784486900497872
H2afz_T2,DEG,0.1428171692901816
H2afz_T3,DEG,0.2342146579506634
H2afz_T6,DEG,0.3766815458577068
H3f3a_B0,DEG;Signature,0.0600098066119448
H3f3a_B1,DEG,0.0575326666141369
H3f3a_B2,DEG,0.0416956396822415
H3f3a_B3,DEG,0.0903594868962813
H3f3a_B5,DEG,0.0781392409711528
H3f3a_M3,DEG,-0.1298953474189226
H3f3a_M6,DEG,-0.35945075247391
H3f3a_T5,DEG,0.0378490517772268
H3f3b_B3,DEG,-0.1298803580739255
H3f3b_M0,DEG,-0.1579234933164669
H3f3b_M2,DEG,0.291384476389357
H3f3b_M5,DEG,-0.2097332245434247
H3f3b_T2,DEG,-0.1316781843045284
H3f3b_T7,DEG,0.0223048536916245
Hadhb_M4,DEG,-0.973463442056199
Has1_O7,DEG;Signature,0.878791249963333
Havcr2_M3,DEG,-0.7567804182591866
Havcr2_M4,DEG,0.2681260637607014
Hcar2_M2,DEG;Signature,-0.4516397909870622
Hcls1_B4,DEG,-0.6903581577993335
Hcls1_M0,DEG,-0.6253198185711389
Hcls1_M1,DEG,-0.334277294615934
Hcls1_M4,DEG,-0.383482144831351
Hcst_B6_0,Signature,-0.5857430323379667
Hcst_T4,DEG,-0.3174859307227376
Hdac1_T5,DEG,-0.5804229310668889
Hdc_M2,DEG;Signature,0.1908855486784625
Hdlbp_B3,DEG,0.1608173537842395
Hdlbp_M1,DEG,-0.8831742965124699
Hdlbp_T5,DEG,-0.4797779315283483
Herpud1_M3,DEG,-0.6347365461319365
Hexa_M0,DEG,-1.6716634778141837
Hexa_M3,DEG,1.2402087876758718
Hexa_M4,DEG,-0.4005249085834765
Hexb_M1,DEG,-0.4834579957138695
Hexb_M3,DEG,0.3855114285362042
Hif1a_B4,DEG,-0.8946876293162701
Hif1a_M0,DEG,-1.0854041391903269
Hif1a_M3,DEG,0.3959792430628637
Hif1a_M4,DEG,-0.9638246159717144
Hif1a_M5,DEG,-0.5295787433243293
Hif1a_T0,DEG,-0.346756544034481
Hif1a_T1,DEG,-0.4333726969238873
Hif1a_T2,DEG,-0.4197223706149505
Hif1a_T4,DEG,-0.4347142005260779
Hif1a_T5,DEG,-0.3606963246958455
Higd1a_T5,DEG,-0.3150869254641667
Hilpda_M1,DEG,0.4081344956564589
Hilpda_M3,DEG,1.4048772843992243
Hint1_B3,DEG,0.1858791543655709
Hint1_M3,DEG,-0.3168034669939029
Hint1_T1,DEG,0.0331341779940706
Hint1_T4,DEG,-0.1898883951672239
Hint3_M4,DEG,-2.087624357772105
Hist1h1b_B8,Signature,-0.5653883682355153
Hist1h1b_T5,DEG;Signature,0.4707291019661091
Hist1h1c_T5,DEG,0.8400181383913053
Hist1h1d_T5,DEG,1.5122339665559532
Hist1h1e_T5,DEG,0.6904346115976757
Hist1h2ae_T5,DEG;Signature,0.9030182604250307
Hist1h2ap_T5,DEG;Signature,0.9513872046948352
Hist1h2bc_B3,DEG,2.0787513096725263
Hist1h3c_T5,Signature,0.4976194741447082
Hist1h4d_T5,DEG,0.6164282166915254
Hk2_M1,DEG,-0.7809264648821024
Hk2_T7,Signature,0.322284090291713
Hlf_T8,Signature,
Hmces_B4,Signature,0.8433102153045395
Hmcn2_O7,Signature,
Hmgb1_B3,DEG,0.2252497228139244
Hmgb1_B4,DEG,-0.1455975066601892
Hmgb1_M0,DEG,-0.676019356801001
Hmgb1_M1,DEG,-0.3013727727557319
Hmgb1_M3,DEG,-0.5358499684036562
Hmgb1_T1,DEG,-0.1224278135876884
Hmgb2_B4,DEG;Signature,-0.2121325747577976
Hmgb2_B5,DEG,-0.3014173915268424
Hmgb2_M0,DEG,-0.8747886833450401
Hmgb2_M1,DEG,-0.4842399686889738
Hmgb2_M3,DEG,-1.0322795153835456
Hmgb2_M5,DEG,-0.3795290887619212
Hmgb2_T2,DEG,-0.230219465937396
Hmgb2_T3,DEG,-0.4430670355944668
Hmgb2_T4,DEG,-0.2638930243826454
Hmgb2_T5,DEG,-0.1137459444988275
Hmgn2_B4,DEG;Signature,-0.2884724710489617
Hmgn2_M4,DEG,-2.3424765272502874
Hmmr_T5,Signature,
Hnrnpa0_B4,DEG,0.2529930297889434
Hnrnpa0_M1,DEG,0.4133505420611737
Hnrnpa0_M3,DEG,0.1856079447442313
Hnrnpa0_M5,DEG,0.732818336092519
Hnrnpa0_T5,DEG,0.3747038940350762
Hnrnpa1_B1,DEG,0.0713510530066559
Hnrnpa1_M3,DEG,-0.7161061085100173
