Cell_Type,Network_X_N,Network_Y_N,Network_X_Top_N,Network_Y_Top_N,Intersection_N,Union_N,Jaccard
T6_3,9,5,2,1,1,2,0.5
T6_2,12,12,3,3,2,4,0.5
T3,169,155,34,31,13,52,0.25
T7,82,91,17,19,7,29,0.2413793103448276
O7,65,63,13,13,5,21,0.23809523809523808
T6,51,56,11,12,4,19,0.21052631578947367
T1,209,224,42,45,13,74,0.17567567567567569
T0,79,51,16,11,4,23,0.17391304347826086
T2,270,290,54,58,16,96,0.16666666666666666
M7,51,51,11,11,3,19,0.15789473684210525
B2,139,157,28,32,8,52,0.15384615384615385
M1,373,412,75,83,21,137,0.15328467153284672
M3,476,508,96,102,26,172,0.1511627906976744
M0,373,282,75,57,17,115,0.14782608695652175
T4,246,235,50,47,12,85,0.1411764705882353
M5,287,251,58,51,13,96,0.13541666666666666
M4,374,429,75,86,15,146,0.10273972602739725
B3,423,467,85,94,16,163,0.09815950920245399
T5,309,288,62,58,9,111,0.08108108108108109
O10,66,67,14,14,2,26,0.07692307692307693
M2,71,75,15,15,2,28,0.07142857142857142
B5,189,241,38,49,5,82,0.06097560975609756
B1,317,417,64,84,6,142,0.04225352112676056
B4,177,291,36,59,0,95,0.0
B7,17,52,4,11,0,15,0.0
B6_0,25,53,5,11,0,16,0.0
O4,8,15,2,3,0,5,0.0
B0,67,208,14,42,0,56,0.0
