Difference_threshold,Permutation_FDR_cutoff,N_edges,N_nodes,N_valid_KO_p,KO_P_min,KO_P_1pct,KO_P_5pct,KO_P_10pct,KO_P_25pct,KO_P_median,KO_P_75pct,KO_P_90pct,KO_P_95pct,KO_P_99pct,KO_P_max,KO_FDR_min,KO_FDR_1pct,KO_FDR_5pct,KO_FDR_10pct,KO_FDR_25pct,KO_FDR_median,KO_FDR_75pct,KO_FDR_90pct,KO_FDR_95pct,KO_FDR_99pct,KO_FDR_max,N_KO_FDR_0.001,N_KO_FDR_0.005,N_KO_FDR_0.01,N_KO_FDR_0.05,N_KO_FDR_0.1,N_KO_FDR_0.2
0.0,0.0001,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
0.0,0.0005,468596,6395,468596,0.0,0.028683944153193,0.0717746045886229,0.1096367557962878,0.1835284462694483,0.2948085132054494,0.4242891629504823,0.5231860957522549,0.5585000236064257,0.633544738640307,0.8460525238666443,0.0,0.5450585358212852,0.5450585358212852,0.5450585358212852,0.5450585358212852,0.5450585358212852,0.5574702689452196,0.5813087869274028,0.5878157993061426,0.6396670847014901,0.8460525238666443,4,4,4,4,4,4
0.0,0.001,557439,6395,557439,0.0,0.028683944153193,0.0717746045886229,0.1090079803517346,0.1827207505397149,0.2948085132054494,0.4297797728312792,0.534000706962326,0.5659881844738837,0.6448864998922537,0.867882429939906,0.0,0.5496097210004953,0.5496097210004953,0.5496097210004953,0.5496097210004953,0.5496097210004953,0.5644571290557961,0.5894044743929522,0.5939601073914407,0.6513693566545531,0.867882429939906,4,4,4,4,4,4
0.0,0.002,600789,6395,600789,0.0,0.028683944153193,0.0717746045886229,0.1049738057408471,0.1824218587773581,0.2923740438838315,0.4289577393237423,0.534000706962326,0.5659881844738837,0.6505928212526486,0.867882429939906,0.0,0.5442207791127515,0.5442207791127515,0.5442207791127515,0.5442207791127515,0.5442207791127515,0.5629846816299935,0.5895166579880908,0.5942169747415108,0.6571502242584113,0.867882429939906,4,4,4,4,4,4
0.0,0.005,635028,6395,635028,0.0,0.028683944153193,0.0709876543209876,0.1049738057408471,0.1762326703944453,0.2901467043328506,0.4261331552347797,0.534000706962326,0.5659881844738837,0.6541395816373947,0.867882429939906,0.0,0.537474984159341,0.537474984159341,0.537474984159341,0.537474984159341,0.537474984159341,0.5602401097775038,0.5892934970616642,0.5942183960395421,0.6607470416442659,0.867882429939906,5,5,5,5,5,5
0.0,0.01,646659,6395,646659,0.0,0.028683944153193,0.0709876543209876,0.1049738057408471,0.1762326703944453,0.2894032248467901,0.4248835672388418,0.5329946531914245,0.5659881844738837,0.6573865873195911,0.867882429939906,0.0,0.535022714239367,0.535022714239367,0.535022714239367,0.535022714239367,0.535022714239367,0.5590659167896552,0.5891610401761478,0.594171545106053,0.6640200206021869,0.867882429939906,5,5,5,5,5,5
0.0,0.02,649751,6395,649751,0.0,0.028683944153193,0.0709876543209876,0.1049738057408471,0.1762326703944453,0.2894032248467901,0.4243177331589318,0.5329946531914245,0.5659881844738837,0.6575510164141922,0.867882429939906,0.0,0.5347258710131035,0.5347258710131035,0.5347258710131035,0.5347258710131035,0.5347258710131035,0.558909980284164,0.5892052170061798,0.5942285138931643,0.6641913867224317,0.867882429939906,5,5,5,5,5,5
0.0,0.05,650415,6395,650415,0.0,0.028683944153193,0.0714926838084335,0.1049738057408471,0.1762326703944453,0.2894032248467901,0.4244759985607592,0.5329946531914245,0.5659881844738837,0.6580440552844066,0.867882429939906,0.0,0.5348042012037059,0.5348042012037059,0.5348042012037059,0.5348042012037059,0.5348042012037059,0.5589619375804471,0.589253389914501,0.5942817003572224,0.6646598433983972,0.867882429939906,5,5,5,5,5,5
0.0,0.1,650469,6395,650469,0.0,0.028683944153193,0.07157820097813061,0.1049738057408471,0.1762326703944453,0.2894032248467901,0.4244759985607592,0.5329946531914245,0.5659881844738837,0.6580440552844066,0.867882429939906,0.0,0.5348143123002207,0.5348143123002207,0.5348143123002207,0.5348143123002207,0.5348143123002207,0.5589700415548456,0.5892589994573395,0.5942869084763277,0.6646634170303508,0.867882429939906,5,5,5,5,5,5
0.0,0.2,650474,6395,650474,0.0,0.028683944153193,0.07157892429986598,0.1049738057408471,0.1762326703944453,0.2894032248467901,0.4244759985607592,0.5329946531914245,0.5659881844738837,0.6580440552844066,0.867882429939906,0.0,0.5348143087009972,0.5348143087009972,0.5348143087009972,0.5348143087009972,0.5348143087009972,0.558969961012273,0.5892587167977092,0.5942866800766182,0.6646633656374714,0.867882429939906,5,5,5,5,5,5
0.5,0.0001,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
0.5,0.0005,24270,5756,24270,0.0,0.0093764940749812,0.027396043909112,0.041540496668514,0.0958914444893229,0.1339745962155613,0.1770520703687302,0.1974021859588487,0.2054158127501046,0.2102152049878908,0.2696272386505622,0.0,0.21109856117763365,0.21109856117763365,0.21109856117763365,0.21109856117763365,0.21109856117763365,0.21109856117763365,0.21109856117763365,0.21109856117763365,0.21217346024520128,0.2696272386505622,4,4,4,4,4,4
