Present_Count_Threshold,Edge_Count,Unique_Variable_Count
11,2193,1516
10,5052,2431
9,9203,3280
8,15385,4088
7,24633,4757
6,38686,5304
5,60210,5675
4,95654,5902
3,159482,5986
2,294227,6008
1,715695,6031
