Edge Name,KO_pval,KO_median,wk3_pval,wk3_median,wk6_pval,wk6_median,meta_r,meta_p,meta_fdr
Tcea1_B4<==>Sqstm1_M3,0.0782732726668304,0.6547619047619048,0.2000000000000001,-0.6999999999999998,0.1,0.8999999999999999,0.6953113483936095,0.009278545206270394,0.01035021440124956
Tcea1_B4<==>Paip2_T1,0.1835284462694483,0.5238095238095238,0.2000000000000001,0.7999999999999998,0.1,0.8999999999999999,0.8462901207293886,0.0015427066233623088,0.0019601943735155715
Rpl7_M4<==>Rpl9_M4,0.1859477459054023,0.5238095238095237,0.3000000000000001,0.6999999999999998,0.0,1.0,inf,0.0,0.0
Rpl7_T2<==>Stat1_M4,0.1713731965393057,0.5357142857142858,0.2000000000000001,-0.7999999999999998,0.1,0.8999999999999999,0.5430401645326827,0.04216679373155301,0.04486238785137839
Rpl7_T2<==>2410006H16Rik_B1,0.0952587302298901,0.6309523809523809,0.2000000000000001,0.7999999999999998,0.1,0.8999999999999999,0.950061056580663,0.000378262431952628,0.0006195792382774154
Tram2_B3<==>Rbm39_B3,0.092744094722437,0.6428571428571428,0.2000000000000001,-0.2999999999999999,0.1,0.8999999999999999,0.7617766161479398,0.004367703463772487,0.004973365459054317
Ptpn18_B1<==>Rpl31_T1,0.1964805885944973,0.5119047619047619,0.2000000000000001,0.7999999999999998,0.1,0.8999999999999999,0.835832188212868,0.0017636119501206113,0.002162745180937381
Ptpn18_M0<==>Ier5_M3,0.1227922667757848,0.5952380952380953,0.0,1.0,0.2000000000000001,0.7999999999999998,inf,0.0,0.0
Ptpn18_T4<==>B2m_B0,0.1713731965393057,0.5357142857142858,0.2000000000000001,0.7999999999999998,0.0,1.0,inf,0.0,0.0
Ptpn18_T4<==>Btf3_T4,0.1827207505397149,0.5238095238095238,0.0,1.0,0.2000000000000001,0.7999999999999998,inf,0.0,0.0
Ptpn18_T4<==>Malat1_T4,0.1292448816497496,-0.5833333333333333,0.1,-0.8999999999999999,0.2000000000000001,0.7999999999999998,-0.4040076366755457,0.13062084821840012,0.13341219785156044
Ptpn18_T5<==>Map1lc3b_B3,0.0782732726668304,-0.6547619047619048,0.2000000000000001,0.7999999999999998,0.1,-0.8999999999999999,-0.6622668111116016,0.013213021567628,0.014590682584157934
Cox5b_M1<==>Clic1_M1,0.1017330374542646,0.6190476190476191,0.1,0.8999999999999999,0.2000000000000001,0.7999999999999998,0.9108150905988738,0.0006545096518343507,0.0009910690422577008
Tmem131_M3<==>Nfkb1_M1,0.1397777243388446,0.5714285714285714,0.1,0.7999999999999998,0.2000000000000001,0.7999999999999998,0.8099882051376228,0.002439888703593268,0.0028776729198872033
Tmem131_M4<==>Rpsa_T5,0.1519615944855428,-0.5714285714285714,0.0,-1.0,0.2000000000000001,0.6999999999999998,-inf,0.0,0.0
Tmem131_M4<==>Calm1_B2,0.1195298061387926,0.5952380952380952,0.1,0.8999999999999999,0.2000000000000001,0.7999999999999998,0.8865666131555101,0.0009091522320965006,0.0012867576010841893
Tmem131_M4<==>Csf2rb_M4,0.1227922667757848,0.5952380952380953,0.1,0.8999999999999999,0.2000000000000001,0.7999999999999998,0.8865666131555101,0.0009091522320965006,0.0012867576010841893
Eif5b_B5<==>Eif2s2_M3,0.1713731965393057,0.5357142857142858,0.3000000000000001,-0.3999999999999999,0.0,1.0,inf,0.0,0.0
