Edge Name,comb_TLS_c_ipval_0.3_PUC_w_meta_FDR_0.15_all_nw0_present,comb_TLS_c_ipval_0.3_PUC_w_meta_FDR_0.15_all_nw0_sign,comb_TLS_c_ipval_0.3_PUC_w_meta_FDR_0.15_all_nw1_present,comb_TLS_c_ipval_0.3_PUC_w_meta_FDR_0.15_all_nw1_sign,comb_TLS_c_ipval_0.3_PUC_w_meta_FDR_0.15_all_nw10_present,comb_TLS_c_ipval_0.3_PUC_w_meta_FDR_0.15_all_nw10_sign,comb_TLS_c_ipval_0.3_PUC_w_meta_FDR_0.15_all_nw2_present,comb_TLS_c_ipval_0.3_PUC_w_meta_FDR_0.15_all_nw2_sign,comb_TLS_c_ipval_0.3_PUC_w_meta_FDR_0.15_all_nw3_present,comb_TLS_c_ipval_0.3_PUC_w_meta_FDR_0.15_all_nw3_sign,comb_TLS_c_ipval_0.3_PUC_w_meta_FDR_0.15_all_nw4_present,comb_TLS_c_ipval_0.3_PUC_w_meta_FDR_0.15_all_nw4_sign,comb_TLS_c_ipval_0.3_PUC_w_meta_FDR_0.15_all_nw5_present,comb_TLS_c_ipval_0.3_PUC_w_meta_FDR_0.15_all_nw5_sign,comb_TLS_c_ipval_0.3_PUC_w_meta_FDR_0.15_all_nw6_present,comb_TLS_c_ipval_0.3_PUC_w_meta_FDR_0.15_all_nw6_sign,comb_TLS_c_ipval_0.3_PUC_w_meta_FDR_0.15_all_nw7_present,comb_TLS_c_ipval_0.3_PUC_w_meta_FDR_0.15_all_nw7_sign,comb_TLS_c_ipval_0.3_PUC_w_meta_FDR_0.15_all_nw8_present,comb_TLS_c_ipval_0.3_PUC_w_meta_FDR_0.15_all_nw8_sign,comb_TLS_c_ipval_0.3_PUC_w_meta_FDR_0.15_all_nw9_present,comb_TLS_c_ipval_0.3_PUC_w_meta_FDR_0.15_all_nw9_sign,Present_Count
Iqgap1_T2<==>Rps4x_B2,False,,False,,True,-,False,,False,,False,,False,,False,,True,-,False,,False,,2
Iqgap1_T2<==>Snrpf_B1,False,,False,,False,,False,,True,+,False,,True,+,False,,False,,False,,False,,2
Iqgap1_T2<==>Spty2d1_B3,False,,True,+,False,,False,,False,,False,,False,,True,+,False,,False,,False,,2
Iqgap1_T2<==>Xbp1_M4,False,,False,,False,,False,,False,,True,+,False,,False,,False,,True,+,False,,2
Irf1_M4<==>Lef1_T6,False,,True,-,False,,False,,False,,False,,True,-,False,,False,,False,,False,,2
Irf1_M4<==>Mpeg1_M4,False,,False,,False,,False,,True,+,False,,True,+,False,,False,,False,,False,,2
Irf1_M5<==>Psmb1_B3,False,,False,,False,,True,-,False,,False,,True,-,False,,False,,False,,False,,2
Irf2bp2_B1<==>Serp1_B5,False,,False,,True,+,False,,False,,False,,False,,False,,False,,False,,True,+,2
Irf2bp2_B1<==>Shisa5_T7,True,+,False,,False,,False,,False,,False,,False,,False,,False,,False,,True,+,2
Irf2bp2_M0<==>Mcemp1_M3,False,,False,,False,,True,-,False,,False,,False,,True,-,False,,False,,False,,2
Irf2bp2_M0<==>Ndufc2_M0,True,+,False,,False,,False,,False,,True,+,False,,False,,False,,False,,False,,2
Irf2bp2_M0<==>Rac2_T5,False,,True,+,False,,False,,False,,False,,True,+,False,,False,,False,,False,,2
Irf2bp2_M0<==>Vim_T4,False,,False,,False,,False,,True,+,False,,False,,False,,True,+,False,,False,,2
Irf2bp2_M0<==>mt-Nd4l_T5,False,,False,,False,,False,,False,,False,,True,-,False,,True,-,False,,False,,2
Irf2bp2_M3<==>Tmem131_M3,False,,False,,True,-,False,,False,,False,,False,,False,,True,-,False,,False,,2
Irf2bp2_M3<==>Zyx_M4,False,,True,+,False,,False,,False,,False,,True,+,False,,False,,False,,False,,2
Irf5_M3<==>Jund_B3,True,-,False,,False,,False,,False,,True,-,False,,False,,False,,False,,False,,2
Irf5_M3<==>Myc_B5,False,,False,,False,,False,,False,,True,-,False,,False,,False,,True,-,False,,2
Irf5_M3<==>Ppia_B5,False,,False,,False,,False,,False,,True,+,False,,False,,True,+,False,,False,,2
Irf5_M3<==>Slc7a11_M3,False,,False,,True,+,False,,False,,True,+,False,,False,,False,,False,,False,,2
Irf8_B1<==>Rpl30_M4,False,,False,,False,,True,-,True,-,False,,False,,False,,False,,False,,False,,2
Irf8_B1<==>Rps3a1_M5,False,,False,,False,,False,,False,,False,,False,,True,-,True,-,False,,False,,2
Irf8_B4<==>Rpl30_M5,False,,False,,False,,False,,False,,True,-,False,,False,,False,,True,-,False,,2
Irf8_B4<==>Srsf1_B4,False,,False,,False,,False,,False,,False,,False,,True,+,False,,False,,True,+,2
Irf8_B5<==>Ndufa1_T4,False,,False,,False,,False,,True,+,False,,False,,False,,False,,True,+,False,,2
Irf8_B5<==>Rbpj_T4,True,+,False,,False,,False,,True,+,False,,False,,False,,False,,False,,False,,2
Irf8_B5<==>Satb1_T3,True,+,False,,False,,False,,True,+,False,,False,,False,,False,,False,,False,,2
Irf8_B5<==>Slc25a3_T2,False,,False,,False,,True,+,False,,False,,True,+,False,,False,,False,,False,,2
Irf8_B5<==>Sp140_M3,True,+,False,,False,,False,,True,+,False,,False,,False,,False,,False,,False,,2
Irf8_B5<==>Tcf4_M7,False,,False,,False,,False,,False,,False,,False,,True,+,False,,True,+,False,,2
Irf8_M0<==>Mcl1_B1,False,,False,,False,,True,+,False,,False,,False,,False,,True,+,False,,False,,2
Irf8_M0<==>Ptpn22_M5,False,,False,,False,,False,,True,+,True,+,False,,False,,False,,False,,False,,2
Irf8_M0<==>Ran_M0,False,,False,,False,,False,,False,,False,,False,,False,,False,,True,+,True,+,2
Irf8_M3<==>Itm2b_B5,True,+,False,,True,+,False,,False,,False,,False,,False,,False,,False,,False,,2
Irf8_M3<==>Snf8_T5,True,+,False,,False,,False,,False,,False,,False,,False,,False,,True,+,False,,2
Irs2_T7<==>Ubl5_T5,False,,False,,False,,False,,False,,True,+,False,,False,,True,+,False,,False,,2
Iscu_M3<==>Pla2g7_M0,True,+,False,,True,+,False,,False,,False,,False,,False,,False,,False,,False,,2
Iscu_M3<==>Psme2_M3,False,,False,,False,,False,,False,,False,,True,+,False,,True,+,False,,False,,2
Iscu_M3<==>Rpl10_B2,False,,True,+,False,,False,,True,+,False,,False,,False,,False,,False,,False,,2
Iscu_M3<==>Rplp0_B1,False,,False,,False,,False,,True,+,False,,False,,False,,False,,True,+,False,,2
Iscu_M3<==>Ube2i_M0,False,,True,+,False,,False,,False,,False,,False,,True,+,False,,False,,False,,2
Iscu_M3<==>Zfp36l1_T1,True,+,False,,False,,False,,False,,False,,False,,False,,False,,False,,True,+,2
Isoc1_M4<==>Pla2g7_M0,True,+,False,,False,,False,,False,,False,,False,,True,+,False,,False,,False,,2
Isy1_M3<==>Itm2b_M5,False,,False,,False,,False,,False,,False,,False,,False,,True,-,True,-,False,,2
Isy1_M3<==>Jak2_M3,False,,False,,False,,False,,False,,False,,True,+,False,,False,,True,+,False,,2
Isy1_M3<==>Lrrc8d_M3,False,,False,,False,,False,,False,,False,,False,,True,+,False,,True,+,False,,2
Isy1_M3<==>Rab8b_T0,False,,False,,False,,False,,True,+,False,,False,,False,,True,+,False,,False,,2
Isy1_M3<==>Rab8b_T3,False,,True,+,False,,False,,True,+,False,,False,,False,,False,,False,,False,,2
Isy1_M3<==>Rel_M3,False,,False,,True,+,False,,False,,False,,False,,False,,True,+,False,,False,,2
Isy1_M3<==>Samsn1_M5,False,,False,,False,,False,,False,,False,,False,,False,,True,+,False,,True,+,2
Isy1_M3<==>Sec62_T2,True,+,False,,False,,False,,False,,False,,False,,False,,False,,False,,True,+,2
Isy1_M3<==>Sfpq_M3,False,,False,,False,,False,,False,,False,,False,,False,,True,+,True,+,False,,2
Isy1_M3<==>Sub1_B2,True,+,False,,False,,False,,False,,False,,False,,False,,False,,False,,True,+,2
Isy1_M3<==>Sub1_T1,False,,False,,False,,False,,False,,False,,False,,True,+,False,,True,+,False,,2
Isy1_M3<==>Txnrd1_M3,False,,False,,False,,False,,False,,False,,True,+,False,,True,+,False,,False,,2
Isy1_M3<==>Ywhaz_B4,False,,False,,False,,True,+,False,,False,,False,,False,,True,+,False,,False,,2
Isy1_M5<==>Rack1_B1,False,,True,-,False,,False,,False,,False,,False,,False,,True,-,False,,False,,2
Isy1_M5<==>Rpl10_T4,False,,False,,False,,False,,True,-,False,,False,,False,,True,-,False,,False,,2
Isy1_T4<==>Malat1_M3,True,+,False,,False,,False,,True,+,False,,False,,False,,False,,False,,False,,2
Isy1_T4<==>Nfkbia_O10,False,,False,,False,,True,+,False,,False,,True,+,False,,False,,False,,False,,2
Isy1_T4<==>P2ry10_T5,False,,False,,True,+,False,,False,,False,,False,,False,,False,,False,,True,+,2
Isy1_T4<==>Rab8b_M4,False,,False,,False,,False,,True,+,False,,False,,False,,False,,False,,True,+,2
Isy1_T4<==>Set_B5,False,,False,,False,,False,,False,,False,,True,+,False,,True,+,False,,False,,2
Isy1_T4<==>Slc25a3_T3,False,,False,,True,+,False,,False,,False,,False,,False,,False,,False,,True,+,2
Isy1_T4<==>Specc1l_M1,False,,False,,False,,False,,False,,True,+,True,+,False,,False,,False,,False,,2
Isy1_T4<==>Spi1_M4,False,,False,,True,+,False,,False,,False,,False,,False,,False,,False,,True,+,2
Isy1_T4<==>Srsf3_B5,True,+,False,,False,,False,,False,,True,+,False,,False,,False,,False,,False,,2
Isy1_T4<==>Stxbp3_M3,False,,False,,False,,False,,False,,True,+,False,,False,,True,+,False,,False,,2
Isy1_T5<==>Ncoa7_T7,False,,False,,False,,True,-,False,,False,,True,-,False,,False,,False,,False,,2
Isy1_T5<==>Nt5c_M4,False,,False,,False,,False,,False,,False,,True,-,True,-,False,,False,,False,,2
Isy1_T5<==>Pfdn2_M3,False,,False,,False,,False,,True,-,False,,True,-,False,,False,,False,,False,,2
Isy1_T5<==>Psma5_M3,False,,False,,False,,False,,False,,False,,True,-,False,,False,,False,,True,-,2
Isy1_T5<==>Psmb10_M3,False,,True,-,False,,True,-,False,,False,,False,,False,,False,,False,,False,,2
Isy1_T5<==>Psmb1_M0,False,,False,,False,,False,,False,,False,,False,,True,-,True,-,False,,False,,2
Isy1_T7<==>Ncl_B1,False,,False,,False,,False,,False,,False,,False,,True,+,False,,False,,True,+,2
Isy1_T7<==>Rpl17_B2,False,,False,,False,,False,,False,,False,,True,-,False,,False,,False,,True,-,2
Isy1_T7<==>Rps19_T5,False,,False,,False,,False,,False,,True,-,False,,False,,True,-,False,,False,,2
Isy1_T7<==>Rpsa_T1,False,,True,-,False,,False,,False,,False,,False,,True,-,False,,False,,False,,2
Isy1_T7<==>Sfpq_M3,False,,False,,False,,False,,True,+,False,,True,+,False,,False,,False,,False,,2
Isy1_T7<==>Tmf1_B4,False,,False,,False,,False,,False,,False,,True,-,False,,False,,True,-,False,,2
Isy1_T7<==>mt-Nd3_T4,False,,False,,False,,False,,False,,False,,False,,True,+,True,+,False,,False,,2
Itga4_B3<==>Kmt2e_B3,True,+,False,,False,,True,+,False,,False,,False,,False,,False,,False,,False,,2
Itga4_B3<==>Tspan13_B3,False,,False,,True,+,True,+,False,,False,,False,,False,,False,,False,,False,,2
Itga4_B3<==>Zfp36l1_T1,True,-,False,,False,,False,,False,,False,,True,-,False,,False,,False,,False,,2
Itga4_M4<==>Malat1_M2,False,,False,,False,,False,,False,,False,,False,,True,+,False,,True,+,False,,2
Itga4_M4<==>Runx3_M5,False,,True,+,False,,False,,True,+,False,,False,,False,,False,,False,,False,,2
Itgal_M5<==>Jpt1_M3,False,,False,,False,,False,,True,+,False,,True,+,False,,False,,False,,False,,2
Itgal_M5<==>Ndufa2_T3,True,+,False,,True,+,False,,False,,False,,False,,False,,False,,False,,False,,2
Itgal_M5<==>Ndufv2_M3,False,,False,,False,,False,,True,+,False,,True,+,False,,False,,False,,False,,2
Itgal_M5<==>Psme1_M3,False,,False,,False,,False,,True,+,False,,True,+,False,,False,,False,,False,,2
Itgal_T5<==>Mpp6_M3,True,+,False,,False,,False,,False,,False,,False,,True,+,False,,False,,False,,2
Itgal_T5<==>Rpl10_T4,False,,True,+,False,,False,,True,+,False,,False,,False,,False,,False,,False,,2
Itgav_T2<==>Sdf4_T2,False,,False,,False,,False,,False,,False,,True,+,True,+,False,,False,,False,,2
Itgav_T2<==>mt-Co3_B5,False,,False,,False,,False,,False,,True,-,False,,False,,False,,True,-,False,,2
Itgax_M3<==>Vdac2_M3,True,-,False,,False,,False,,False,,False,,False,,False,,False,,False,,True,-,2
Itgb1_M0<==>Itgb2_M0,False,,False,,False,,False,,False,,True,+,False,,True,+,False,,False,,False,,2
Itgb1_M0<==>Manf_M0,False,,False,,False,,True,+,False,,False,,False,,True,+,False,,False,,False,,2
Itgb1_M0<==>Mrpl52_M0,False,,False,,False,,False,,True,+,False,,False,,False,,False,,False,,True,+,2
Itgb1_M0<==>Myof_M0,False,,False,,True,+,False,,False,,False,,False,,False,,False,,True,+,False,,2
Itgb1_M0<==>Ndufa1_T4,False,,False,,True,+,True,+,False,,False,,False,,False,,False,,False,,False,,2
Itgb1_M0<==>Ndufb1-ps_T2,False,,False,,False,,True,+,False,,False,,False,,True,+,False,,False,,False,,2
Itgb1_M0<==>Plekho2_M0,False,,False,,False,,True,+,False,,False,,False,,False,,True,+,False,,False,,2
Itgb1_M0<==>Ptprcap_B1,False,,True,+,False,,False,,False,,False,,False,,False,,False,,True,+,False,,2
Itgb1_M0<==>Satb1_T5,True,+,False,,False,,False,,False,,True,+,False,,False,,False,,False,,False,,2
Itgb1_M0<==>Sec61g_T5,False,,False,,False,,True,+,False,,False,,False,,True,+,False,,False,,False,,2
Itgb1_M0<==>Snap23_M3,False,,False,,False,,False,,False,,True,+,False,,False,,False,,True,+,False,,2
Itgb1_M0<==>Sppl2a_M0,False,,False,,False,,True,+,True,+,False,,False,,False,,False,,False,,False,,2
Itgb1_M0<==>Sri_T3,False,,False,,False,,False,,True,+,False,,False,,False,,False,,True,+,False,,2
Itgb1_M0<==>Tln1_M0,False,,True,+,False,,False,,False,,True,+,False,,False,,False,,False,,False,,2
Itgb1_M0<==>Txk_T3,False,,True,+,False,,False,,True,+,False,,False,,False,,False,,False,,False,,2
Itgb1_M0<==>mt-Co2_B1,False,,False,,False,,True,-,False,,False,,False,,True,-,False,,False,,False,,2
Itgb1_M0<==>mt-Nd5_M0,False,,True,+,False,,False,,True,+,False,,False,,False,,False,,False,,False,,2
Itgb1_M5<==>Ldha_M0,True,+,True,+,False,,False,,False,,False,,False,,False,,False,,False,,False,,2
Itgb1_M5<==>Lilrb4a_M5,False,,True,+,False,,False,,False,,False,,False,,True,+,False,,False,,False,,2
Itgb1_M5<==>Mxd1_M5,False,,True,+,False,,False,,False,,False,,False,,False,,False,,False,,True,+,2
Itgb1_M5<==>Plekho2_M0,False,,False,,True,+,False,,False,,False,,False,,False,,False,,False,,True,+,2
Itgb1_M5<==>Psme1_M4,False,,False,,True,+,True,+,False,,False,,False,,False,,False,,False,,False,,2
Itgb1_M5<==>Sec61g_T4,False,,False,,False,,True,+,False,,True,+,False,,False,,False,,False,,False,,2
Itgb1_M5<==>Selenof_B3,False,,False,,False,,True,-,False,,False,,False,,False,,False,,True,-,False,,2
Itgb1_M5<==>Serpinf1_O7,False,,True,+,False,,False,,True,+,False,,False,,False,,False,,False,,False,,2
Itgb1_M5<==>Tmsb4x_B3,False,,False,,False,,False,,False,,True,-,False,,False,,False,,False,,True,-,2
Itgb1_M5<==>Vamp8_M5,False,,True,+,False,,False,,False,,False,,False,,False,,False,,True,+,False,,2
Itgb2_M0<==>Pabpc1_M0,False,,False,,False,,True,+,False,,False,,False,,True,+,False,,False,,False,,2
Itgb2_M0<==>Slc3a2_M0,False,,False,,False,,False,,True,+,False,,False,,False,,False,,True,+,False,,2
Itgb2_M0<==>Srgn_M0,True,+,False,,False,,False,,False,,False,,False,,False,,True,+,False,,False,,2
Itgb2_M0<==>Tax1bp1_M0,False,,False,,False,,False,,False,,False,,False,,False,,True,+,True,+,False,,2
Itgb2_M3<==>Slc38a1_M1,False,,False,,False,,False,,False,,False,,False,,False,,False,,True,-,True,-,2
Itgb2_M5<==>Jund_T4,False,,False,,False,,False,,False,,False,,True,+,False,,False,,True,+,False,,2
Itgb2_M5<==>Ms4a6c_M5,False,,True,+,False,,False,,False,,False,,False,,True,+,False,,False,,False,,2
Itgb2_M5<==>Prdx1_M5,False,,False,,False,,True,+,False,,False,,True,+,False,,False,,False,,False,,2
Itgb2_M5<==>Psma5_M5,False,,False,,False,,False,,False,,True,+,False,,False,,True,+,False,,False,,2
Itgb2_M5<==>Psme1_T0,True,+,False,,False,,True,+,False,,False,,False,,False,,False,,False,,False,,2
Itgb2_M5<==>mt-Co3_T4,True,-,False,,False,,False,,False,,False,,False,,False,,True,-,False,,False,,2
Itk_M5<==>Ly6c2_B3,False,,False,,False,,True,+,False,,False,,True,+,False,,False,,False,,False,,2
Itk_M5<==>Smdt1_T4,False,,False,,False,,False,,False,,False,,True,+,False,,False,,True,+,False,,2
Itk_M5<==>Tnfsf8_T1,True,+,False,,False,,False,,False,,False,,True,+,False,,False,,False,,False,,2
Itk_T1<==>Shisa5_B1,True,+,False,,False,,False,,True,+,False,,False,,False,,False,,False,,False,,2
Itk_T3<==>Jund_T4,False,,False,,False,,False,,True,+,False,,True,+,False,,False,,False,,False,,2
Itk_T3<==>Myof_M0,False,,False,,False,,False,,False,,False,,False,,False,,False,,True,+,True,+,2
Itk_T3<==>Pgk1_M5,True,+,False,,False,,False,,False,,False,,True,+,False,,False,,False,,False,,2
Itm2b_B5<==>Selenoh_B4,False,,False,,False,,False,,False,,True,+,False,,False,,False,,True,+,False,,2
Itm2b_M3<==>Luc7l2_M1,False,,False,,False,,True,+,False,,False,,False,,False,,False,,False,,True,+,2
Itm2b_M3<==>Phc2_M3,False,,False,,False,,False,,False,,False,,False,,True,-,False,,False,,True,-,2
Itm2b_M5<==>Lck_T5,False,,False,,False,,False,,False,,True,+,False,,False,,False,,True,+,False,,2
Itm2b_T2<==>Rpl18a_M3,False,,False,,True,-,False,,False,,False,,False,,True,-,False,,False,,False,,2
Itm2b_T2<==>Rps4x_T5,False,,True,-,False,,False,,False,,True,-,False,,False,,False,,False,,False,,2
Itm2b_T2<==>mt-Nd2_M5,False,,False,,True,+,True,+,False,,False,,False,,False,,False,,False,,False,,2
Itm2b_T4<==>Psma1_M3,False,,False,,False,,True,+,False,,False,,False,,True,+,False,,False,,False,,2
Itm2b_T4<==>Rps8_M5,True,-,False,,False,,False,,False,,False,,False,,False,,False,,True,-,False,,2
Itm2b_T4<==>Sec11c_T4,False,,False,,False,,False,,False,,False,,False,,False,,True,+,False,,True,+,2
Itm2c_M1<==>Socs3_M1,True,+,False,,True,+,False,,False,,False,,False,,False,,False,,False,,False,,2
Itm2c_M4<==>mt-Nd1_M0,False,,False,,False,,False,,False,,True,+,False,,False,,False,,False,,True,+,2
Itprid2_M1<==>Zfp36_M1,False,,False,,False,,False,,False,,False,,False,,True,+,True,+,False,,False,,2
Itprid2_M3<==>Rpl18a_M3,False,,False,,True,-,False,,False,,False,,False,,False,,False,,True,-,False,,2
Itprid2_M3<==>Sub1_B5,False,,False,,False,,False,,True,+,True,+,False,,False,,False,,False,,False,,2
Itprid2_M3<==>Ywhaz_B2,False,,False,,False,,False,,True,+,False,,False,,False,,False,,True,+,False,,2
Itprid2_M4<==>Rpl17_B5,False,,True,-,False,,False,,False,,True,-,False,,False,,False,,False,,False,,2
Itprid2_M4<==>Rps7_B1,False,,False,,False,,False,,True,-,False,,False,,False,,True,-,False,,False,,2
Itprid2_M4<==>mt-Atp8_B1,False,,False,,False,,False,,False,,False,,False,,False,,False,,True,+,True,+,2
Itprid2_M4<==>mt-Atp8_B3,False,,False,,False,,False,,False,,False,,False,,False,,True,+,False,,True,+,2
Ivns1abp_M5<==>Rab8b_M3,False,,False,,False,,True,+,False,,False,,False,,False,,False,,True,+,False,,2
Ivns1abp_M5<==>Rps6_T5,False,,False,,False,,False,,True,-,False,,True,-,False,,False,,False,,False,,2
Ivns1abp_M5<==>Runx3_M5,True,+,False,,False,,False,,False,,True,+,False,,False,,False,,False,,False,,2
Ivns1abp_M5<==>Snhg15_M3,False,,False,,True,+,True,+,False,,False,,False,,False,,False,,False,,False,,2
Ivns1abp_M5<==>Ubb_M3,False,,True,-,True,-,False,,False,,False,,False,,False,,False,,False,,False,,2
Ivns1abp_T5<==>Lgals3_M1,True,-,False,,False,,False,,True,-,False,,False,,False,,False,,False,,False,,2
Jak1_T4<==>Rpl18a_M3,True,-,False,,False,,True,-,False,,False,,False,,False,,False,,False,,False,,2
Jak2_M1<==>Lyn_B1,True,+,False,,False,,False,,True,+,False,,False,,False,,False,,False,,False,,2
Jak2_M1<==>Myl12a_T2,False,,False,,False,,True,+,False,,True,+,False,,False,,False,,False,,False,,2
Jak2_M1<==>Ppig_M1,True,+,False,,False,,True,+,False,,False,,False,,False,,False,,False,,False,,2
Jak2_M1<==>Rbms1_M1,False,,False,,False,,False,,True,+,False,,False,,False,,False,,True,+,False,,2
Jak2_M1<==>Rps27l_M4,False,,False,,False,,False,,True,+,False,,False,,True,+,False,,False,,False,,2
Jak2_M1<==>Ube2b_T2,False,,False,,False,,False,,False,,False,,False,,True,+,True,+,False,,False,,2
Jak2_M3<==>Psmb3_M3,False,,False,,False,,False,,False,,False,,False,,False,,False,,True,-,True,-,2
Jak2_M3<==>Rpl18a_M1,True,-,False,,False,,False,,False,,False,,False,,False,,True,-,False,,False,,2
Jak2_M3<==>Rps27l_M4,False,,False,,False,,False,,False,,False,,False,,True,+,True,+,False,,False,,2
Jak2_M3<==>Sfpq_M3,False,,True,+,False,,False,,False,,False,,False,,False,,True,+,False,,False,,2
Jak2_M3<==>Ssr4_M0,False,,False,,True,-,False,,False,,False,,False,,False,,False,,False,,True,-,2
Jak2_M3<==>Tpm4_M3,False,,False,,False,,False,,False,,True,+,False,,False,,True,+,False,,False,,2
Jak2_M3<==>Txn1_M3,False,,False,,False,,False,,False,,False,,False,,True,-,False,,False,,True,-,2
Jak2_M3<==>mt-Co1_M0,False,,False,,False,,False,,False,,True,-,False,,False,,False,,False,,True,-,2
Jak2_M4<==>Pfn1_T4,False,,False,,False,,False,,True,-,False,,False,,False,,False,,True,-,False,,2
Jak2_M4<==>Rab8b_M3,False,,False,,True,+,True,+,False,,False,,False,,False,,False,,False,,False,,2
Jak2_M4<==>Rac2_T4,False,,False,,True,-,False,,False,,False,,False,,False,,False,,True,-,False,,2
Jak2_M4<==>Rheb_B3,False,,True,+,False,,False,,True,+,False,,False,,False,,False,,False,,False,,2
Jak2_M4<==>Rpl18a_M1,False,,False,,False,,True,-,False,,False,,False,,False,,True,-,False,,False,,2
Jak2_M4<==>Rpl3_B1,False,,False,,False,,False,,True,-,False,,False,,False,,True,-,False,,False,,2
Jak2_M4<==>Slc38a2_M4,False,,False,,False,,False,,False,,False,,False,,False,,True,+,True,+,False,,2
Jak2_M5<==>Pbrm1_M3,False,,False,,False,,True,-,False,,True,-,False,,False,,False,,False,,False,,2
Jak2_T1<==>Ly6e_M4,True,+,False,,False,,False,,False,,True,+,False,,False,,False,,False,,False,,2
Jak2_T1<==>Ppig_M0,False,,False,,False,,True,+,False,,False,,True,+,False,,False,,False,,False,,2
Jak2_T1<==>Tmsb4x_T2,False,,True,-,False,,False,,False,,True,-,False,,False,,False,,False,,False,,2
Jak2_T1<==>mt-Atp6_B0,False,,False,,False,,False,,False,,False,,False,,True,-,True,-,False,,False,,2
Jak2_T2<==>Ly6a_T4,False,,False,,False,,True,-,True,-,False,,False,,False,,False,,False,,False,,2
Jak2_T2<==>Ms4a6b_T0,False,,True,-,False,,False,,True,-,False,,False,,False,,False,,False,,False,,2
Jak2_T2<==>Sqstm1_M1,False,,False,,True,+,False,,False,,False,,False,,True,+,False,,False,,False,,2
Jak2_T2<==>Ywhaz_T5,False,,False,,False,,False,,False,,False,,False,,False,,True,+,False,,True,+,2
Jchain_B3<==>Ndufb8_M0,False,,False,,True,-,True,-,False,,False,,False,,False,,False,,False,,False,,2
Jchain_B3<==>Rpl22l1_B0,False,,False,,False,,False,,False,,False,,True,-,True,-,False,,False,,False,,2
Jchain_B4<==>Ms4a1_B4,False,,False,,True,+,False,,False,,False,,False,,False,,False,,True,+,False,,2
Jchain_B4<==>Rap1a_T4,False,,False,,True,-,False,,False,,True,-,False,,False,,False,,False,,False,,2
Jchain_B4<==>Smc4_T6_3,False,,False,,False,,False,,True,-,False,,False,,False,,False,,False,,True,-,2
Jmjd1c_B3<==>Rpl28_T5,False,,False,,False,,False,,False,,False,,True,+,False,,True,+,False,,False,,2
Jmjd1c_B3<==>Ube2i_M0,False,,False,,False,,False,,True,+,False,,False,,False,,False,,False,,True,+,2
Jmjd1c_B4<==>Smc6_M7,False,,False,,False,,False,,True,-,False,,False,,False,,False,,True,-,False,,2
Jmjd1c_M1<==>Rgs2_T7,False,,False,,True,-,False,,False,,False,,False,,False,,False,,True,-,False,,2
Jmjd1c_M3<==>Ndufc1_M0,False,,False,,False,,False,,False,,False,,False,,False,,True,+,False,,True,+,2
Jpt1_M3<==>Ms4a6b_T0,False,,True,+,False,,False,,False,,False,,False,,False,,True,+,False,,False,,2
Jpt1_M3<==>Nkg7_T0,True,+,True,+,False,,False,,False,,False,,False,,False,,False,,False,,False,,2
Jpt1_M3<==>Pon3_B3,False,,False,,False,,False,,False,,False,,False,,False,,True,+,True,+,False,,2
Junb_B1<==>Pdia3_B3,True,+,False,,False,,False,,False,,True,+,False,,False,,False,,False,,False,,2
Junb_B1<==>Rpl24_T2,True,-,False,,False,,False,,False,,False,,False,,False,,False,,True,-,False,,2
Junb_B1<==>S100a6_M5,True,+,False,,True,+,False,,False,,False,,False,,False,,False,,False,,False,,2
Junb_M1<==>Ptpn1_M1,True,-,False,,False,,False,,False,,False,,False,,False,,False,,False,,True,-,2
Junb_M1<==>Rps6_T2,True,-,False,,False,,False,,False,,False,,False,,True,-,False,,False,,False,,2
Junb_M1<==>Tmem14c_M1,False,,False,,False,,False,,False,,False,,False,,False,,False,,True,-,True,-,2
Junb_M1<==>Tnfrsf17_B3,False,,False,,False,,True,+,False,,False,,False,,False,,True,+,False,,False,,2
Junb_M4<==>Smim3_M4,False,,False,,True,+,False,,False,,False,,False,,True,+,False,,False,,False,,2
Junb_T5<==>Traf1_T2,False,,True,-,False,,True,-,False,,False,,False,,False,,False,,False,,False,,2
Jund_B1<==>Pax5_B2,False,,False,,False,,False,,False,,False,,False,,False,,True,+,True,+,False,,2
Jund_B1<==>Tomm6_T4,False,,False,,False,,False,,False,,False,,False,,True,+,True,+,False,,False,,2
Jund_B3<==>Kras_B5,True,+,False,,False,,False,,False,,True,+,False,,False,,False,,False,,False,,2
Jund_B3<==>Nfkbia_B3,False,,False,,True,+,False,,False,,False,,False,,False,,True,+,False,,False,,2
Jund_B3<==>P2ry6_M1,True,-,False,,False,,True,-,False,,False,,False,,False,,False,,False,,False,,2
Jund_B3<==>Rpl10a_T4,False,,False,,False,,False,,False,,True,+,False,,True,+,False,,False,,False,,2
Jund_B3<==>Rpl18a_B2,True,+,False,,False,,False,,False,,False,,False,,False,,True,+,False,,False,,2
Jund_B3<==>Slfn2_M4,False,,False,,False,,True,-,False,,False,,False,,True,-,False,,False,,False,,2
Jund_B3<==>Unc93b1_B4,False,,True,+,False,,True,+,False,,False,,False,,False,,False,,False,,False,,2
Jund_B5<==>Jund_T4,True,+,False,,False,,False,,False,,False,,False,,False,,True,+,False,,False,,2
Jund_B5<==>Kdm6b_T4,True,+,False,,False,,False,,False,,False,,False,,False,,True,+,False,,False,,2
