Unnamed: 0,p_val,avg_log2FC,p_val_adj
Rpl7,1.5876796062554575e-05,-0.1670699930156119,0.0001008127848143
Eloc,0.0005851107704714,-0.6942807602804095,0.0017402001363158
Ptpn18,0.0054933714376438,-0.2401533738884907,0.0113259749760185
Neurl3,0.7702490012791944,-0.1643584762784474,0.7838817269655518
Cox5b,1.5876796062554575e-05,-0.5242741273636078,0.0001008127848143
Rpl31,1.5876796062554575e-05,-0.3580842132704562,0.0001008127848143
Rnf149,0.0105995443391097,2.088980732680681,0.0203534849554332
Map4k4,0.0095578312296578,-0.3928867807172752,0.0184558867960743
Il1r2,0.0029639058244674,-0.9903183654791914,0.0068499046072102
Stat1,0.0002219962051443,-1.7708422655310103,0.0008975854205964
Gls,0.3053901722632373,0.1529489160372955,0.3835908110345274
Sf3b1,0.015860919266492,-0.1803212808129764,0.0285000893069778
Hspd1,0.1837871594137701,-0.4017389226213815,0.2489786780016388
Hspe1,0.004096213384139,-0.3904039197542523,0.0088140974066192
Clk1,0.0048460129906725,-0.5599802127776614,0.0103414916398887
Ndufb3,0.0007761696331711,-0.7188782197354984,0.0022130456482977
Cflar,0.0690958164642375,0.3725305370811569,0.10641989589358
Sumo1,0.0013430421695079,-0.4968081757232312,0.0036199183475017
Eef1b2,0.0001111375724378,-0.2289026861863001,0.0005158178810453
Rpl37a,0.0001905215527506,-0.0476902236593221,0.0008216241962369
Arpc2,1.5876796062554575e-05,-0.2271264850336122,0.0001008127848143
Dock10,0.0021358168527197,-0.6907567792642489,0.0052460512060215
Trip12,0.1630390876376388,-1.970004227853852,0.2240975507369935
Itm2c,0.0021592442645074,0.4205743444056841,0.0052460512060215
Ptma,1.5876796062554575e-05,-0.1260231130720981,0.0001008127848143
Arl4c,1.5876796062554575e-05,0.7928995768334047,0.0001008127848143
Lrrfip1,0.0015241724220052,-0.4361240639494016,0.0039241752656104
Cops9,0.0095578312296578,-0.2556792768965854,0.0184558867960743
Vps4b,0.3341195270386536,0.2225185512480631,0.4181544262212896
Dbi,0.0573787409700722,0.1719464855317738,0.0897084545378017
Actr3,6.35071842502183e-05,-0.2321717876259583,0.0003206338326779
Cxcr4,3.175359212510915e-05,0.9419129073044784,0.0001786139557037
Mapkapk2,0.0123997777248551,0.3648944696483186,0.0229174463307589
Snrpe,0.0007144558228149,-0.4677233874100279,0.0020427120900923
Ptprc,0.004096213384139,-0.190287756155352,0.0088140974066192
Rgs1,1.5876796062554575e-05,-0.5785981191313544,0.0001008127848143
Ptgs2,0.4726680955783123,0.1636229542778613,0.5534066503660104
Tpr,1.5876796062554575e-05,-0.6491024983255494,0.0001008127848143
