Endpoint_CellType_Pair,B0,B1,B2,B3,B4,B5,B6_0,B7,M0,M1,M2,M3,M4,M5,M7,O10,O4,O7,T0,T1,T2,T3,T4,T5,T6,T6_2,T6_3,T7
T4__T4,580,6694,4508,4638,3123,2097,18,131,12499,2867,133,8345,2590,4078,229,584,0,242,1676,1611,2739,2450,26796,2746,408,9,50,1272
T4__T5,1727,20066,12661,16516,6690,6985,25,770,35222,7566,1282,19402,7750,9575,617,1458,242,2252,4916,5198,9956,5591,69832,69832,813,24,468,3479
T4__T6,290,2942,1900,3302,1723,998,8,31,4823,1560,408,3524,1178,1560,92,270,0,253,575,798,1040,1100,10208,1528,10208,191,11,667
T4__T6_2,74,626,378,370,373,163,1,105,1393,438,13,600,579,634,11,45,0,26,785,779,384,301,2552,518,130,2552,3,110
T4__T6_3,58,965,362,704,324,359,0,7,965,204,6,577,161,585,16,260,0,20,282,115,294,345,2320,338,22,0,2320,144
T4__T7,498,5225,3371,4577,2492,2320,24,44,7747,2948,154,5114,2646,2563,271,669,5,206,1291,1287,1634,1679,17168,1848,448,21,86,17168
T5__T5,1277,13964,7731,12861,3178,4937,5,759,20428,4514,1388,10310,5251,5600,289,890,311,2313,3931,4117,7905,3347,9276,45153,421,14,432,2286
T5__T6,441,4224,2442,4923,1681,1623,4,132,5830,2050,671,3999,1599,1898,100,365,45,688,925,1492,1989,1301,2878,13244,13244,341,56,853
T5__T6_2,100,827,495,677,396,270,0,116,1940,586,52,680,818,707,13,67,11,75,1080,1051,591,339,744,3311,127,3311,16,167
T5__T6_3,68,1476,516,1061,256,481,0,17,1456,290,37,823,243,701,12,327,10,92,334,202,491,288,1076,3011,25,1,3011,140
T5__T7,818,7447,3929,7337,2771,3131,21,202,9880,3784,544,5265,3764,3153,390,823,91,1079,1908,2173,3286,2158,4951,22274,426,30,210,22274
T6_2__T6_2,0,11,3,10,11,4,0,1,34,13,3,9,20,10,0,3,0,0,28,25,6,5,11,17,7,55,0,5
T6_2__T6_3,2,51,12,33,24,14,0,3,59,17,0,14,22,37,1,13,0,0,38,31,26,21,43,15,11,110,110,5
T6_2__T7,26,228,153,195,141,88,2,35,470,200,5,185,214,175,5,35,0,12,263,263,101,110,250,183,43,814,4,814
T6_3__T6_3,1,19,8,17,11,12,0,0,19,4,0,3,0,20,0,10,0,0,9,2,8,9,24,6,0,0,45,7
T6_3__T7,23,317,131,285,107,150,0,0,333,120,3,203,97,193,6,95,0,13,80,42,86,97,301,124,16,0,740,740
T6__T6,35,280,181,416,169,119,0,0,408,176,74,341,130,154,6,38,0,58,48,119,94,102,208,167,946,51,1,90
T6__T6_2,26,133,83,138,88,36,0,14,274,86,13,127,112,107,0,11,0,13,151,159,61,70,125,109,484,484,0,38
T6__T6_3,14,201,89,173,64,73,0,0,203,60,19,123,36,114,2,50,0,10,47,30,53,71,164,95,440,2,440,37
T6__T7,119,1070,586,1271,613,477,1,4,1379,693,143,1041,561,509,58,121,1,146,226,352,299,349,797,458,3258,97,9,3258
T7__T7,110,918,505,935,423,464,9,0,1132,582,39,661,623,411,60,113,3,36,251,252,218,289,722,304,101,5,19,2702
