Endpoint_CellType_Pair,B0,B1,B2,B3,B4,B5,B6_0,B7,M0,M1,M2,M3,M4,M5,M7,O10,O4,O7,T0,T1,T2,T3,T4,T5,T6,T6_2,T6_3,T7
M2__T4,220,3967,3529,5846,1314,1525,117,67,7464,1736,15080,4086,1607,2019,135,399,113,261,1155,2011,2149,1580,15080,2207,660,24,15,651
M2__T5,406,5963,4020,8145,1299,2026,135,209,9011,2166,19567,4116,2050,2314,99,552,160,794,1813,3363,3237,1732,3912,19567,822,32,94,807
M2__T6,60,794,680,1352,358,375,14,2,1336,416,2860,778,358,377,21,99,18,133,167,463,361,313,622,473,2860,101,3,169
M2__T6_2,16,154,192,241,88,92,5,31,375,119,715,116,166,156,1,19,6,7,230,243,137,92,185,171,46,715,0,60
M2__T6_3,12,277,175,276,43,104,3,0,323,70,650,152,32,162,1,78,6,13,70,67,110,81,260,111,23,1,650,29
M2__T7,104,1410,925,2301,568,721,26,11,2190,856,4810,1151,806,641,63,196,35,143,402,820,652,523,1057,730,247,12,11,4810
M3__M3,2197,24748,13837,25296,9692,7889,151,249,38130,16113,706,100129,12824,11600,1229,3623,0,1607,6334,6197,8237,13351,24643,10604,2025,203,42,3007
M3__M4,3648,42601,23396,46269,15257,15135,132,325,67601,27428,2664,158145,158145,18720,3874,4505,7,3073,12674,15777,18482,22184,39664,19851,4315,385,149,7137
M3__M5,2878,36280,21514,31287,11928,12146,121,336,57865,18433,2620,135296,12806,135296,1505,4609,2,3478,11838,9068,12973,17004,38074,15372,2445,573,70,5159
M3__M7,404,5052,3948,4908,2141,2984,15,36,8118,3698,280,20160,2319,2775,20160,2181,0,1142,1399,1847,1873,2663,5314,3348,390,71,1,1301
M3__O10,693,6272,3615,7514,3246,2457,19,23,9065,3696,167,23296,3487,4730,343,23296,462,664,2065,2282,2287,2848,5234,2784,366,39,5,1508
M3__O4,211,1216,433,2947,747,273,6,6,2149,647,42,4480,521,515,30,107,4480,85,349,348,565,623,1264,420,79,2,1,814
M3__O7,686,7945,4396,8175,2348,1846,59,209,11132,3610,484,27328,2009,5314,228,761,32,27328,1690,2077,3487,3107,6441,3684,395,33,244,1323
M3__T0,1094,10796,5831,10868,3431,2669,255,217,18504,4655,344,38080,5084,7263,342,845,2,1621,38080,2898,4392,5442,10537,5468,514,44,18,1442
M3__T1,2755,26847,13118,21819,6768,8434,163,109,33539,11469,1310,77952,10094,9390,1489,2909,0,3720,7480,77952,9557,11372,18445,11556,2256,532,28,4084
M3__T2,2242,32626,16692,28888,8513,10065,125,111,47814,19113,2100,110209,13509,15168,1769,2695,0,2072,7823,8642,110209,17878,27590,14236,1520,215,121,4467
M3__T3,1352,20413,13295,19122,6444,6264,167,215,32874,9914,1117,73024,9172,11082,912,1542,40,1432,7537,5645,9129,73024,19747,7782,892,92,41,3320
M3__T4,2367,26877,16668,23323,11842,8472,109,376,45987,14715,807,103936,11801,13781,1148,2932,1,1159,7170,6094,9963,11327,103936,11096,1674,94,177,4242
M3__T5,3818,38904,22219,38895,12006,12842,102,1399,58007,18238,2666,134849,17133,16657,1392,3973,496,5072,10519,10804,19621,14952,31330,134849,1701,197,641,6001
M3__T6,554,5614,3177,7045,2797,1972,15,30,8215,4082,791,19712,2597,2669,215,682,0,589,1174,1765,1929,2595,4720,2913,19712,579,10,1145
M3__T6_2,148,1209,758,987,636,300,4,211,2786,1079,29,4928,1185,1149,40,164,0,61,1508,1523,667,753,1425,1283,211,4928,2,245
M3__T6_3,110,1966,708,1461,482,661,1,2,2012,602,32,4480,421,1108,55,499,0,61,554,259,515,621,1734,835,46,2,4480,214
M3__T7,1016,10038,5501,10012,4209,4353,64,35,13368,6340,367,33152,5793,4590,626,1358,13,601,2651,2700,3083,4244,8419,3612,891,51,151,33152
M4__M4,1555,18014,9628,20120,5973,6777,5,108,27991,11366,1648,20683,62131,7057,2187,1358,10,1238,5734,7990,9719,8573,15324,8669,2089,74,138,3487
M4__M5,2255,30107,17342,28584,8822,11543,42,276,47671,15028,2960,32752,106606,106606,2347,2918,0,2879,10559,10177,13740,13395,27803,14367,2688,347,157,5510
M4__M7,380,4222,3006,4558,1656,2592,1,35,7006,3188,358,5357,15885,2126,15885,1591,0,989,1268,2099,1968,2092,4008,2922,459,26,7,1174
M4__O10,552,5305,3016,6613,2387,2228,3,13,7775,3122,266,6314,18356,3706,463,18356,364,550,1986,2406,2447,2258,4101,2446,483,22,24,1376
M4__O4,233,1000,356,2288,529,264,0,8,1789,514,62,975,3530,391,53,70,3530,60,276,387,570,533,971,386,80,0,3,640
M4__O7,616,6940,3906,6900,1845,1804,34,192,9275,3158,541,6059,21533,4281,390,378,26,21533,1573,2362,3066,2524,4969,3301,585,10,232,1289
M4__T0,831,8649,4778,9453,2582,2616,182,190,14926,3788,482,7560,30006,5306,550,535,0,1247,30006,3111,4410,4377,7787,4741,600,30,70,1493
M4__T1,2317,21752,10449,19264,4906,7657,64,87,27965,9685,1550,17396,61423,7422,1918,1959,0,3014,6621,61423,9796,8473,14163,9955,2383,406,61,3789
M4__T2,1756,27262,13673,25388,6280,9085,19,60,39758,15553,2594,24502,86839,11421,2365,1512,6,1656,7171,9413,86839,13893,20840,12298,1820,138,185,4358
M4__T3,1174,16890,10880,16956,4660,5699,41,137,27590,7852,1378,17618,57539,8385,1270,997,38,1094,6672,6254,9018,57539,14907,6996,1244,77,88,3133
M4__T4,1820,22630,13543,20916,8875,8105,35,319,38698,12107,1410,26537,81896,10696,1884,1656,0,1067,6681,7139,10836,9513,81896,9893,1910,58,217,4367
M4__T5,2933,32482,18099,32231,8844,11706,11,1040,49590,15578,3040,30152,106256,12722,2220,2273,392,3896,9424,11746,17959,11707,24427,106256,2212,97,638,5829
M4__T6,462,4712,2725,5944,2268,1756,10,23,6938,3090,739,5570,15533,2104,376,384,0,563,1084,1816,2031,2069,3620,2518,15533,398,25,1110
M4__T6_2,111,999,598,891,493,347,0,164,2197,791,63,984,3884,868,60,91,0,52,1256,1268,704,583,1092,903,224,3884,9,249
M4__T6_3,81,1548,559,1329,393,608,0,3,1582,542,41,975,3530,852,58,391,0,57,497,291,515,528,1324,599,85,1,3530,242
M4__T7,833,8156,4577,8736,3353,3596,28,32,11352,5356,486,7750,26122,3497,873,901,13,498,2481,3042,3271,3358,6474,3384,901,41,143,26122
M5__M5,942,11233,7512,9013,2644,4441,20,153,18436,4472,1242,11629,2815,45451,300,1423,0,1790,4458,2921,4820,5220,10596,5826,779,259,34,1816
M5__M7,240,3654,2749,2997,1198,2214,3,47,6190,2248,318,4116,1114,13590,13590,1399,0,869,1160,1186,1426,1515,3917,2211,388,55,2,858
M5__O10,419,4370,2964,4517,1793,1655,6,28,6448,1921,303,5116,1958,15704,195,15704,314,632,1638,1669,1665,1780,3533,1982,304,52,8,925
M5__O4,168,834,288,1823,424,218,2,9,1451,293,70,834,296,3020,9,75,3020,88,278,289,304,460,844,355,31,10,0,472
M5__O7,464,4781,3398,4696,1119,1387,40,134,7752,1784,464,4541,737,18422,52,442,12,18422,1303,1263,2422,2262,4107,2425,223,64,202,1006
M5__T0,605,6932,3880,6513,1582,2069,183,162,11883,2228,428,5680,2516,25670,193,623,0,1315,25670,1754,2974,3402,6221,3781,263,66,18,985
M5__T1,1660,16992,9250,13575,3266,6161,68,125,23466,5896,1324,12787,5107,52548,1003,1927,0,3084,5867,52548,6534,7124,11951,8201,1348,481,19,2786
M5__T2,1278,22368,12097,17117,4076,7605,60,199,32608,9853,2264,18591,6101,74292,826,1527,0,1970,6616,5847,74292,10629,17969,10576,896,220,105,3185
M5__T3,827,13308,9615,11216,3101,4788,75,122,22532,4625,1226,13548,4336,49226,437,1081,4,1342,6177,3757,6381,49226,12323,5774,558,120,21,2183
M5__T4,1567,18307,11751,13087,6115,5969,36,311,31947,7634,1166,21026,5602,70064,535,1953,0,1428,5577,4167,7315,6728,70064,7892,1174,195,106,3052
M5__T5,2259,25521,16097,21871,6287,9625,58,890,42705,9553,2667,22905,8248,90902,583,2182,316,4247,8325,7121,12675,8242,21352,90902,1173,338,473,4419
M5__T6,377,4013,2436,4370,1706,1323,16,23,5882,1915,662,4290,1274,13288,96,426,0,616,981,1174,1385,1582,3311,2131,13288,217,5,777
M5__T6_2,125,802,437,536,445,229,1,116,1773,565,49,722,734,3322,8,74,0,75,1051,1005,464,493,788,865,172,3322,2,130
M5__T6_3,55,1306,444,929,363,469,0,0,1210,312,57,752,151,3020,13,339,0,60,389,152,359,373,1070,548,30,1,3020,152
M5__T7,590,6893,3953,6098,2628,3083,18,42,9436,3646,501,5994,3063,22348,391,919,5,730,2139,1866,2280,2588,6346,2653,610,70,86,22348
M7__M7,16,260,246,216,127,212,0,1,369,207,28,274,92,137,990,191,0,96,68,139,109,122,233,221,7,0,0,61
M7__O10,72,645,461,730,314,416,0,2,991,443,37,801,316,485,2340,2340,46,152,229,334,264,270,513,384,46,2,0,223
M7__O4,23,112,59,296,70,50,0,1,225,80,7,136,56,71,450,37,450,28,31,55,43,68,130,74,11,0,0,89
M7__O7,107,861,663,696,235,329,3,34,1087,426,73,751,194,549,2745,286,0,2745,154,304,339,311,662,502,43,4,21,195
M7__T0,98,1066,778,1086,340,533,24,20,1969,587,47,1009,499,742,3825,339,0,317,3825,418,440,508,1023,741,82,3,0,252
M7__T1,315,2726,1620,2054,747,1312,8,21,3359,1316,163,2193,953,988,7830,814,0,662,696,7830,1019,1044,1932,1552,268,48,0,560
M7__T2,224,3359,2066,2684,973,1691,5,22,4704,2174,256,3180,1278,1633,11070,1032,0,674,772,1194,11070,1757,2873,2010,167,14,5,695
M7__T3,124,2087,1617,1832,681,1126,13,22,3408,1145,147,2377,887,1153,7335,647,2,441,705,775,925,7335,1978,1152,135,11,0,560
M7__T4,253,2711,2037,2264,1254,1613,2,31,5090,1833,109,3449,1089,1472,10440,1036,0,517,686,909,1010,1128,10440,1710,240,15,15,738
M7__T5,386,4107,2733,3669,1351,2156,1,167,5678,2163,354,3562,1636,1835,13545,1318,46,987,968,1511,2140,1362,3218,13545,223,14,61,885
M7__T6,58,576,382,670,304,328,1,4,796,432,78,658,244,308,1981,206,0,136,116,250,226,251,463,362,1981,62,1,175
M7__T6_2,18,109,95,100,63,57,0,21,301,113,6,129,118,133,495,44,0,24,148,164,68,73,155,153,26,495,0,37
M7__T6_3,13,208,83,153,50,91,0,0,217,85,6,118,44,103,450,78,0,24,57,40,59,51,167,99,8,0,450,34
M7__T7,97,1014,675,1033,477,653,0,3,1368,722,61,915,506,526,3332,353,0,201,258,376,323,401,853,558,98,6,13,3332
O10__O10,56,393,223,513,226,173,0,0,517,203,13,464,232,370,25,1326,53,50,162,179,143,145,269,175,31,0,0,104
O10__O4,38,129,61,342,90,56,0,0,245,69,4,156,85,92,6,520,520,8,41,59,59,75,129,66,10,0,0,96
O10__O7,108,943,573,1118,401,256,7,16,1265,407,68,911,339,844,25,3172,64,3172,247,370,401,329,624,388,47,2,31,232
O10__T0,139,1274,769,1518,488,426,21,15,2051,461,32,1227,725,1113,53,4420,87,241,4420,516,537,500,1068,693,68,2,3,265
O10__T1,403,3323,1703,3074,985,1196,8,3,3936,1265,127,2631,1472,1709,190,9048,186,517,1059,9048,1195,1137,1874,1451,251,55,0,692
O10__T2,333,4183,2123,4217,1320,1520,2,3,5393,2118,227,3675,1930,2653,223,12792,254,318,1248,1473,12792,1786,2765,1776,152,12,11,825
O10__T3,201,2441,1645,2684,990,908,6,18,3761,1014,121,2751,1302,1899,126,8477,172,230,1120,975,1146,8477,2034,1003,93,10,2,569
O10__T4,331,3284,2125,3413,1701,1347,4,30,5257,1551,77,4153,1659,2503,191,12065,241,241,1032,1224,1236,1095,12065,1436,197,2,17,806
O10__T5,557,4919,2772,5399,1789,1894,2,132,6992,2001,297,4682,2486,3003,143,15652,364,750,1514,1901,2341,1483,3216,15652,206,10,75,1081
O10__T6,62,717,414,953,405,262,0,3,945,426,96,856,381,485,21,2288,47,116,177,300,242,264,504,363,2288,59,2,185
O10__T6_2,21,172,106,152,89,53,0,21,305,107,4,149,156,146,3,572,11,9,184,191,83,72,145,148,32,572,0,38
O10__T6_3,18,231,93,196,88,90,0,0,218,65,1,157,62,149,9,520,10,11,64,52,66,68,186,88,6,0,520,41
O10__T7,150,1143,754,1418,639,571,4,0,1581,698,29,1135,808,856,57,3848,76,105,382,448,421,405,943,436,83,4,15,3848
O4__O4,5,8,2,37,6,2,0,0,26,1,0,13,8,4,0,0,45,0,3,5,12,7,15,3,1,0,0,12
O4__O7,27,164,49,373,88,22,2,2,297,51,17,126,52,94,1,7,610,610,28,69,84,85,153,64,5,0,7,103
O4__T0,61,236,85,525,103,46,6,12,469,74,7,173,104,139,2,8,850,38,850,98,89,151,257,124,5,0,1,135
O4__T1,99,531,191,1115,254,170,4,2,870,196,41,392,220,199,26,51,1740,86,153,1740,232,325,453,236,38,10,0,290
O4__T2,144,704,205,1541,297,210,0,1,1237,314,45,509,304,301,16,57,2460,33,186,263,2460,450,706,285,23,0,4,400
O4__T3,106,463,188,1039,207,110,0,3,823,175,30,377,219,224,9,17,1630,26,180,161,234,1630,474,161,17,0,0,262
O4__T4,164,645,271,1385,330,174,3,9,1186,249,18,667,240,305,13,40,2320,24,173,182,235,333,2320,233,28,0,2,378
O4__T5,168,873,311,1896,421,254,1,25,1513,313,64,693,364,367,8,74,3010,111,225,314,466,434,805,3010,36,0,15,504
O4__T6,28,131,51,300,82,42,0,1,222,62,14,139,52,67,2,7,440,16,32,45,47,62,133,66,440,4,0,80
O4__T6_2,11,29,9,61,20,4,0,7,68,20,3,19,28,24,0,0,110,2,35,39,16,28,30,22,5,110,0,12
O4__T6_3,6,38,11,62,13,19,0,0,55,6,0,24,10,24,0,12,100,0,10,12,10,17,38,15,2,0,100,22
O4__T7,54,199,94,499,125,91,3,0,368,115,5,195,111,98,7,27,740,7,49,73,109,97,223,75,21,0,1,740
O7__O7,37,462,392,512,113,101,15,16,717,180,58,380,55,432,1,15,4,1830,91,134,216,154,392,242,20,0,28,102
O7__T0,182,1575,879,1655,334,304,28,51,2500,406,60,1107,446,1390,13,66,6,5185,5185,427,760,608,1153,818,32,1,67,254
O7__T1,430,3849,1986,3288,655,985,46,66,4518,1109,331,2418,766,1998,136,290,17,10614,888,10614,1529,1234,2206,1778,244,68,108,650
O7__T2,334,4854,2521,4559,812,1162,46,120,6269,1775,421,3588,869,3019,121,178,15,15006,974,1433,15006,1927,3487,2394,140,5,163,759
O7__T3,169,3134,2145,3050,594,730,33,62,4498,821,264,2559,718,2296,53,148,10,9943,961,829,1622,9943,2363,1252,66,6,108,547
O7__T4,329,4145,2847,3492,1313,912,33,134,6606,1560,258,3915,882,2978,72,272,6,14152,795,1063,1970,1303,14152,1743,181,4,193,784
O7__T5,527,5515,3385,5574,1259,1467,56,316,7959,1755,583,3752,1332,3522,60,314,72,18361,1302,1618,3019,1529,3911,18361,210,8,260,1076
O7__T6,92,854,531,1011,315,265,7,35,1061,424,132,760,202,517,9,43,0,2684,147,280,307,270,628,454,2684,53,30,178
O7__T6_2,46,211,124,173,49,39,1,34,373,101,11,169,131,169,0,12,0,671,206,208,92,106,143,142,22,671,9,57
O7__T6_3,16,281,119,197,51,67,0,5,284,57,9,128,13,203,0,67,0,610,72,38,82,60,205,114,2,0,610,36
O7__T7,162,1612,786,1449,520,495,13,35,1819,678,73,973,501,872,42,129,2,4514,336,413,597,474,1086,643,82,4,56,4514
T0__T0,70,996,552,1098,244,235,59,30,1709,233,19,606,462,833,29,50,0,226,3570,290,489,521,865,598,16,1,6,140
T0__T1,530,5023,2536,4628,910,1347,118,94,7264,1446,204,2973,1890,2881,278,430,0,1042,14790,14790,2153,2096,3495,2674,340,90,5,749
T0__T2,437,6545,3147,6074,1162,1638,158,103,10100,2459,393,4156,2456,4074,296,280,0,829,20910,1976,20910,3335,4874,3465,142,11,34,829
T0__T3,295,3795,2595,3821,942,1076,106,76,6877,1063,199,3073,1708,2883,107,174,4,557,13855,1249,1989,13855,3479,1958,82,0,7,557
T0__T4,456,5195,3199,4820,1779,1386,139,149,9621,1698,122,4830,2303,3882,156,351,0,687,19720,1339,2358,2428,19720,2672,215,10,27,871
T0__T5,818,7828,4261,7712,1770,2127,162,314,13109,2231,478,5329,3207,4832,152,411,96,1550,25585,2343,3983,2833,5928,25585,203,18,159,1176
T0__T6,99,1163,673,1473,515,315,28,9,1832,469,143,992,502,704,17,77,0,234,3740,338,410,558,927,647,3740,47,2,204
T0__T6_2,23,254,118,225,115,43,7,31,496,133,4,156,225,228,10,18,0,34,935,296,169,182,254,193,52,935,1,28
T0__T6_3,17,359,117,313,110,117,4,4,358,77,2,149,59,275,5,88,0,34,850,53,126,149,298,150,5,1,850,42
T0__T7,209,1990,1143,2003,777,764,35,25,3010,992,50,1444,1098,1232,76,201,3,284,6290,573,660,881,1696,926,135,5,19,6290
T1__T1,598,6200,2634,4540,906,1990,19,26,6560,1985,305,3426,1865,1804,401,646,0,1077,1837,15051,2256,2131,2899,2599,578,181,0,972
T1__T2,1194,15812,6725,11932,2270,4937,44,59,18631,6510,1111,9839,4748,5713,974,1130,0,2035,4337,42804,42804,6469,9270,6795,988,273,28,2217
T1__T3,746,9795,5699,8059,1807,3364,57,62,13257,3033,628,6999,3520,4447,585,771,2,1325,3825,28362,4646,28362,6414,4119,692,179,5,1682
T1__T4,1314,13464,7355,10067,3597,4570,47,139,19382,4859,560,10853,4730,5744,800,1312,0,1657,3771,40368,5454,4482,40368,5941,1079,248,53,2226
T1__T5,1978,19036,8944,15427,3537,6191,42,519,23482,6421,1404,12167,6184,6160,873,1518,196,3480,5457,52374,8959,5462,10827,52374,1271,332,241,3015
T1__T6,295,2841,1501,2867,978,951,6,16,3344,1279,352,2334,942,1054,135,268,0,518,653,7656,992,1032,1672,1348,7656,214,0,564
T1__T6_2,83,578,278,432,227,179,0,65,1019,357,24,388,485,432,41,73,0,62,633,1914,345,270,400,500,108,1914,0,136
T1__T6_3,61,904,332,663,161,313,2,1,784,209,18,437,136,393,32,210,0,89,230,1740,253,233,612,323,49,12,1740,106
T1__T7,561,4980,2403,4057,1518,2032,40,11,5552,2294,231,3141,2236,1702,358,581,6,703,1353,12876,1628,1753,2909,1966,435,95,61,12876
T2__T2,376,9659,4422,7570,1323,2966,14,31,12725,5132,814,6775,3167,4483,567,358,0,515,2278,2983,30136,5076,7086,4455,237,30,43,1174
T2__T3,599,12545,7551,10307,2219,3911,39,72,18308,5001,1013,9877,4509,6752,585,512,15,727,4214,3828,40098,40098,9424,5132,303,40,35,1797
T2__T4,1023,16960,9388,12632,4635,5384,34,198,26962,8041,993,15346,5879,8807,779,978,0,669,3937,4482,57072,7692,57072,7234,594,47,116,2658
T2__T5,1591,23535,12006,19539,4213,7639,20,684,33378,10191,2205,17197,8158,10034,946,1228,261,2577,5948,6983,74046,9097,16426,74046,672,54,418,3364
T2__T6,268,3617,1869,3873,1295,1255,13,10,4748,1949,526,3331,1309,1613,139,244,0,381,690,1142,10824,1566,2392,1752,10824,247,10,684
T2__T6_2,64,733,365,503,273,217,0,98,1465,519,37,564,636,634,37,39,0,24,862,855,2706,394,629,616,93,2706,1,142
T2__T6_3,38,1190,384,803,195,424,0,0,1061,371,34,556,147,598,35,270,0,33,335,164,2460,321,900,408,16,1,2460,132
T2__T7,537,6320,3023,5564,2116,2535,30,12,7839,3738,391,4285,3082,2717,376,554,15,358,1504,1675,18205,2754,4364,2432,441,42,97,18205
T3__T3,212,3655,2876,3400,897,1291,23,35,6454,1087,295,3526,1628,2348,142,170,10,248,1860,1230,2108,13203,3272,1400,96,9,3,656
T3__T4,672,10240,7399,8202,3370,3309,46,159,18533,3611,560,11291,4068,6306,377,654,6,505,3904,2839,4897,37816,37816,3992,400,15,48,1822
T3__T5,1028,14951,9985,13520,3234,5017,46,469,23885,4625,1285,12517,5909,7656,472,743,183,1893,5554,4535,8502,49064,11524,49064,418,46,256,2522
T3__T6,167,2217,1580,2582,948,784,15,14,3362,1006,320,2366,983,1143,55,148,2,243,641,738,884,7172,1669,987,7172,150,4,469
T3__T6_2,44,430,289,355,212,146,2,54,995,267,23,399,419,455,10,38,0,21,598,571,334,1793,467,395,78,1793,1,98
T3__T6_3,24,706,292,502,175,272,2,3,729,153,17,408,117,442,11,176,0,17,269,102,266,1630,593,255,9,0,1630,91
T3__T7,325,3956,2491,3674,1471,1683,29,26,5388,1965,218,3261,2071,1971,168,364,12,239,1406,1124,1520,12062,3125,1375,266,29,52,12062
