gene,pval_lower,pval_median,pval_upper,log2fc_lower,log2fc_median,log2fc_upper,median_Salmonella_infTLSwk3_median,median_IL10_KOTLS_median,FDR_BH
Rpl7,0.2379772961816305,0.7344923394458999,1.0,-0.0462088425670441,0.0033665802132845,0.0479525227073437,2.584984431754996,2.595934397520955,0.7620947096725561
Eloc,0.0036827970389574,0.0946475624588327,0.6422030526876021,-1.4371117640493327,-0.3665102502782514,0.0517181396373183,0.6685020836457802,0.5188640134639106,0.2763108898389889
Ptpn18,0.0021592442645074,0.0314201794077955,0.1349368897356513,-0.4242606684300479,-0.2973492115380379,-0.1575854332636926,1.422452310702535,1.159998606873065,0.1507103520746801
Neurl3,0.0556858267922613,0.3190687002989552,0.9034642790425516,-29.397780090909706,-1.062544305934007,0.1509667027201108,0.6270763238681765,0.29385778131963,0.5682193835588114
Cox5b,0.004096213384139,0.0901881400333412,0.343145193299992,-0.3198654657728791,-0.2093334960234182,-0.0838183172281852,1.4027144362949624,1.2130391761602124,0.2744434798864039
Eif5b,0.015860919266492,0.1349368897356513,0.3837421608319441,-0.5153916166117131,-0.362074204470257,-0.1687706783630735,1.2369131603349577,0.9631421514816708,0.33351213794925166
Rpl31,0.0001905215527506,0.015860919266492,0.0828804477256486,-0.2381935862012948,-0.1895529648610062,-0.1166436872134657,2.154461779559285,1.88857387131943,0.10438698028877293
Rnf149,0.2010190166992529,0.7280611426419807,1.0,-0.1429320348618905,0.091292086303722,0.3486748363826711,0.7057726459444653,0.7519952839105217,0.7620947096725561
Map4k4,0.0004763038818766,0.0108664966671454,0.1152655394141462,0.2845114101019023,0.6268046576287888,1.0816675280934394,0.6695857469756585,1.0351945713360675,0.0891367697623811
Il1r2,0.010408775719352,0.0946475624588327,0.7552483193005225,0.2243642062874095,1.5124553352871088,29.77268462243104,0.3166461957285905,0.8761766001428759,0.2763108898389889
Stat1,0.0006710344515115,0.0017100293456709,0.0069870186828277,-2.570005457441377,-1.3920923905578246,-1.033972029757535,1.5449148411035698,0.5857919951410504,0.03041154755275557
Gls,0.0690958164642375,0.5208065412399778,1.0,-0.2712137048097599,-0.0587031414772259,0.1714082023626187,0.8668989442535122,0.8342769235344956,0.7260504983788854
Sf3b1,0.0690958164642375,0.4726680955783123,0.9699293482575216,-0.053758266130164,0.0891770312555012,0.2312867572356814,1.30988602647299,1.395184367229165,0.7001148485518665
Hspd1,0.1590939961274773,0.4078373860045269,0.8398043050607225,-1.7626909738541316,-0.2775927193829739,0.6324404288972293,0.6169251908268175,0.5129422573022597,0.658590472121433
Hspe1,0.0095578312296578,0.1948162260855759,0.910105580693816,-0.0644133557749446,0.1768362226510113,0.4671060475454325,1.020743801421838,1.1416647747737452,0.4290505212623967
Bzw1,0.0473446058585377,0.2702706993728666,0.9699293482575216,0.0345709939482266,0.3686160951450599,0.7160852220097054,0.7047581930189517,0.9057895965371768,0.5150613328115909
Clk1,0.0697089042145294,0.4726680955783123,0.9699293482575216,-0.3808806879897178,-0.113377127777196,0.3433255054514353,0.7260861812799217,0.671167926834344,0.7001148485518665
Ndufb3,0.0267227434121398,0.2569136720452983,0.9084789839545032,-1.2333633427193231,-0.3275194751536064,0.579408478692222,0.6518844526402202,0.5208327973095914,0.5066659873785325
Cflar,0.1148309121219338,0.6238787012780821,1.0,-0.0589367875627167,0.1606466271131163,0.422632401076863,0.9403745631940004,1.0542375043054988,0.7470664530403601
Sumo1,0.3747542978883967,0.7868234305012446,1.0,-0.0611188821210811,0.1340346505292185,0.3766581409873114,0.631285898459378,0.6946244893636139,0.7962981402857344
Fam117b,0.0218317488739345,0.2596551285404619,0.9059070370107288,0.0330250656111329,0.5894195717009477,2.043067656734928,0.3892923676704573,0.5890794909768335,0.5111819226222659
Eef1b2,0.0123997777248551,0.2082876875446535,0.910105580693816,-0.1373576858183071,-0.0742387358614673,0.012589202192687,2.3470196502761285,2.2276104578172187,0.44319861334689425
Rpl37a,0.0473446058585377,0.5208065412399778,0.9699293482575216,-0.0472740533551511,-0.0104568050822361,0.0176755591706667,3.4212712712136923,3.3974290673128573,0.7260504983788854
Arpc2,0.015860919266492,0.1349368897356513,0.7920774787647853,-0.0046775787635016,0.0532598221574729,0.1279071383043487,2.03559905585527,2.111673626514325,0.33351213794925166
Tmbim1,0.0325325182293942,0.1736964858864386,0.754527721301399,0.2081711090289231,0.6297869252794724,1.5488262679204914,0.3887753125951951,0.62161625375954,0.3988324990333641
Slc11a1,0.0017100293456709,0.023363841563721,0.1375796038570634,-1.636902594930913,-0.6103386286896035,-0.283724977634314,0.9727900664217908,0.6546069765688448,0.1322978134123641
Dock10,0.1272684290643955,0.6083787677123833,1.0,-0.8795128765656363,0.4311953306318741,29.019772401259345,0.3895999582671445,0.5288779981920113,0.7470664530403601
Trip12,0.0727941387104546,0.4917430513478364,1.0,-28.966825832933164,-1.2333198461558004,1.4291326292793434,0.3903128146141277,0.1267865573734522,0.7236487242391968
Itm2c,0.0095014686036357,0.2379772961816305,0.9699293482575216,-0.3277418214721408,-0.152339772694885,0.0611688378067305,1.1413296175897143,1.02858986306376,0.4751151662744369
Ncl,0.0015241724220052,0.0573787409700722,0.4268635389378423,0.0804648632288994,0.1896247633635383,0.3434855226621031,1.3867299766351948,1.5725299033721252,0.21071042092350167
Ptma,0.0821608319441137,0.6238787012780821,1.0,-0.0496911762361804,-0.0093254799265418,0.0315812058048746,2.9464528159892875,2.9254041270647253,0.7470664530403601
Inpp5d,0.2168320175010968,0.64330403310901,1.0,-0.3378973534588092,-0.130272055855225,0.1551500757208223,0.739114494595866,0.673341120760719,0.7470664530403601
Arl4c,3.175359212510915e-05,6.35071842502183e-05,0.0015241724220052,0.2765278184626202,0.3864341550368497,0.4861151196146214,1.6988955696279326,2.212566047497215,0.0059908443809372595
Lrrfip1,0.1567746037227538,0.6995681542011702,1.0,-0.1372762980849987,0.1472621598559301,0.5411743370139601,0.7296242407757005,0.8024001821683648,0.7620947096725561
Cops9,0.2624611206147895,0.6784313725490196,1.0,-0.0847353547069049,0.087498319917292,0.3327758514685097,0.7571228255602838,0.8000528125255063,0.7470664530403601
