gene,pval_lower,pval_median,pval_upper,log2fc_lower,log2fc_median,log2fc_upper,median_Control_median,median_Salmonella_infNonTLSwk6_median,FDR_BH
Tcea1,0.0045390338355759,0.0721056721056721,0.5229895778772703,0.0175522027706547,0.320064195505516,1.5880980316384337,0.5419735954236955,0.6897119110000485,0.22216426650460794
Rpl7,0.0289044289044289,0.3356643356643357,0.9550893550893552,-0.0152965356154773,0.0258506441519346,0.0678108096424272,2.96011141717653,3.012430482058855,0.566899766899767
Eloc,0.0203496503496503,0.3968919968919969,1.0,-0.2794344716993929,-0.1141052733985057,0.0810527484781761,0.723632404484391,0.6650495202257268,0.6255164190648062
Phf3,0.0063457053762778,0.1611249492890518,0.8620647160700694,-0.0231171013829827,0.3082946567669886,29.2801405115358,0.5025807261806965,0.6225629832111088,0.37742967573188846
Ptpn18,0.0037296037296037,0.054079254079254,0.2330846930846919,0.3037449964645521,0.4379103617015504,0.5969830874576513,1.06923266812781,1.4461308567426023,0.1826677026677024
Neurl3,0.280963480963481,0.778865578865579,1.0,-0.2525122021732096,0.0655300750444179,0.4603979550262832,0.6565217047517,0.6943993172747911,0.7805773713466022
Cox5b,0.0006216006216006,0.0205128205128205,0.280963480963481,0.0716971506726778,0.1681709760385808,0.2441543554299851,1.49386367079281,1.6843676588593426,0.10099807986465956
Tmem131,0.0205128205128205,0.0289044289044289,0.151981351981352,-0.6395306979170553,-0.4462284613962817,-0.2469116690962341,1.02789328185095,0.7581668053148845,0.12434358094735451
Mrpl30,0.0166710088037554,0.2226536979813717,0.9077864979090876,0.0163098156213407,0.5554327846887608,29.353511589385757,0.4432704413917235,0.6235196782799609,0.4550651643908457
Eif5b,0.0721056721056721,0.5358197358197359,1.0,-0.0882129975753046,0.1410296614732986,0.3097897312889821,0.873014405857428,0.965973052701596,0.7228810637094661
Rpl31,0.0139860139860139,0.151981351981352,0.4634032634032634,0.0175030291455482,0.0656828006427526,0.1656637288579731,2.33896277690862,2.444272092913286,0.35908547411138086
Map4k4,0.0093240093240093,0.1892773892773893,0.8665112665112666,-0.4211775324996716,-0.2213848429015766,-0.0083087649492885,1.47804847134915,1.2987500235320226,0.41035098024004524
Il1r2,0.0006216006216006,0.0139860139860139,0.1205905205905206,-0.5838767972096427,-0.3718602349149957,-0.2192853297899595,2.24044164865131,1.7282506293746351,0.08618408618408564
Nabp1,0.0060562738692192,0.0280438836937886,0.1444311230749957,-29.764155057321577,-3.0969270094183843,-0.9760079805659296,0.7883287048699841,0.077531460036225,0.12434358094735451
Stat4,0.1321178224188759,0.5624846616632901,1.0,-1.008590326567433,-0.3805615589870169,0.0916038411646274,0.815049384524173,0.6160517136263258,0.7267334043156539
Gls,0.0093240093240093,0.0721056721056721,0.3968919968919969,-0.6286245130126841,-0.3784727149273913,-0.111330129595187,0.916080783310782,0.7195193155051791,0.22216426650460794
Nab1,0.0307467786153291,0.3837143535858314,1.0,-0.0821555021128021,1.0392005368520358,29.291595247476927,0.289672161365024,0.6018287466030262,0.6255164190648062
Stk17b,0.0012432012432012,0.0721056721056721,0.5358197358197359,0.1172256165886861,0.318423622618037,0.5684110790957638,0.985646318895353,1.2341650522972825,0.22216426650460794
Sf3b1,0.0059052059052059,0.0721056721056721,0.3968919968919969,0.0870291007282021,0.203439771151191,0.3111667485536787,1.322742577094405,1.5249692968530826,0.22216426650460794
Coq10b,0.0026398139241367,0.042658103683907,0.3248386127491286,0.2142622292768904,1.43181965905026,29.71703725859796,0.276009731986991,0.771836407810207,0.1572945709961854
Hspd1,0.0471253041839123,0.52296164404117,1.0,-0.1917762540940497,0.1931796399650404,29.225681468736592,0.53737720971936,0.605179400959956,0.7228810637094661
Hspe1,0.0059052059052059,0.054079254079254,0.2318570318570318,0.175259182002768,0.3613243721762055,0.5280887238268454,0.984174856667648,1.265542332769705,0.1826677026677024
Bzw1,0.0003108003108003,0.0093240093240093,0.1205905205905206,-0.6198951959439848,-0.3944582187449721,-0.1978187513422088,1.05231714506423,0.8165196667667691,0.06678138615311373
