gene,pval_lower,pval_median,pval_upper,log2fc_lower,log2fc_median,log2fc_upper,median_Salmonella_infNonTLSwk6_median,median_IL10_KOnonTLS_median,FDR_BH
Tcea1,0.0004763038818766,0.0252441057394617,0.2702706993728666,-0.3463786957426811,-0.2097583662521969,-0.0895727426744141,0.6895130280610691,0.598129826746307,0.0675532269587995
Sgk3,0.0027786850681888,0.009501095540355,0.0298677932975399,-28.74727930474817,-27.24965501925292,0.0,0.1595745136884705,0.0,0.033535956779586026
Tram1,0.0027098492946278,0.0674459761625369,0.7395014282121282,-28.885375564400253,-27.75481260145544,0.0,0.2264806564498737,0.0,0.13883494785457598
Rpl7,0.0473446058585377,0.3053901722632373,0.910105580693816,-0.043958791989935,-0.0144280510339375,0.0053314229600582,3.01242499902681,2.984084652474019,0.42741846285377766
Eloc,0.004096213384139,0.1813447646264983,0.910105580693816,0.0322680776411266,0.1835950610902413,0.3268501783523656,0.6643077559715433,0.755837034979117,0.2900071255819777
Ogfrl1,0.0007335473709934,0.009501095540355,0.0978412151825437,-28.989721586377154,-27.906471751171413,0.0,0.2515851879728315,0.0,0.033535956779586026
Smap1,0.0021592442645074,0.038707628800508,0.3348776756537789,-0.4804302347385028,-0.2564322112418985,-0.0996145248779716,0.6936552086832006,0.5838748346193807,0.0901232146202083
Phf3,0.0021358168527197,0.0331970060098276,0.4342891302098599,-1.4470276271723423,-0.2813740148300672,-0.0768970840149102,0.6212157334526477,0.5116936461250121,0.07988775906681533
Ptpn18,0.0001905215527506,0.0073033261887751,0.0573787409700722,-0.5424202707646358,-0.4373845418927654,-0.3095917970126344,1.4418860313325623,1.0626842881124974,0.03323758653258872
Neurl3,0.0201317774073192,0.3097192473179757,0.969182212422568,-0.450151148909973,-0.1638988564895428,0.0956036848481351,0.6910022135361564,0.6211487190980249,0.43317528178897363
Cox5b,0.0010637453361911,0.0201317774073192,0.2379772961816305,-0.1891111842610571,-0.1295739659112638,-0.0589410489996373,1.6869373814716448,1.5416616252116038,0.057311315257432105
Tmem131,1.5876796062554575e-05,1.5876796062554575e-05,6.35071842502183e-05,0.5019683303560133,0.6615781895196424,0.8417886042886498,0.7568460453481001,1.1976773886471337,0.0026553941414622527
Mrpl30,0.0473446058585377,0.5890143815020004,1.0,-0.2492401975977995,-0.0214261011808015,0.1431870224998294,0.6219002398209701,0.6126529559930312,0.6809630551120476
Txndc9,0.163532702145277,0.6951599860537352,1.0,-28.46504688432571,0.0,28.566259403680853,0.0923088256431435,0.0,0.724771995849271
Eif5b,0.1813447646264983,0.6784313725490196,1.0,-0.1694892418193153,-0.0291104713560046,0.1147131203144459,0.964913046320735,0.9427498542428464,0.7095423474235969
Pdcl3,0.0100012950659087,0.163532702145277,0.9349954717476476,-28.97922595769368,-28.18017733068921,0.0,0.3056205999166012,0.0,0.26880436789973045
Rpl31,0.0021592442645074,0.0690958164642375,0.4726680955783123,-0.1210243544035247,-0.0797302441202358,-0.0250725375550597,2.445949231397722,2.314008412430512,0.13979365286665793
Map4k4,3.175359212510915e-05,0.0015241724220052,0.0201317774073192,0.2247257371312244,0.3343956994459046,0.4672876688870565,1.2987500235320226,1.63479456630013,0.01390460932256562
Il1r2,3.175359212510915e-05,0.0010637453361911,0.0314201794077955,0.2395414433560063,0.3755094605988358,0.5023831778087297,1.72277481329803,2.234311642696837,0.01154713696866545
Nabp1,0.0002040915427345,0.0003005389112932,0.0017522000049902,1.1808807562190973,3.3947548280550794,29.74068764241523,0.077531460036225,0.8474721591611885,0.007207498383968089
Stat4,3.175359212510915e-05,0.0029848376597602,0.0970382453253622,0.5319606463000061,0.7809502253671663,1.385044246981162,0.6181763872201078,1.060760532453216,0.018153239948905216
Stat1,0.0001111375724378,0.0015241724220052,0.015860919266492,-0.9900238579554802,-0.8070549168937464,-0.5822653447428481,1.4417798744580987,0.8248129631963564,0.01390460932256562
Gls,0.0004763038818766,0.0690958164642375,0.8506311026434865,0.0173771644009214,0.2375215563643457,0.4161490168355849,0.7160453332675772,0.8445865486544808,0.13979365286665793
Nab1,0.011838928302451,0.144747399408133,0.7855571560139146,-1.2325026294548342,-0.2650463282704149,0.0344472810705007,0.6036713914769585,0.5025296805394697,0.2478737462560776
Stk17b,1.5876796062554575e-05,0.0010637453361911,0.038707628800508,-0.6145108967642052,-0.4405352966889991,-0.2700483201808414,1.2288639885880477,0.9040958527103796,0.01154713696866545
Ankrd44,0.0001219709860793,0.0005866867131432,0.0078201581074312,-29.520172559436023,-29.26285215049452,-1.7294477219086666,0.64722862762063,0.0,0.00908783687397379
Sf3b1,0.004096213384139,0.038707628800508,0.2082876875446535,-0.234892479025162,-0.1604114959251229,-0.0815437771609438,1.525605873522169,1.369835619042305,0.0901232146202083
Coq10b,0.0009535613008391,0.0057852199149455,0.0393921086962645,-2.035988353072919,-0.8282973205168342,-0.3776040911666816,0.7713537191246265,0.4664499139903667,0.028458177375724557
Hspd1,0.0535513873919465,0.5369408750268727,1.0,-0.2544882618370108,-0.0545365523452264,0.1211331147599054,0.6034443339649169,0.5825597035034065,0.6422171252556219
Hspe1,0.1807327141382869,0.6784313725490196,1.0,-0.1118838090857559,-0.0014139424762557,0.1414771024403942,1.259733876868904,1.2582625518632624,0.7095423474235969
Bzw1,0.0073033261887751,0.1568627450980392,0.7920774787647853,0.0350437045375317,0.1831855354512666,0.3430694126214295,0.8117514064860987,0.924313333639346,0.2601847350510452
Clk1,0.0003016591251885,0.0054933714376438,0.0576716678574261,-0.3980323568116202,-0.2710911220137382,-0.1706457638062427,1.0987768254009849,0.9141212837077448,0.027155656343229327
Ndufb3,0.0473446058585377,0.343145193299992,0.910105580693816,-0.2742485325136131,-0.1361144584111137,0.0152893280404935,0.8105525821857424,0.739486792267758,0.46722686767509086
Cflar,0.0149354467126296,0.153337090086624,0.6710451983751922,-0.0057975987576549,0.3418206995912551,0.7923220768941311,0.5356914942064849,0.6791493183994335,0.2601847350510452
Sumo1,0.0690958164642375,0.4268635389378423,0.9699293482575216,-0.1852132427150987,-0.0580471707729918,0.0481751053877013,1.0324332622103287,0.99293472317329,0.5460262094635114
Nop58,0.0674286747287027,0.5264792305547628,1.0,-29.017839941016906,-1.0132384529865577,1.557456892826807,0.4676060313179152,0.221533200804774,0.6323421997147869
Fam117b,0.0004763038818766,0.015049240840804,0.1568627450980392,0.1818238642222929,0.3862922766850694,0.6771747904605065,0.6184586889497801,0.8071830511629889,0.046827637779059884
Eef1b2,0.0073033261887751,0.1813447646264983,0.9699293482575216,-0.0605265186307083,-0.0261807400814671,0.0061139388375922,2.6783088592585336,2.632046709803701,0.2900071255819777
Rpl37a,0.1568627450980392,0.4268635389378423,0.9699293482575216,-0.0421462146878534,-0.0191374990782541,-0.0008734019074354,3.736547705996165,3.6875151007337874,0.5460262094635114
Arpc2,0.0073033261887751,0.0314201794077955,0.1152655394141462,-0.1682847727097179,-0.1268062779351416,-0.0808557170787854,2.4779056903685723,2.267046782227517,0.07606791323455436
Aamp,0.130969741000356,0.615497508592667,1.0,-0.3688731357409553,-0.0990543948630291,0.2747333452805588,0.5621375763252551,0.5206323864803404,0.6849696681975442
Dock10,0.0001905215527506,0.0123997777248551,0.1813447646264983,-0.4478100686742091,-0.3056410493776824,-0.1367794562411514,0.9761156510259776,0.793166682365812,0.03988197739388492
Mff,0.0007335473709934,0.0292545655864068,0.4198490637342591,-28.64340267511897,-26.97653684231148,0.0,0.1320525418865452,0.0,0.07511862299268493
Trip12,0.0686514839956567,0.6146958150878039,1.0,-0.1224286469197677,0.1045613178338684,0.556081833985627,0.5262800579790567,0.5632092580252592,0.6849696681975442
A530032D15Rik,0.0007335473709934,0.0027786850681888,0.0298677932975399,-28.967108946314568,-27.994212853507424,0.0,0.2673608247673112,0.0,0.017760576216098476
Sp110,0.0001219709860793,0.0004592558527205,0.0078085805683866,-29.54066231426478,-29.312291465550786,-29.199100590617046,0.6666689186414678,0.0,0.008690380826603056
Sp140,0.0095578312296578,0.2082876875446535,0.8506311026434865,-0.3490856232279182,-0.1779581472367615,0.0166136140910433,0.930780079998916,0.82388551849647,0.3205777522255518
Cab39,0.0027786850681888,0.060676213535144,0.3919586420958689,-28.5351942081876,-26.724507936688163,0.0,0.1108864562583622,0.0,0.12685120892191043
Itm2c,0.015860919266492,0.2702706993728666,0.9699293482575216,-0.3140919219202676,-0.134873369203094,0.0259280872646328,0.7578902711558597,0.6902984739560374,0.38967909025958564
Psmd1,0.0260324432495289,0.2542440808894587,0.869620790844832,-28.86564382439026,-27.98699516941741,0.0,0.2693545672315205,0.0,0.3765814541292573
Ncl,0.0003016591251885,0.0314201794077955,0.4268635389378423,-0.1953798373704211,-0.1272782349744602,-0.0502364583342829,1.7536912382811376,1.6066361140468262,0.07606791323455436
Ptma,0.0003016591251885,0.0123997777248551,0.1568627450980392,-0.1350803000601685,-0.0811333885325527,-0.0433683209869645,3.230803805958064,3.0572169967642298,0.03988197739388492
