gene,pval_lower,pval_median,pval_upper,log2fc_lower,log2fc_median,log2fc_upper,median_Salmonella_infTLSwk3_median,median_IL10_KOTLS_median,FDR_BH
Tcea1,0.122681892061482,0.5115624678043149,1.0,-0.2935593656447164,-0.1659797331938547,0.102302029633738,0.6568062430283492,0.5856091467704447,0.6984280063289462
Rpl7,0.004096213384139,0.1152655394141462,0.5713582599031516,0.0146374657795376,0.0470658117615413,0.1013140313784973,2.918379478987945,3.015863629214542,0.2682996945250451
Eloc,0.0003016591251885,0.015860919266492,0.1813447646264983,-0.3848133413403891,-0.2676952141855658,-0.1335641642211631,0.8387216559543688,0.6953200819625552,0.06616771306187522
Smap1,0.004096213384139,0.0690958164642375,0.428008652853853,0.0950525605862255,0.280743685379045,0.4786993088778085,0.5303049930907622,0.6474828270043322,0.18756924379016304
Phf3,0.0690958164642375,0.5713582599031516,1.0,-0.127947314705799,0.0608658177040186,0.3204403665927198,0.603416795719916,0.6268958494067878,0.7310919365738734
Ptpn18,1.5876796062554575e-05,6.35071842502183e-05,0.004096213384139,-0.63660063351509,-0.4875249581599959,-0.3393590084744328,1.3838711636718348,0.9879026787404795,0.001621047787810657
Neurl3,0.0004386095771341,0.0038003384534461,0.033602585312933,0.5009229189675459,1.091028327170128,29.53998292928747,0.3635866718835422,0.7783715228705425,0.026821292854405796
Cox5b,0.0001111375724378,0.004096213384139,0.1152655394141462,-0.2192213089844717,-0.1574688958555197,-0.0983637892891462,1.74604944283309,1.563132509467065,0.026821292854405796
Tmem131,0.0004763038818766,0.0123997777248551,0.0978804477256489,0.2312279284700439,0.358021035094302,0.4927889695753334,0.8464448182587203,1.0884863321502398,0.0559103750108736
Mrpl30,0.0010637453361911,0.0690958164642375,0.8506311026434865,-0.298141039947048,-0.1675078085675375,0.0137377503317876,0.6973603041099463,0.617177567750124,0.18756924379016304
Txndc9,0.1393927218975006,0.6319793444436901,1.0,-28.61263899176144,0.0920080565432098,28.71536739663501,0.191596937393788,0.2061498968567525,0.745235337023212
Eif5b,0.0252441057394617,0.3053901722632373,0.9699293482575216,-0.0538799746501733,0.1087698577571117,0.2402652378947349,0.9601729530902764,1.0378092613603065,0.5048491761014657
Pdcl3,0.2408721217561525,0.7264717268578031,1.0,-0.2312755080131097,0.0259469730510559,0.4690667072085972,0.5060651220086345,0.50961035498013,0.752992146497975
Rpl31,0.0251162975311582,0.2082876875446535,0.5713582599031516,-0.1060044955588155,-0.0715587932024947,-0.0350622132685238,2.4256150065418502,2.3071014512551624,0.3921015718028102
Map4k4,0.0010637453361911,0.015860919266492,0.1820183376994516,0.0950184057454675,0.2286403676904004,0.3810039632658755,1.3555642315629195,1.591872746326824,0.06616771306187522
