"Ligand","Receptor","From","To","LR_score","TF","TF_activity","Combined_score"
"Ccl4","Ccr5","M5","T4",0.47280998421408,"Rbpj",1.79473944373661,0.848570728061494
"Tnf","Tnfrsf1a","M0","M0",0.524606045819532,"Jund",1.61640462823066,0.84797564046048
"Ccl2","Ccr5","M5","T4",0.434361345802266,"Ets1",1.95022776531686,0.847103556763979
"Ccl7","Ccr2","M0","M3",0.508618700288067,"Stat5a",1.66539579265451,0.847051443525153
"Ccl2","Ccr2","M0","M3",0.539438512747245,"Foxo1",1.5660531765895,0.844789396462536
"Adam17","Notch1","M3","M0",0.50783364900393,"Stat1",1.65929941679335,0.842648077620259
"Ccl4","Ccr5","M0","M3",0.518681654675601,"Stat3",1.62049763535197,0.84052239490226
"Ccl2","Ccr2","M0","M3",0.539438512747245,"Relb",1.55684305291437,0.839821101045009
"Adam17","Notch1","M3","M0",0.50783364900393,"Hif1a",1.65325011448104,0.839576038353072
"Ccl7","Ccr5","M0","M3",0.515314977539845,"Stat3",1.62049763535197,0.835066702564773
"Ccl3","Ccr5","M5","T4",0.46487594697344,"Rbpj",1.79473944373661,0.834331198477643
"Il6","Il6ra","M3","M5",0.601667936059988,"Tbx21",1.38407161892653,0.832751514318734
"Csf1","Csf1r","M5","M3",0.480462843093201,"Stat4",1.72979620592574,0.831102803070914
"Il1a","Il1r1","M5","T4",0.45965418724822,"Rbpj",1.79473944373661,0.824959500333075
"Ccl7","Ccr2","M0","M3",0.508618700288067,"Stat3",1.62049763535197,0.824215401112606
"Adam17","Notch1","M3","M0",0.50783364900393,"Egr1",1.62161727769935,0.823511819421878
"Ccl3","Ccr5","M0","M3",0.524437103748345,"Foxo1",1.5660531765895,0.82129639224649
"Adam17","Notch1","M3","M0",0.50783364900393,"Jund",1.61640462823066,0.820864660621219
"Cxcl14","Cxcr4","M0","M3",0.49246444716297,"Stat5a",1.66539579265451,0.820148218337141
"Ccl3","Ccr5","M0","M3",0.524437103748345,"Relb",1.55684305291437,0.816466261661143
"Ccl4","Ccr5","M0","M3",0.518681654675601,"Foxo1",1.5660531765895,0.81228305294342
"Ccl4","Ccr5","M0","M3",0.518681654675601,"Relb",1.55684305291437,0.80750593075584
"Il1a","Il1r1","M0","T4",0.486580084726438,"Nfkb1",1.65906288136941,0.807266957383215
"Ccl7","Ccr5","M0","M3",0.515314977539845,"Foxo1",1.5660531765895,0.807010657520418
"Fasl","Fas","M5","T4",0.388077346184219,"Stat3",2.07454432325585,0.805083655510667
"Ccl7","Ccr5","M0","M3",0.515314977539845,"Relb",1.55684305291437,0.802264542845632
"Csf1","Csf1r","M5","M3",0.480462843093201,"Stat5a",1.66539579265451,0.800160797414242
"Adam17","Notch1","M3","T4",0.482146035164064,"Nfkb1",1.65906288136941,0.799910590340127
"Cxcl14","Cxcr4","M0","M3",0.49246444716297,"Stat3",1.62049763535197,0.79803747212251
"Ccl7","Ccr2","M0","M3",0.508618700288067,"Foxo1",1.5660531765895,0.796523931258948
"Ccl7","Ccr5","M5","T4",0.477355590205475,"Nfkb1",1.65906288136941,0.791962940924089
"Ccl7","Ccr2","M0","M3",0.508618700288067,"Relb",1.55684305291437,0.791839490125813
"Ccl7","Ccr1","M5","M3",0.456398047128327,"Stat4",1.72979620592574,0.789475610314497
"Il1a","Il1r1","M0","T4",0.486580084726438,"Hif1a",1.61243559260554,0.784579047265927
"Ccl4","Ccr5","M5","T4",0.47280998421408,"Nfkb1",1.65906288136941,0.784421494750434
"Ccl4","Ccr1","M5","M3",0.453219132170595,"Stat4",1.72979620592574,0.783976735281651
"Il1b","Il1r1","M0","T4",0.375912786338735,"Stat3",2.07454432325585,0.779847736938314
"Ccl2","Ccr5","M5","T4",0.434361345802266,"Rbpj",1.79473944373661,0.779565440145846
"Csf1","Csf1r","M5","M3",0.480462843093201,"Stat3",1.62049763535197,0.778588901107018
"Adam17","Notch1","M3","T4",0.482146035164064,"Hif1a",1.61243559260554,0.777429427932178
"Ccl3","Ccr1","M5","M3",0.447719728363712,"Stat4",1.72979620592574,0.774463887441652
"Cxcl14","Cxcr4","M5","M3",0.446403955482941,"Stat4",1.72979620592574,0.772187868504634
"Ccl3","Ccr5","M5","T4",0.46487594697344,"Nfkb1",1.65906288136941,0.771258428065087
"Cxcl14","Cxcr4","M0","M3",0.49246444716297,"Foxo1",1.5660531765895,0.771225511836959
"Ccl7","Ccr5","M5","T4",0.477355590205475,"Hif1a",1.61243559260554,0.769705143976531
"Il1b","Il1r1","M3","T4",0.370607551746081,"Stat3",2.07454432325585,0.768841792630583
"Cxcl14","Cxcr4","M0","M3",0.49246444716297,"Relb",1.55684305291437,0.766689853372986
"Il1b","Il1r1","M5","T4",0.368386289853848,"Stat3",2.07454432325585,0.764233686381587
"Il1a","Il1r1","M5","T4",0.45965418724822,"Nfkb1",1.65906288136941,0.762595200329544
"Ccl4","Ccr5","M5","T4",0.47280998421408,"Hif1a",1.61243559260554,0.762375647086044
"Ccl7","Ccr1","M5","M3",0.456398047128327,"Stat5a",1.66539579265451,0.760083387463251
"Ccl9","Ccr1","M5","M3",0.438454659295079,"Stat4",1.72979620592574,0.75843720611909
"Fasl","Fas","M5","T4",0.388077346184219,"Ets1",1.95022776531686,0.756839215618947
"Ccl4","Ccr1","M5","M3",0.453219132170595,"Stat5a",1.66539579265451,0.754789235867438
"Csf1","Csf1r","M5","M3",0.480462843093201,"Foxo1",1.5660531765895,0.752430361659328
"Ccl3","Ccr5","M5","T4",0.46487594697344,"Hif1a",1.61243559260554,0.749582523046179
"Csf1","Csf1r","M5","M3",0.480462843093201,"Relb",1.55684305291437,0.748005239453138
"Ccl3","Ccr1","M5","M3",0.447719728363712,"Stat5a",1.66539579265451,0.745630551905347
"Cxcl14","Cxcr4","M5","M3",0.446403955482941,"Stat5a",1.66539579265451,0.743439269285622
"Il1a","Il1r1","M5","T4",0.45965418724822,"Hif1a",1.61243559260554,0.7411627718092
"Ccl7","Ccr1","M5","M3",0.456398047128327,"Stat3",1.62049763535197,0.739591956150712
"Il6","Il6ra","M3","M5",0.601667936059988,"Jund",1.22893914885401,0.739413281234313
"Ccl2","Ccr1","M5","M3",0.427166307323673,"Stat4",1.72979620592574,0.738910657707799
"Tnf","Tnfrsf1a","M5","M0",0.441463258443572,"Mitf",1.67135383867107,0.737841311631903
"Ccl4","Ccr1","M5","M3",0.453219132170595,"Stat3",1.62049763535197,0.734440531978722
"Il1b","Il1r1","M0","T4",0.375912786338735,"Ets1",1.95022776531686,0.733115553255428
"Tnf","Tnfrsf1a","M5","M0",0.441463258443572,"Stat1",1.65929941679335,0.73251972727111
"Tnf","Tnfrsf1a","M0","T4",0.353063052474376,"Stat3",2.07454432325585,0.7324449512621
"Ccl9","Ccr1","M5","M3",0.438454659295079,"Stat5a",1.66539579265451,0.730200544859792
"Tnf","Tnfrsf1a","M5","M0",0.441463258443572,"Hif1a",1.65325011448104,0.729849182561009
"Ccl3","Ccr1","M5","M3",0.447719728363712,"Stat3",1.62049763535197,0.725528761113822
"Inhba","Acvr2a","M5","M3",0.418885195623026,"Stat4",1.72979620592574,0.724586022107172
"Cxcl14","Cxcr4","M5","M3",0.446403955482941,"Stat3",1.62049763535197,0.723396554271873
"Il1b","Il1r1","M3","T4",0.370607551746081,"Ets1",1.95022776531686,0.722769137451314
"Ccl2","Ccr5","M5","T4",0.434361345802266,"Nfkb1",1.65906288136941,0.720632785922201
"Il1b","Il1r1","M5","T4",0.368386289853848,"Ets1",1.95022776531686,0.718437170835041
"Ifng","Ifngr1","M5","M5",0.517323383862765,"Tbx21",1.38407161892653,0.716012613411491
