Cell_Type,Gene_Count
B0,268
B1,504
B2,299
B3,557
B4,402
B5,405
B6,292
B6_0,232
B7,213
B8,215
M0,399
M1,426
M2,92
M3,565
M4,559
M5,351
M6,26
M7,69
O10,86
O13,77
O15,16
O4,23
O7,72
T0,87
T1,231
T2,311
T3,200
T4,267
T5,413
T6,70
T6_0,22
T6_1,36
T6_2,18
T6_3,19
T7,97
T8,19
