Cell_Type,Unique_Node_Count
M3,423
B3,381
M0,343
M1,338
M4,298
B1,288
T2,241
T5,232
M5,230
T4,221
T1,181
B4,147
B5,147
T3,132
B2,106
T7,74
T0,58
O7,57
B0,56
M2,52
O10,46
T6,38
M7,32
B6_0,17
B7,13
T6_2,9
T6_3,6
O4,4
