Cell_Type,Unique_Node_Count
M3,476
B3,423
M4,374
M0,373
M1,373
B1,317
T5,309
M5,287
T2,270
T4,246
T1,209
B5,189
B4,177
T3,169
B2,139
T7,82
T0,79
M2,71
B0,67
O10,66
O7,65
M7,51
T6,51
B6_0,25
B7,17
T6_2,12
T6_3,9
O4,8
