Cell_Type,Unique_Node_Count
M3,320
M0,291
B3,288
M1,275
B1,249
T2,184
T4,175
M4,174
M5,151
T5,147
T1,127
B5,117
B4,105
T3,98
B2,82
O7,49
T7,43
B0,37
T0,33
O10,29
M2,28
T6,26
M7,21
B6_0,13
B7,7
T6_2,6
T6_3,3
O4,3
