gene,pval_lower,pval_median,pval_upper,log2fc_lower,log2fc_median,log2fc_upper,median_Salmonella_infTLSwk6_median,median_IL10_KOTLS_median,FDR_BH
Rpl7,0.0473446058585377,0.4268635389378423,0.9699293482575216,-0.0320935780662022,-0.0128847272286326,0.0115979196744279,3.25174263503125,3.221062658609875,0.5458403976630707
Ptpn18,1.5876796062554575e-05,0.0021592442645074,0.0475954592363258,-0.2100626791603076,-0.1437908394391653,-0.0898770154050824,1.6526429415910449,1.4976327582108686,0.010724841346850807
Cox5b,0.0573787409700722,0.4629209642261225,0.9699293482575216,-0.1119874528808725,-0.0365160453006823,0.0545834630643489,1.2975827444867702,1.2625885553787035,0.5857186091599293
Eif5b,0.0980199619453154,0.4469684694114323,1.0,0.0,28.379663534513117,29.747116649402056,0.0,0.3492448329623525,0.5691272248226077
Rpl31,0.0010637453361911,0.0201317774073192,0.1349368897356513,-0.1571469054756378,-0.1200750510505001,-0.0795983448292403,2.45499359115933,2.257372487427375,0.050836967318482515
Il18r1,0.0027171818924305,0.0127916359464683,0.0366239015107788,30.015204966356965,30.19624996220376,30.282122461303423,0.0,1.2302036090120738,0.03575708466896488
Stat4,0.0021592442645074,0.0573787409700722,0.3837421608319441,-0.1962805716916885,-0.1066399994926887,-0.0325253275610347,1.5759767882137026,1.463597274258844,0.11463117926272005
Gls,0.007578779259748,0.0761203448711755,0.6083787677123833,0.1698775783474008,29.957054604151978,30.09849634217142,0.0,1.0976680938544623,0.14805283905364555
Nab1,0.0007335473709934,0.009501095540355,0.088567502575371,-30.02014028874996,-28.797140507289512,0.0,0.466461019984246,0.0,0.029011396813254237
Stk17b,0.0004763038818766,0.015860919266492,0.1349368897356513,-0.1919199983639875,-0.1363485546355762,-0.0800494314704239,2.0499991269603104,1.8662256607150811,0.04236627768516307
Sf3b1,1.5876796062554575e-05,0.0023856578896798,0.0824958323410335,-0.1938007525587874,-0.1368837862995071,-0.0756860101466408,1.696984175055345,1.5423278946773575,0.01175229829260295
Hspe1,0.027304566629281,0.262549586881392,0.969182212422568,-0.0136482695277277,0.1124877159473844,1.1232485908691998,1.20650397458324,1.3014079776631189,0.3848592724773576
Clk1,0.0007144558228149,0.015860919266492,0.1227855261945812,-0.2409475325579229,-0.1741486172565376,-0.076326472204888,1.61289007511703,1.4272611480136537,0.04236627768516307
Sumo1,0.0473446058585377,0.4268635389378423,0.9699293482575216,-0.1226068788547355,-0.05661864112576,0.0197050214632382,1.33294252090282,1.28353173635685,0.5458403976630707
Cd28,0.0007144558228149,0.0095578312296578,0.1813447646264983,-0.2566002027789342,-0.1909730629286914,-0.1190417214683647,1.91108301552925,1.675056801641535,0.029011396813254237
Ctla4,0.0002040915427345,0.0004452140236486,0.0017731114297543,0.5223065207831337,0.9116727606773708,30.644307067052225,0.8853124288721065,1.6650210266906198,0.0034749821845819298
Icos,0.1152655394141462,0.6784313725490196,1.0,-0.0496942070955658,0.0031508565041539,0.0832201715146982,2.1875065962359,2.190494015943345,0.7294047493773896
Eef1b2,0.1813447646264983,0.6784313725490196,1.0,-0.0394404747127721,-0.0114700412817452,0.0250425452750779,2.754858533404605,2.7335799328806463,0.7294047493773896
Rpl37a,0.0252441057394617,0.0978804477256489,0.3053901722632373,-0.0617111620008344,-0.0462990493169135,-0.0349331064651564,4.09234881686138,3.9637636193509,0.17560044502422387
Arpc2,0.0201317774073192,0.343145193299992,0.9699293482575216,-0.0088176771226236,0.0265533958758112,0.0575725919204794,2.277051618797505,2.3168777908821614,0.4634387891534723
Ncl,0.0001111375724378,0.0073033261887751,0.0824958323410335,0.0848647992220397,0.1436580045383204,0.1976549613417735,1.87667313076289,2.0746658834988625,0.025371670748288062
Ptma,0.0007144558228149,0.0123997777248551,0.1813447646264983,0.0398437715042533,0.0776419834701872,0.1081029144432559,2.7287700976953757,2.8811117651889675,0.035486982917323405
Actr3,0.0386692179445453,0.3341195270386536,0.9699293482575216,-0.0190567951214263,0.0740696361235699,0.2202220703564323,1.168640526349205,1.2284462106706,0.45918385132783834
Nucks1,0.0265593042074621,0.3166210020773561,0.9620673205104424,-29.991113042485587,-28.061796300469457,0.0,0.341066060164634,0.0,0.4384544291439885
Snrpe,0.0007144558228149,0.0123997777248551,0.1349368897356513,0.0814140894378888,0.134415561733074,0.1828735243906182,1.357384982368775,1.4923370361592951,0.035486982917323405
Btg2,0.0824958323410335,0.343145193299992,0.9384797984036732,-0.1808019673194872,-0.1140482833716985,-0.0378120265928609,1.38991783713296,1.2831228639935135,0.4634387891534723
Ptprc,1.5876796062554575e-05,1.5876796062554575e-05,1.5876796062554575e-05,-0.4025044952724138,-0.3723750227013891,-0.3355850587750429,3.28708566923872,2.538690783399965,0.0005612914372703118
Rgs1,0.0004338587209506,0.0011293135916274,0.0027171818924305,30.21455840219473,30.332081025390654,30.42033505412667,0.0,1.3516561420163686,0.006170158805164249
Tpr,0.1349368897356513,0.6238787012780821,0.9699293482575216,-0.1323285070764927,-0.0398735437191783,0.0483323128347739,1.5939239782803851,1.5526129544157414,0.706122597868413
Arpc5,0.0005684668718268,0.0047032888980492,0.0406048129475126,0.2109101512374186,0.6681941572731089,30.364985501853383,0.8574563211217455,1.3681181764354835,0.018119721972612624
4930523C07Rik,0.0127916359464683,0.0253979311402768,0.1536419923548326,0.0,28.24214188596276,29.78896206874172,0.0,0.3174913138847012,0.06105662646122542
Gas5,0.0010637453361911,0.038707628800508,0.343145193299992,0.0403606231542235,0.1493290934530689,0.2603046813333042,1.4730703587927851,1.6376239155227126,0.0839829780112105
Prdx6,1.5876796062554575e-05,0.0001111375724378,0.0041011680388857,0.2117126477032945,0.3225270864939267,0.4826468952094948,1.2545489801780023,1.56721438838191,0.0018052346225707514
Prrc2c,0.0824958323410335,0.5208065412399778,0.9699293482575216,-0.0769101357332395,-0.0292875296312945,0.0228376282609109,2.046965226751823,2.0061020564901826,0.6260094625704533
Slamf6,3.529139494825728e-05,0.0001720247930818,0.0007335473709934,-30.42717745696945,-30.343613556540262,-30.246441072609493,1.36250422304914,0.0,0.002160442513266238
Hnrnpu,0.0054933714376438,0.1349368897356513,0.7920774787647853,-0.1341174898021278,-0.0644505624258745,-0.0031030404316744,1.4519290331890398,1.389806837464415,0.2283313610851653
H3f3a,0.1568627450980392,0.6784313725490196,1.0,-0.024356619746975,0.0043359134227865,0.0363540112299467,2.48197898695663,2.489464141962745,0.7294047493773896
Srp9,0.0256131025643269,0.1933680647293799,0.7802566569665166,0.2001413083205016,1.581751702430521,30.145604120635845,0.378648164026596,1.1529388293451726,0.3050241650980507
Fam107b,0.0959063034015804,0.4629209642261225,0.969182212422568,-0.0269578788451996,0.0961525668051919,1.207908951268246,1.17213957958887,1.2509350053555752,0.5857186091599293
Celf2,0.2379772961816305,0.7344923394458999,1.0,-0.0668790923490728,0.0125773418737219,0.107531376434024,1.5604356179184449,1.5763558577657588,0.7637195432646813
Atp5c1,0.0133782061657752,0.1131393705897797,0.6185519578391343,-30.048863482683338,-28.89700300603068,0.0,0.4998787656378865,0.0,0.1994039933268551
Vim,0.0060874038647452,0.0127916359464683,0.0253979311402768,29.049103275918757,30.1305001236044,30.24481972486851,0.0,1.17539630518747,0.03575708466896488
Edf1,0.0127916359464683,0.107951344335968,0.5264792305547628,0.0,28.752475519994107,29.934199493886645,0.0,0.452228137113576,0.19081987631151986
Rpl7a,1.5876796062554575e-05,0.0001905215527506,0.0029848376597602,0.0604423772719971,0.0953795410404663,0.1303189904571591,2.3441311593148524,2.5048043928912422,0.002160442513266238
Set,0.1128124237634088,0.6158964889935725,1.0,-0.116370410872216,-0.0066164998034344,0.14773673587311,1.2426335358189025,1.2389685263300962,0.706122597868413
Rpl12,1.5876796062554575e-05,0.0015241724220052,0.0123997777248551,-0.1085742697994866,-0.0901699859412441,-0.0675018811859459,4.0626445130357,3.814233324014933,0.007896789876078666
Hspa5,0.0201317774073192,0.0824958323410335,0.3063340477891553,-0.2199493015889025,-0.1606202906559743,-0.0946095570734837,1.86290636383326,1.6658075104393124,0.15493748511550354
Traf1,0.0420927538707589,0.3805905602483536,0.967739567973502,-30.12071485342973,-0.5401170431619478,0.8194834878304931,1.0847752684418526,0.7449154389026639,0.5024597792156829
Rpl35,0.047128681432087,0.1813447646264983,0.5713582599031516,-0.0905047491594354,-0.058199268501092,-0.0226299474183614,2.5991598251645,2.494794277699281,0.2890933780915795
Cytip,1.5876796062554575e-05,1.5876796062554575e-05,0.0021592442645074,0.3412488700296933,0.4141375042361817,0.4806756325469232,1.613755067357355,2.150041178222515,0.0005612914372703118
Ppig,0.0694138010953858,0.3476997651038464,1.0,-30.112795871530604,-28.95210353968997,28.68119902268467,0.559025085645805,0.0,0.4685371274157213
Ssb,0.0013600451325973,0.015049240840804,0.1136445124005383,0.0721898258410605,0.1962678864024618,1.242893982812994,1.1779304010533025,1.347023462275305,0.04148896213451011
