gene,pval_lower,pval_median,pval_upper,log2fc_lower,log2fc_median,log2fc_upper,median_Salmonella_infNonTLSwk3_median,median_Salmonella_infTLSwk3_median,FDR_BH
Rpl7,0.2335081585081585,0.7209013209013208,1.0,-0.0580660301285494,-0.0012918966723908,0.0526159889036254,3.328600392920915,3.32833698123647,0.7958465077276957
Ptpn18,0.1048951048951048,0.5737373737373737,1.0,-0.0409105620757511,0.1107973836289359,0.2629016968817311,1.57681526359297,1.69505451437476,0.7958465077276957
Cox5b,0.103288917902554,0.6453768453768453,1.0,-0.1902633781455618,-0.0033766688199503,0.363798502241583,1.356897463670345,1.3490624876037298,0.7958465077276957
Eif5b,0.0460530998204478,0.476087344441214,1.0,-30.02956152956025,-0.7727107464760006,28.857492457406853,0.7817925875677221,0.4092825626863961,0.7958465077276957
Rpl31,0.0649572649572649,0.4418026418026417,1.0,-0.0350166354143792,0.0441393091398799,0.1179172251319338,2.486358324162582,2.5637327031065373,0.7958465077276957
Map4k4,0.2630105719268568,0.7463178799324552,1.0,-2.3066940434305683,-0.1124159775104591,2.629303036950537,0.7305202145886075,0.7349102038078885,0.8093338984248074
Il18r1,0.1119097370670114,0.3883232289789247,0.956284952863831,-30.36730947260981,-1.067836704157704,0.1801568190890959,1.288860362780855,0.5920877966941187,0.7958465077276957
Stat4,0.1048951048951048,0.6453768453768453,1.0,-0.3074602807004341,-0.0759013558767646,0.124651972123133,1.5257060806807825,1.4544799793585177,0.7958465077276957
Stat1,0.0923903555573934,0.5176341185833455,1.0,-29.980265193793382,-0.4143823847025719,28.68002104553931,0.7950637282357815,0.492253892780884,0.7958465077276957
Gls,0.009862424592123,0.169000047821659,0.8715397911734163,-30.091815608082683,-1.5440742055213508,0.16829630419941,0.9948606454162524,0.3225702534320717,0.7958465077276957
Stk17b,0.0146542346542346,0.1605283605283605,0.8784770784770783,-0.2659357949163854,-0.1421130622779949,-0.0228523402790843,2.07015417735965,1.8787732645873287,0.7958465077276957
Sf3b1,0.0069930069930069,0.1605283605283605,0.8784770784770783,-0.2627088547148202,-0.1116403413336039,0.0044049533101338,1.648629180336585,1.5283639164544,0.7958465077276957
Hspe1,0.0649572649572649,0.4257387557836288,1.0,-0.0535104926444014,0.1556188006286424,0.5089608666541721,1.1727351650981177,1.30770511011898,0.7958465077276957
Bzw1,0.1826944712149479,0.7111541697294341,1.0,-0.8600522765273791,-0.0791041251610198,1.7621359653912192,0.974036741688768,0.8980615176456115,0.7958465077276957
Clk1,0.1605283605283605,0.7209013209013208,1.0,-0.2066321753706692,-0.007295982061899,0.2147712157674058,1.515629757944295,1.505775527386629,0.7958465077276957
Sumo1,0.0135133331633497,0.187959068257727,0.8739169654469724,0.0579115266175348,0.2791335148394112,1.4014526771968978,1.0771248818554475,1.3074161291553212,0.7958465077276957
Cd28,0.0829836829836829,0.6453768453768453,1.0,-0.1978000833215277,-0.0108723151758769,0.1936327971365589,1.5522193681185126,1.538578347811185,0.7958465077276957
Ctla4,0.0018648018648018,0.0649572649572649,0.4012198080237977,-1.0740482017717508,-0.5094233243229473,-0.1951151342715739,1.6344670820280411,1.138004702136027,0.7958465077276957
Icos,0.0281274281274281,0.2344988344988344,0.959129759129759,-0.26975745216442,-0.1337480621898433,0.0134025461165155,2.25339974073416,2.0455163922419874,0.7958465077276957
Eef1b2,0.0649572649572649,0.5737373737373737,1.0,-0.0358082992888454,0.0254635149706686,0.0930015476201076,2.8157902407403927,2.86733275005365,0.7958465077276957
