Edge Name,U_statistic,p_value,infTLSwk3_median,KOTLS_median,note
Rpl13_B1<==>Rps29_T1,43.0,0.2621252059910385,-0.6999999999999998,-0.6190476190476191,
Rpl13_B1<==>Rps29_T2,20.0,0.008124432565372486,-0.6999999999999998,-0.5476190476190477,
Rpl13_B1<==>Rps29_T6_2,6.0,0.00030785128195841494,-0.5999999999999999,-0.2976190476190476,
Rpl13_B1<==>Slfn1_M2,0.0,2.5529886111115496e-05,-0.7999999999999998,-0.4404761904761904,
Rpl13_B1<==>Slfn2_T3,0.0,5.3635433606434596e-05,-0.7999999999999998,-0.3214285714285714,
Rpl13_B1<==>Son_B2,3.0,0.00015518137471996096,-0.7999999999999998,-0.3452380952380952,
Rpl13_B1<==>Txn1_T3,,,,,insufficient data
Rpl13_B1<==>mt-Atp6_B0,119.0,6.184082689016435e-05,0.7999999999999998,0.5595238095238095,
Rpl13_B1<==>mt-Atp6_B3,111.0,0.0009862123606586717,0.6999999999999998,0.369047619047619,
Rpl13_B1<==>mt-Atp6_B5,101.0,0.007943177310509489,0.7999999999999998,0.5238095238095238,
Rpl13_B1<==>mt-Atp6_T4,121.0,4.444930970556727e-05,0.7999999999999998,0.3809523809523809,
Rpl13_B1<==>mt-Co2_B3,111.0,0.0008309447759758126,0.7999999999999998,0.5595238095238095,
Rpl13_B1<==>mt-Co2_T2,101.0,0.008215845880133285,0.5999999999999999,0.5119047619047619,
Rpl13_B1<==>mt-Nd4_B0,121.0,3.4742089753691696e-05,0.7999999999999998,0.4166666666666666,
Rpl13_B1<==>mt-Nd5_M0,6.0,0.00027768572333217146,-0.7999999999999998,-0.4761904761904761,
Rpl13_B5<==>Rpl29_B4,3.0,0.00016209524913811494,-0.6999999999999998,-0.3452380952380952,
Rpl13_B5<==>Rpl31_T1,,,,,insufficient data
Rpl13_B5<==>Rpl31_T3,,,,,insufficient data
Rpl13_B5<==>Rpl35_B1,,,,,insufficient data
Rpl13_B5<==>Rpl36_T5,0.0,5.254786447071456e-05,-0.7999999999999998,-0.5238095238095238,
Rpl13_B5<==>Rpl37_T1,0.0,6.517525636279647e-05,-0.7999999999999998,-0.4761904761904761,
Rpl13_B5<==>Rpl37_T2,17.0,0.003794546431291272,-0.7999999999999998,-0.6547619047619048,
Rpl13_B5<==>Rpl39_B1,6.0,0.0002753687932187772,-0.7999999999999998,-0.4047619047619047,
Rpl13_B5<==>Rpl6_B1,,,,,insufficient data
Rpl13_B5<==>Rps27_B1,,,,,insufficient data
Rpl13_B5<==>Rps27_B2,,,,,insufficient data
Rpl13_B5<==>Rps27_T2,,,,,insufficient data
Rpl13_B5<==>Rps28_T1,21.0,0.00994520694009538,-0.7999999999999998,-0.5119047619047619,
Rpl13_B5<==>Rps28_T2,29.0,0.040007774315045305,-0.6999999999999998,-0.6071428571428572,
Rpl13_B5<==>Rps29_T1,10.0,0.0008427109307604133,-0.7999999999999998,-0.5119047619047619,
Rpl13_B5<==>Rps29_T2,12.0,0.0012279220241141631,-0.7999999999999998,-0.5476190476190477,
Rpl13_B5<==>Slfn1_M2,35.0,0.0947909983776383,-0.7999999999999998,-0.7023809523809523,
Rpl13_B5<==>Uqcrq_M4,0.0,3.493796286718787e-05,-0.7999999999999998,-0.4761904761904761,
Rpl13_B5<==>mt-Atp6_B3,118.0,0.00011931840515586446,0.7999999999999998,0.3928571428571428,
Rpl13_B5<==>mt-Atp6_B5,86.0,0.09710626565834345,0.7999999999999998,0.6428571428571428,
Rpl13_B5<==>mt-Co2_B3,121.0,5.336192425161486e-05,0.7999999999999998,0.5238095238095238,
Rpl13_B5<==>mt-Cytb_B2,112.0,0.0006637147810482205,0.7999999999999998,0.5,
Rpl13_M0<==>Rps13_M0,,,,,insufficient data
Rpl13_M0<==>Rps24_M0,121.0,2.5376882928366753e-05,0.7999999999999998,0.6071428571428572,
Rpl13_M0<==>mt-Atp6_B0,121.0,2.4922217233094624e-05,0.7999999999999998,0.3095238095238095,
Rpl13_M3<==>Rpl21_M3,,,,,insufficient data
Rpl13_M3<==>Rpl31_T1,,,,,insufficient data
Rpl13_M3<==>Rpl31_T3,,,,,insufficient data
Rpl13_M3<==>Rpl9_M3,,,,,insufficient data
Rpl13_M3<==>Rps13_M3,,,,,insufficient data
Rpl13_M3<==>Rps15a_M3,,,,,insufficient data
Rpl13_M3<==>Rps18_M3,121.0,4.444930970556727e-05,1.0,0.7023809523809523,
Rpl13_M3<==>Rps19_M3,,,,,insufficient data
Rpl13_M3<==>Rps8_M3,,,,,insufficient data
Rpl13_M3<==>Rpsa_M5,108.0,0.001684753127605162,0.7999999999999998,0.6071428571428572,
Rpl13_M3<==>Sec61g_T4,0.0,5.9931654144419045e-05,-0.7999999999999998,-0.3452380952380952,
Rpl13_M3<==>Snap23_M3,,,,,insufficient data
Rpl13_M3<==>Tapbp_M5,0.0,6.549432446712987e-05,-0.8999999999999999,-0.3333333333333333,
Rpl13_M3<==>Tma7_M4,2.0,0.0001246281069367723,-0.6999999999999998,-0.3571428571428571,
Rpl13_M3<==>Tma7_T4,0.0,6.517525636279647e-05,-0.7999999999999998,-0.2976190476190476,
Rpl13_M3<==>Tmed10_M0,16.0,0.0035965204298324303,-0.6999999999999998,-0.5119047619047619,
Rpl13_M3<==>Tmed5_M0,,,,,insufficient data
Rpl13_M3<==>Tmsb10_B1,,,,,insufficient data
Rpl13_M3<==>Tmsb10_T5,,,,,insufficient data
Rpl13_M3<==>Tpt1_M3,121.0,5.336192425161486e-05,0.7999999999999998,0.5595238095238095,
Rpl13_M3<==>Uba52_T4,,,,,insufficient data
Rpl13_M3<==>Uqcrh_T4,,,,,insufficient data
Rpl13_M3<==>Wnk1_T1,,,,,insufficient data
Rpl13_M4<==>Rpl17_M4,121.0,4.444930970556727e-05,0.7999999999999998,0.3809523809523809,
Rpl13_M4<==>Rpl18a_M4,,,,,insufficient data
Rpl13_M4<==>Rpl27a_M4,,,,,insufficient data
Rpl13_M4<==>Rpl7_M4,,,,,insufficient data
Rpl13_M4<==>Rpl8_M4,63.0,0.8949822706655175,0.5999999999999999,0.6309523809523809,
Rpl13_M4<==>Rpl9_M4,,,,,insufficient data
Rpl13_M4<==>Rps14_M4,121.0,7.247620135614743e-05,0.8999999999999999,0.6428571428571428,
Rpl13_M4<==>Rps16_M4,,,,,insufficient data
Rpl13_M4<==>Rps18_M4,121.0,6.204985655129738e-05,0.7999999999999998,0.7380952380952381,
Rpl13_M5<==>Rpl23_M5,60.0,1.0,0.7999999999999998,0.6547619047619048,
Rpl13_M5<==>Rps13_M5,,,,,insufficient data
Rpl13_M5<==>Rps15a_M5,,,,,insufficient data
Rpl13_M5<==>Rps8_M5,,,,,insufficient data
Rpl13_M5<==>Rpsa_M5,121.0,6.174378022263762e-05,1.0,0.5833333333333333,
Rpl13_M5<==>Sirpa_M5,,,,,insufficient data
Rpl13_M5<==>Tgm2_M5,,,,,insufficient data
Rpl13_M5<==>Tmem14c_M0,19.0,0.006682851798385794,-0.5999999999999999,-0.3928571428571428,
