Edge Name,U_statistic,p_value,infTLSwk6_median,KOTLS_median,infTLSwk6_nw_5-25_0.7pb_nw0,infTLSwk6_nw_5-25_0.7pb_nw1,infTLSwk6_nw_5-25_0.7pb_nw10,infTLSwk6_nw_5-25_0.7pb_nw2,infTLSwk6_nw_5-25_0.7pb_nw3,infTLSwk6_nw_5-25_0.7pb_nw4,infTLSwk6_nw_5-25_0.7pb_nw5,infTLSwk6_nw_5-25_0.7pb_nw6,infTLSwk6_nw_5-25_0.7pb_nw7,infTLSwk6_nw_5-25_0.7pb_nw8,infTLSwk6_nw_5-25_0.7pb_nw9,KOTLS_nw_5-25_0.7pb_nw0,KOTLS_nw_5-25_0.7pb_nw1,KOTLS_nw_5-25_0.7pb_nw10,KOTLS_nw_5-25_0.7pb_nw2,KOTLS_nw_5-25_0.7pb_nw3,KOTLS_nw_5-25_0.7pb_nw4,KOTLS_nw_5-25_0.7pb_nw5,KOTLS_nw_5-25_0.7pb_nw6,KOTLS_nw_5-25_0.7pb_nw7,KOTLS_nw_5-25_0.7pb_nw8,KOTLS_nw_5-25_0.7pb_nw9,FDR_BH
1700017B05Rik_B3<==>Gas5_B3,110.0,0.0008545683812974941,0.7999999999999998,0.5714285714285714,0.7999999999999998,0.7999999999999998,0.7999999999999998,0.7999999999999998,0.7999999999999998,0.7999999999999998,0.7999999999999998,0.6999999999999998,0.7999999999999998,0.7999999999999998,0.4999999999999999,0.5476190476190477,0.5833333333333333,0.5714285714285714,0.6071428571428572,0.6309523809523809,0.5357142857142857,0.5238095238095238,0.5238095238095238,0.6547619047619048,0.5238095238095237,0.6071428571428572,0.0015045802970839234
1700017B05Rik_B3<==>Jak2_T2,110.0,0.0011470385208811795,0.7999999999999998,0.4761904761904761,0.5999999999999999,0.7999999999999998,0.7999999999999998,0.6999999999999998,0.2999999999999999,0.7999999999999998,0.5999999999999999,0.8999999999999999,0.7999999999999998,0.7999999999999998,0.7999999999999998,0.5238095238095238,0.4523809523809524,0.4761904761904761,0.5476190476190477,0.3809523809523809,0.3809523809523809,0.5357142857142858,0.4761904761904762,0.3571428571428571,0.369047619047619,0.4880952380952381,0.0019377957537114118
1810037I17Rik_M0<==>Abracl_M0,121.0,2.5376882928366753e-05,0.7999999999999998,0.3214285714285714,0.7999999999999998,0.7999999999999998,0.7999999999999998,0.7999999999999998,0.7999999999999998,0.7999999999999998,0.7999999999999998,0.7999999999999998,0.7999999999999998,0.7999999999999998,0.7999999999999998,0.3571428571428571,0.2023809523809523,0.25,0.3452380952380952,0.4404761904761904,0.3214285714285714,0.2738095238095238,0.2619047619047618,0.3452380952380952,0.1904761904761904,0.4047619047619047,0.00023412063543791804
1810037I17Rik_M0<==>Aldoa_M0,120.0,8.172718641783374e-05,0.7999999999999998,0.3214285714285714,0.7999999999999998,0.7999999999999998,0.7999999999999998,0.5999999999999999,0.7999999999999998,0.7999999999999998,0.8999999999999999,0.7999999999999998,0.5999999999999999,0.3999999999999999,0.7999999999999998,0.369047619047619,0.3214285714285714,0.3105963202393698,0.2619047619047619,0.369047619047619,0.3452380952380952,0.3413654618473896,0.4880952380952381,0.2142857142857142,0.2857142857142857,0.1071428571428571,0.00024665348971214144
1810037I17Rik_M0<==>Atp5g1_M0,110.0,0.0012362615151205898,0.5999999999999999,0.3333333333333333,0.7999999999999998,0.2999999999999999,0.4999999999999999,0.7999999999999998,0.3999999999999999,0.3999999999999999,0.3999999999999999,0.5999999999999999,0.5999999999999999,0.5999999999999999,0.7999999999999998,0.3333333333333333,0.3571428571428571,0.2619047619047619,0.3333333333333333,0.3095238095238095,0.4166666666666666,0.2448698772628819,0.3452380952380952,0.3928571428571428,0.2976190476190476,0.3452380952380952,0.0020620821981287576
1810037I17Rik_M0<==>Atp6v1f_M0,121.0,4.4686695865133594e-05,0.7999999999999998,0.25,0.7999999999999998,0.7999999999999998,0.7999999999999998,0.5999999999999999,0.7999999999999998,0.7999999999999998,0.7999999999999998,0.7999999999999998,0.6999999999999998,0.7999999999999998,0.7999999999999998,0.25,0.1309523809523809,0.0833333333333333,0.2976190476190476,0.3095238095238095,0.3928571428571428,0.1428571428571428,0.1428571428571428,0.4404761904761904,0.0595238095238095,0.4642857142857143,0.00023412063543791804
1810037I17Rik_M0<==>Brk1_M0,119.0,0.00010722114843238237,0.7999999999999998,0.4166666666666666,0.7999999999999998,0.5999999999999999,0.4999999999999999,0.7999999999999998,0.7999999999999998,0.5999999999999999,0.7999999999999998,0.7999999999999998,0.7999999999999998,0.7999999999999998,0.6999999999999998,0.5833333333333334,0.4047619047619047,0.4166666666666666,0.4404761904761904,0.4523809523809524,0.5476190476190477,0.2211318541677288,0.4047619047619047,0.369047619047619,0.4404761904761904,0.119047619047619,0.0002942737896752542
1810037I17Rik_M0<==>Cd52_M0,120.0,8.172718641783374e-05,0.7999999999999998,0.3333333333333333,0.7999999999999998,0.7999999999999998,0.7999999999999998,0.7999999999999998,0.6999999999999998,0.7999999999999998,0.7999999999999998,0.4999999999999999,0.6999999999999998,0.7999999999999998,0.5999999999999999,0.4523809523809523,0.2976190476190476,0.0595238095238095,0.3214285714285714,0.4285714285714286,0.3333333333333333,0.4285714285714285,0.4880952380952381,0.1785714285714285,0.5,0.2976190476190476,0.00024665348971214144
1810037I17Rik_M0<==>Chchd2_M0,121.0,6.581459125405937e-05,0.7999999999999998,0.4523809523809523,0.7999999999999998,0.7999999999999998,1.0,0.8999999999999999,0.8999999999999999,0.7999999999999998,0.8999999999999999,0.7999999999999998,0.8999999999999999,0.7999999999999998,0.7999999999999998,0.4880952380952381,0.3809523809523809,0.4285714285714285,0.5357142857142858,0.4761904761904761,0.369047619047619,0.3095238095238095,0.5952380952380953,0.4047619047619047,0.4523809523809523,0.5357142857142857,0.00023412063543791804
1810037I17Rik_M0<==>Cyba_M5,109.0,0.0015108620657760168,0.7999999999999998,0.4285714285714285,0.7999999999999998,0.7999999999999998,0.7999999999999998,0.3999999999999999,0.8999999999999999,0.7999999999999998,0.8999999999999999,0.7999999999999998,0.5999999999999999,0.5999999999999999,0.4999999999999999,0.5833333333333333,0.1904761904761904,0.6071428571428572,0.3452380952380952,0.4166666666666666,0.5119047619047619,0.1911911976198973,0.4642857142857143,0.4285714285714285,0.2976190476190476,0.4642857142857143,0.0024614461154934273
