Edge Name,U_statistic,p_value,infTLSwk3_median,infTLSwk6_median,note
AW112010_T4<==>Stat1_M5,,,,,insufficient data
AW112010_T5<==>Cd163l1_T4,,,,,insufficient data
AW112010_T5<==>Clec9a_M4,,,,,insufficient data
AW112010_T5<==>Gm42418_O10,,,,,insufficient data
AW112010_T5<==>H2-K1_M5,,,,,insufficient data
AW112010_T5<==>Irf8_M0,,,,,insufficient data
AW112010_T5<==>Irf8_M1,,,,,insufficient data
AW112010_T5<==>Ndufb11_B1,39.5,0.15267009881722698,0.5999999999999999,0.6999999999999998,
AW112010_T7<==>Cd47_T7,,,,,insufficient data
AY036118_B1<==>Gm42418_B2,,,,,insufficient data
AY036118_B1<==>Gm42418_B5,,,,,insufficient data
AY036118_B1<==>Gm42418_T2,,,,,insufficient data
AY036118_B1<==>Npc2_M3,,,,,insufficient data
AY036118_B1<==>Tapbp_M0,,,,,insufficient data
AY036118_B3<==>Igkv4-59_B3,,,,,insufficient data
AY036118_B7<==>Gm26917_B7,,,,,insufficient data
AY036118_B7<==>Gm42418_B7,,,,,insufficient data
AY036118_M0<==>Actg1_T7,,,,,insufficient data
AY036118_M0<==>Atp6v0b_M0,,,,,insufficient data
AY036118_M0<==>Atp6v1g1_M0,,,,,insufficient data
AY036118_M0<==>Bri3_M0,,,,,insufficient data
AY036118_M0<==>C3_M0,55.0,0.6544591797278088,-0.7999999999999998,-0.7999999999999998,
AY036118_M0<==>Luc7l2_M0,,,,,insufficient data
AY036118_M0<==>Psmb8_T5,,,,,insufficient data
AY036118_M0<==>Pten_M0,47.5,0.2952188949140422,-0.7999999999999998,-0.7999999999999998,
AY036118_M0<==>Rpl10_B2,101.0,0.0030815339738252175,-0.6999999999999998,-0.7999999999999998,
AY036118_M0<==>Rpl28_B2,,,,,insufficient data
AY036118_M0<==>Rplp0_T5,,,,,insufficient data
Abca1_M1<==>Atf4_B3,84.0,0.06756105267667788,0.7999999999999998,0.7999999999999998,
Abca1_M1<==>Cltc_M1,76.0,0.09891501377018297,0.7999999999999998,0.7999999999999998,
Abca1_M1<==>Ighv2-3_B3,15.0,0.0021558997653356934,0.6324555320336759,0.7562307283070526,
Abca1_M1<==>Lgmn_M1,30.0,0.03105321364617041,0.6999999999999998,0.7999999999999998,
Abca1_M1<==>Man1a_B1,51.0,0.47389042540967086,0.7999999999999998,0.7999999999999998,
Abca1_M1<==>Map2k3_M1,61.5,0.9713109231009215,0.7999999999999998,0.7999999999999998,
Abca1_M1<==>Morf4l1_B3,87.5,0.03497018186973984,0.7999999999999998,0.6999999999999998,
Abca1_M1<==>Sh3glb1_B3,,,,,insufficient data
Abca1_M1<==>Sqstm1_M1,102.5,0.003215430791892389,0.7999999999999998,0.5999999999999999,
Abca1_M1<==>Ube2b_T2,52.5,0.5939102752315921,0.6999999999999998,0.7999999999999998,
Ablim1_B2<==>Ighv1-22_B3,,,,,insufficient data
Ablim1_T3<==>Ighv1-52_B3,101.0,0.005750628588806661,-0.6851601597031489,-0.7745966692414834,
Ablim1_T6<==>Cd274_M0,,,,,insufficient data
Ablim1_T6<==>Gm42418_B2,,,,,insufficient data
Ablim1_T6<==>Msn_B1,80.5,0.05691320484612606,0.7999999999999998,0.7999999999999998,
Ablim1_T6<==>Npc2_M5,,,,,insufficient data
Ablim1_T6<==>Rpl28_B2,,,,,insufficient data
Ablim1_T6<==>Tapbp_M0,,,,,insufficient data
Abracl_M0<==>Actb_M0,,,,,insufficient data
Abracl_M0<==>Atp5g1_M0,20.5,0.006192270685612212,0.6999999999999998,0.7999999999999998,
Abracl_M0<==>Cox5b_M0,,,,,insufficient data
Abracl_M0<==>Gmfg_M0,,,,,insufficient data
Abracl_M0<==>Ifitm3_M0,,,,,insufficient data
Abracl_M0<==>Iigp1_M0,0.0,2.7913658165543884e-05,0.5999999999999999,0.7999999999999998,
Abracl_M0<==>Msn_M0,59.5,0.9681970931783525,0.7999999999999998,0.7999999999999998,
Abracl_M0<==>Psma2_M0,82.5,0.07192871433124456,0.7999999999999998,0.7999999999999998,
Abracl_M0<==>Psma3_M0,85.0,0.08103720298297257,0.8999999999999999,0.7999999999999998,
Abracl_M0<==>Psma7_M0,,,,,insufficient data
Abracl_M0<==>Psme2_M0,17.5,0.0021219720564284402,0.7999999999999998,0.8999999999999999,
Abracl_M0<==>Rhoa_M0,,,,,insufficient data
Abracl_M0<==>Saa3_M0,,,,,insufficient data
Abracl_M0<==>Tspo_M0,22.0,0.004808241337425888,0.5999999999999999,0.7999999999999998,
Abracl_M3<==>Itgax_M3,,,,,insufficient data
Abracl_M3<==>Psme2_M3,35.0,0.08521151731303908,0.6999999999999998,0.7999999999999998,
Abracl_T4<==>Atp5g2_B5,84.5,0.09490506417504517,0.7999999999999998,0.6999999999999998,
Abracl_T4<==>Capg_T4,,,,,insufficient data
Abracl_T4<==>Jpt1_M3,42.0,0.16853517769004378,0.7999999999999998,0.7999999999999998,
Acbd3_B3<==>Canx_B3,15.5,0.0022487799494979983,0.5999999999999999,0.7999999999999998,
Acod1_M2<==>Hdlbp_T5,,,,,insufficient data
Acod1_M2<==>Sh3bgrl3_M2,,,,,insufficient data
Acsl1_M0<==>Cfb_M0,103.0,0.0018657726715377008,0.8999999999999999,0.7999999999999998,
Acsl1_M0<==>Chil1_M0,,,,,insufficient data
Acsl1_M0<==>Cyba_M0,111.0,0.000625719872592781,0.8999999999999999,0.6999999999999998,
Acsl1_M0<==>Dazap2_M0,33.5,0.05263885008769711,0.5999999999999999,0.6999999999999998,
Acsl1_M0<==>Grasp_M3,12.5,0.0008962792832833527,0.5999999999999999,0.7999999999999998,
Acsl1_M0<==>Psma2_T5,79.5,0.12099716361525109,0.7999999999999998,0.7999999999999998,
Acsl1_M0<==>Psmb2_T5,,,,,insufficient data
Acsl1_M0<==>Slc25a4_M3,,,,,insufficient data
Acsl1_M0<==>Vasp_M0,,,,,insufficient data
Actb_M0<==>Emp3_M0,51.5,0.4065734948168095,0.7999999999999998,0.7999999999999998,
Actb_M0<==>Igha_B4,61.0,1.0,-0.7999999999999998,-0.7999999999999998,
Actb_M0<==>Iigp1_M0,77.0,0.21920283328557844,0.7999999999999998,0.6999999999999998,
Actb_M0<==>Ms4a4c_M0,115.0,0.0001849201348877201,1.0,0.7999999999999998,
Actb_M0<==>Ms4a6d_M0,121.0,1.7782178246874224e-05,1.0,0.7999999999999998,
Actb_M0<==>Pfn1_M0,27.0,0.008696555564569372,0.7999999999999998,0.7999999999999998,
Actb_M0<==>Psme2_M0,49.0,0.2819025817283859,0.7999999999999998,0.7999999999999998,
Actb_M3<==>Cox7c_B5,72.5,0.3948515574311753,-0.7999999999999998,-0.7999999999999998,
Actb_M3<==>Slc25a5_T5,81.0,0.1399320938576813,0.7999999999999998,0.7999999999999998,
Actb_M4<==>Gnb2_M4,,,,,insufficient data
Actb_M4<==>Isy1_T4,107.5,0.000755184389549235,-0.5999999999999999,-0.7999999999999998,
Actb_M4<==>Ube2b_T3,39.5,0.12561354867405727,-0.7999999999999998,-0.6999999999999998,
Actb_T0<==>Actb_T3,9.5,0.0004523858438738324,0.7999999999999998,1.0,
Actb_T0<==>Azin1_B3,60.0,1.0,-0.7999999999999998,-0.7999999999999998,
Actb_T0<==>Eef1a1_M0,50.5,0.46568896005618654,0.7999999999999998,0.7999999999999998,
Actb_T0<==>Eif4e_M1,,,,,insufficient data
Actb_T0<==>Hspa5_M1,,,,,insufficient data
Actb_T0<==>Igkv15-103_B2,101.5,0.006996622172906401,-0.6324555320336759,-0.7745966692414834,
Actb_T0<==>Kdm6b_M1,93.5,0.015285750419202182,-0.7999999999999998,-0.8999999999999999,
Actb_T0<==>P2ry10_T5,16.5,0.0008404883336887313,-0.7999999999999998,-0.5999999999999999,
Actb_T0<==>Pfn1_T3,27.0,0.008503560671429,0.7999999999999998,0.7999999999999998,
Actb_T0<==>Rab8b_M4,73.5,0.36267810501173314,-0.6999999999999998,-0.7999999999999998,
Actb_T0<==>Samsn1_M3,10.0,0.000625719872592781,-0.8999999999999999,-0.6999999999999998,
Actb_T0<==>Serpinb9_M3,89.0,0.01904236465378461,-0.7999999999999998,-0.7999999999999998,
Actb_T0<==>Slc25a5_B4,22.0,0.004747544204275978,0.5999999999999999,0.7999999999999998,
Actb_T0<==>Snrpf_B5,38.5,0.03579429762469107,-0.7999999999999998,-0.7999999999999998,
Actb_T0<==>Stat4_M3,,,,,insufficient data
Actb_T1<==>P2ry10_M4,38.5,0.1128262895357748,-0.7999999999999998,-0.7999999999999998,
Actb_T2<==>Actr3_M3,,,,,insufficient data
Actb_T2<==>Eif4e_M1,,,,,insufficient data
Actb_T2<==>Emb_T3,66.0,0.6544591797278088,-0.7999999999999998,-0.7999999999999998,
Actb_T2<==>Samsn1_M3,41.5,0.12099716361525109,-0.7999999999999998,-0.7999999999999998,
Actb_T3<==>Azin1_B3,17.5,0.0031780480189031205,-0.8999999999999999,-0.7999999999999998,
Actb_T3<==>Capza2_T4,7.5,0.0003727447456315988,-0.8999999999999999,-0.6999999999999998,
Actb_T3<==>Chd2_T2,53.5,0.5864031064636512,-0.7999999999999998,-0.7999999999999998,
Actb_T3<==>Grb2_B3,107.5,0.0007873563753329964,-0.7999999999999998,-0.8999999999999999,
Actb_T3<==>Ighv2-6-8_B2,67.0,0.5088828153535194,-0.7745966692414834,-0.7745966692414834,
Actb_T3<==>Pfn1_T3,36.0,0.031505969358374054,0.7999999999999998,0.7999999999999998,
Actb_T3<==>Prkar1a_T3,93.0,0.010885319159978625,-0.7999999999999998,-0.7999999999999998,
Actb_T3<==>Samsn1_M3,54.5,0.6876405462005852,-0.7999999999999998,-0.6999999999999998,
Actb_T3<==>Serpinb9_M3,85.5,0.05065110813372681,-0.7999999999999998,-0.7999999999999998,
Actb_T3<==>Srgn_B3,23.0,0.009984971801986845,-0.8999999999999999,-0.7999999999999998,
Actb_T3<==>Timm23_T4,30.0,0.011998814237510019,-0.7999999999999998,-0.7999999999999998,
Actb_T3<==>Zeb1_T2,81.0,0.05084368676505376,-0.7999999999999998,-0.7999999999999998,
Actb_T4<==>Fmnl1_M3,59.5,0.971262227738128,-0.7999999999999998,-0.7999999999999998,
Actb_T4<==>Ikbkb_M3,29.0,0.017722170679065848,-0.7999999999999998,-0.5999999999999999,
Actb_T4<==>Sqstm1_M3,64.5,0.804639266974568,-0.7999999999999998,-0.7999999999999998,
Actb_T4<==>Tpm4_T3,41.0,0.1699923866173091,-0.7999999999999998,-0.6999999999999998,
Actb_T5<==>Malat1_T3,38.5,0.13326154400663612,-0.7999999999999998,-0.6999999999999998,
Actg1_B3<==>Arpc3_M2,,,,,insufficient data
Actg1_B3<==>Cacna1s_B3,,,,,insufficient data
Actg1_B3<==>Cdkn1a_M1,99.5,0.006688484869729762,0.7999999999999998,0.7999999999999998,
Actg1_B3<==>Gfpt2_O7,,,,,insufficient data
Actg1_B3<==>S100a10_B3,,,,,insufficient data
Actg1_B3<==>S100a11_B3,,,,,insufficient data
Actg1_B3<==>Sf3b1_B1,,,,,insufficient data
Actg1_B3<==>Smim3_M3,90.5,0.032169052242559816,0.7999999999999998,0.5999999999999999,
Actg1_M0<==>Cybb_M0,90.0,0.040287130966211934,0.7999999999999998,0.6999999999999998,
Actg1_M0<==>Igsf6_M0,,,,,insufficient data
Actg1_M7<==>Mt2_O7,,,,,insufficient data
Actg1_T1<==>Arpc3_T1,,,,,insufficient data
Actg1_T1<==>Id2_T2,30.0,0.02590635876884597,0.7999999999999998,0.7999999999999998,
Actg1_T1<==>Ighv8-5_B3,71.5,0.37882071955831176,0.7745966692414834,0.7745966692414834,
Actg1_T1<==>Rps13_B0,,,,,insufficient data
Actg1_T1<==>Sub1_T1,78.0,0.20469795356714748,0.7999999999999998,0.6999999999999998,
Actg1_T7<==>Atp6v1g1_M0,,,,,insufficient data
Actr2_M0<==>Arpc1b_B2,,,,,insufficient data
Actr2_M0<==>BC005537_M0,51.0,0.4512648720200704,0.7999999999999998,0.7999999999999998,
Actr2_M0<==>Cox6c_M0,114.0,0.0002703146604363169,0.8999999999999999,0.7999999999999998,
Actr2_M0<==>Fgl2_M0,,,,,insufficient data
Actr2_M0<==>Gnb1_M0,,,,,insufficient data
Actr2_M0<==>Hexb_M1,82.5,0.03579429762469107,0.7999999999999998,0.7999999999999998,
Actr2_M0<==>Ldha_M0,,,,,insufficient data
Actr2_M0<==>Myof_M0,57.5,0.8339508259745999,0.7999999999999998,0.7999999999999998,
Actr2_M0<==>Nap1l1_M0,,,,,insufficient data
Actr2_M0<==>Ppp1ca_M0,89.0,0.024897288263003938,0.8999999999999999,0.7999999999999998,
Actr2_M0<==>Rps19_M3,,,,,insufficient data
Actr2_M0<==>Snap23_M3,,,,,insufficient data
Actr2_M0<==>Sppl2a_M0,,,,,insufficient data
Actr2_M0<==>Tomm6_M0,121.0,2.007865612426487e-05,1.0,0.7999999999999998,
Actr2_M0<==>Ubl5_M0,,,,,insufficient data
Actr2_M0<==>Uqcrq_M0,73.5,0.36267810501173314,0.8999999999999999,0.7999999999999998,
Actr3_M0<==>Capza2_M0,36.0,0.03168476176004342,0.7999999999999998,0.7999999999999998,
Actr3_M0<==>Ighv5-9-1_B3,11.5,0.001109629725397551,-0.7745966692414834,-0.7378647873726218,
Actr3_M3<==>Ddx6_M5,42.5,0.1806755543066162,-0.7999999999999998,-0.7999999999999998,
Actr3_M3<==>Tgfb1_T5,44.0,0.22044588923808017,-0.7999999999999998,-0.7999999999999998,
Actr3_T4<==>mt-Nd2_B1,52.0,0.5249071563823313,-0.7999999999999998,-0.7999999999999998,
Adipor1_M5<==>Grcc10_M0,110.5,0.000607406569074305,0.7999999999999998,0.5999999999999999,
Adipor1_M5<==>H2afj_T2,65.5,0.7502340864452224,0.7999999999999998,0.7999999999999998,
Aebp2_M4<==>Chp1_M3,,,,,insufficient data
Aebp2_M4<==>Sumo2_B5,56.5,0.8002386278604555,0.7999999999999998,0.7999999999999998,
Aebp2_M4<==>Zeb1_T2,47.0,0.34712610875552885,0.6999999999999998,0.7999999999999998,
Aebp2_M5<==>Anp32a_T4,50.0,0.4017225023422324,0.7999999999999998,0.7999999999999998,
Aebp2_T1<==>Map1lc3b_T3,57.0,0.788387702553684,0.7999999999999998,0.7999999999999998,
Aebp2_T1<==>Rab8b_M3,96.5,0.0067408594262714895,0.7999999999999998,0.7999999999999998,
Aebp2_T2<==>Il2rb_T5,113.5,0.0003682072241908507,0.8999999999999999,0.6999999999999998,
Aebp2_T2<==>Mier1_T2,,,,,insufficient data
Aebp2_T2<==>Rpl10a_M3,37.0,0.0791952670866393,-0.7999999999999998,-0.7999999999999998,
Aff4_B4<==>Gch1_B5,32.5,0.056987359134256566,-0.7999999999999998,-0.6999999999999998,
Agpat4_M3<==>Calm1_B2,,,,,insufficient data
Agpat4_M3<==>Crem_T3,98.5,0.004137326620450879,0.7999999999999998,0.5999999999999999,
Agpat4_M3<==>Epcam_M3,76.5,0.28152895142479917,0.7999999999999998,0.5999999999999999,
Agpat4_M3<==>Ifngr1_M3,,,,,insufficient data
Agpat4_M3<==>Il1r2_M3,,,,,insufficient data
Agpat4_M3<==>Pik3r5_M3,,,,,insufficient data
Agpat4_M3<==>Plet1_M3,,,,,insufficient data
Agpat4_M3<==>Tgfb1_M3,,,,,insufficient data
Agpat4_M3<==>Tpm4_T3,,,,,insufficient data
Agpat4_M3<==>Txnrd1_M3,,,,,insufficient data
Agpat4_M3<==>Zbtb20_B1,,,,,insufficient data
Ahnak_M1<==>Anxa2_M4,,,,,insufficient data
Ahnak_M1<==>Cebpb_M1,,,,,insufficient data
Ahnak_M1<==>Ncl_B3,,,,,insufficient data
Ahnak_M1<==>Tmem14c_M1,,,,,insufficient data
Ahnak_T4<==>Lars2_B7,,,,,insufficient data
Ahnak_T4<==>Pafah1b1_B1,,,,,insufficient data
Ahnak_T4<==>Selenok_T2,,,,,insufficient data
Ahnak_T4<==>mt-Nd2_M5,76.0,0.1793600008133044,0.7999999999999998,0.7999999999999998,
Ahr_M3<==>Srsf3_T3,45.5,0.22402458436492623,-0.7999999999999998,-0.7999999999999998,
Ahr_M5<==>Cxcr4_M5,,,,,insufficient data
Ahr_M5<==>Orai1_M3,,,,,insufficient data
Aif1_M1<==>Rps13_B3,,,,,insufficient data
Akap13_B3<==>Igkv10-94_B3,,,,,insufficient data
Akap13_B3<==>Igkv10-96_B4,,,,,insufficient data
Akap13_B3<==>Ndel1_M3,82.0,0.14367208180696023,-0.6999999999999998,-0.7999999999999998,
Akap13_B3<==>Tmem176a_O7,,,,,insufficient data
Akap13_B3<==>Vapa_B3,85.5,0.060909883213629626,0.7999999999999998,0.6999999999999998,
Akap13_T3<==>Hif1a_T5,82.5,0.035448399642724344,0.7999999999999998,0.7999999999999998,
Akap13_T3<==>Ppt1_M4,,,,,insufficient data
Akap13_T3<==>Son_B2,84.5,0.08921502086407435,0.7999999999999998,0.7999999999999998,
Akap13_T3<==>mt-Co2_T2,25.0,0.005408790975210938,-0.7999999999999998,-0.6999999999999998,
Akap13_T4<==>Atp5l_O10,75.5,0.22274222458340454,0.7999999999999998,0.7999999999999998,
Akap13_T4<==>Ctsz_B1,,,,,insufficient data
Akap13_T4<==>Fus_M0,74.5,0.28271280639104013,0.7999999999999998,0.7999999999999998,
Akap13_T4<==>Gnai2_B1,71.5,0.3792588444934446,0.7999999999999998,0.7999999999999998,
Akap13_T4<==>Igha_B1,71.5,0.4377307418976646,-0.7999999999999998,-0.7999999999999998,
Akap13_T4<==>Itm2b_B5,76.0,0.2297129367284667,0.7999999999999998,0.7999999999999998,
Akap13_T4<==>Ly6a_B1,35.0,0.025075847097207567,0.7999999999999998,0.7999999999999998,
Akap13_T4<==>Mcl1_T1,,,,,insufficient data
Akap13_T4<==>Psmb8_B4,66.5,0.6226659231205216,0.7999999999999998,0.7999999999999998,
Akap13_T4<==>Ptprb_O10,56.5,0.7869817735907183,-0.7999999999999998,-0.7999999999999998,
Akap13_T4<==>Rsbn1l_T3,,,,,insufficient data
Akr1a1_M0<==>Clta_M0,,,,,insufficient data
Akr1a1_M0<==>D8Ertd738e_T2,99.0,0.007376274313557021,0.7999999999999998,0.7999999999999998,
Akr1a1_M0<==>Gmfg_T4,35.5,0.05065110813372681,0.7999999999999998,0.7999999999999998,
Akr1a1_M0<==>Ptp4a2_M0,89.5,0.017006358401612916,0.7999999999999998,0.7999999999999998,
Akr1a1_M0<==>Shisa5_T7,90.0,0.03196418475326459,0.7999999999999998,0.6999999999999998,
Akr1a1_M0<==>Tmed10_M0,88.0,0.01554396068944034,0.7999999999999998,0.7999999999999998,
Akr1a1_M1<==>Lamp1_M5,63.5,0.8598076138526077,0.7999999999999998,0.6999999999999998,
Akr1a1_M1<==>Ms4a6c_M1,72.0,0.2819025817283859,0.7999999999999998,0.7999999999999998,
Akr1a1_M1<==>Ran_M0,80.0,0.1794971448509065,0.7999999999999998,0.6999999999999998,
Aldoa_B1<==>C3_O7,53.0,0.5904677311648134,0.7999999999999998,0.7999999999999998,
Aldoa_B1<==>Cd38_M0,,,,,insufficient data
Aldoa_B1<==>Cd79a_B5,,,,,insufficient data
Aldoa_B1<==>Stat1_M0,,,,,insufficient data
Aldoa_B3<==>Igha_B0,32.5,0.05964252298387702,0.7999999999999998,0.8999999999999999,
Aldoa_M0<==>Cox6b1_M0,,,,,insufficient data
Aldoa_M0<==>Eif1_M3,80.0,0.12960138343036182,-0.7999999999999998,-0.7999999999999998,
Aldoa_M0<==>Iscu_M3,,,,,insufficient data
Aldoa_M0<==>Mif_M0,48.0,0.386446782483838,0.7999999999999998,0.8999999999999999,
Aldoa_M0<==>Ostf1_M0,78.5,0.18150981615991324,0.7999999999999998,0.7999999999999998,
Aldoa_M0<==>Pgk1_M0,80.5,0.05691320484612606,0.7999999999999998,0.7999999999999998,
Aldoa_M0<==>Psmb9_M3,36.0,0.0668927204242639,0.6999999999999998,0.7999999999999998,
Aldoa_M0<==>Rplp0_T5,,,,,insufficient data
Aldoa_M0<==>Samhd1_M3,,,,,insufficient data
Aldoa_M5<==>Fermt3_M5,15.5,0.0019769354069345438,0.6999999999999998,0.7999999999999998,
Aldoa_M5<==>H2-Q7_T4,39.5,0.08560977938753393,0.7999999999999998,0.7999999999999998,
Aldoa_M5<==>Hif1a_M5,17.5,0.0020334383046764623,0.7999999999999998,0.8999999999999999,
Aldoa_M5<==>Itgb2_M5,10.5,0.0005537283856400238,0.7999999999999998,1.0,
Aldoa_M5<==>Mif_M5,75.5,0.30326856632481425,0.7999999999999998,0.7999999999999998,
Aldoa_M5<==>Prdx1_M5,,,,,insufficient data
Aldoa_M5<==>Psma2_M5,115.5,8.562411816114864e-05,0.7999999999999998,0.5999999999999999,
Aldoa_M5<==>Rnf149_M5,,,,,insufficient data
Aldoa_T0<==>Ptprc_T0,,,,,insufficient data
Aldoa_T2<==>Cops9_M0,,,,,insufficient data
Aldoa_T5<==>Igfbp7_O7,,,,,insufficient data
Alox5ap_M0<==>Arpc1b_M0,,,,,insufficient data
Alox5ap_M0<==>Clic1_M0,111.0,0.0005972555386031816,0.8999999999999999,0.6999999999999998,
Alox5ap_M0<==>Cyba_M0,81.0,0.09307040871575134,0.7999999999999998,0.7999999999999998,
Alox5ap_M0<==>Eif3h_M0,40.5,0.10264425511040026,0.7999999999999998,0.7999999999999998,
Alox5ap_M0<==>Mgst1_M0,94.0,0.008696555564569372,0.7999999999999998,0.7999999999999998,
Alox5ap_M0<==>Msrb1_M0,87.0,0.03727138242357667,0.8999999999999999,0.7999999999999998,
Alox5ap_M0<==>Rpl41_M5,64.0,0.788062142685333,-0.7999999999999998,-0.7999999999999998,
Alox5ap_M0<==>Sf3b1_B1,,,,,insufficient data
Alox5ap_M0<==>Tspo_M0,72.0,0.2819025817283859,0.7999999999999998,0.7999999999999998,
