,B0,B1,B2,B3,B4,B5,B6_0,B7,M0,M1,M2,M3,M4,M5,M7,O10,O4,O7,T0,T1,T2,T3,T4,T5,T6,T6_2,T6_3,T7
B0,0.0,52.37837787408317,17.46904761904762,22.240893508111327,9.756588731131721,21.14627597596342,0.0,0.5714285714285714,6.8530745307179375,16.34047619047619,1.3714285714285712,19.50388410346224,12.385714285714283,11.541621338732815,0.0,1.3999999999999997,0.0,6.564285714285714,1.1999999999999997,19.371428571428574,17.732455532033672,7.987826350922893,13.519638641293106,10.221428571428568,2.9214285714285713,0.0,0.6689323936863109,3.6261904761904753
B1,52.37837787408317,0.0,139.10272470391772,158.89536955002765,84.68267114726136,139.2469449595774,1.7999999999999996,3.6131095051003985,134.35557182154457,155.74556211565024,9.747619047619045,255.37142857142803,99.2847477273624,97.04099444873565,13.128571428571428,17.669047619047614,0.0,42.87952045364161,29.004714247321225,150.89523809523786,215.31781181492286,101.06904761904752,198.46428571428544,124.7751974495293,12.656265055843198,5.3999999999999995,3.39681111095425,27.289598389176543
B2,17.46904761904762,139.10272470391772,0.0,40.43540623722043,15.940476190476186,53.053626273944495,1.2428571428571427,0.5046288711707324,88.29653508375519,50.778797721777565,4.2602996029785265,98.4186478723234,29.66409026542928,25.2181530272424,3.6309523809523805,4.538095238095238,0.5,6.796187120308252,7.896178839735035,42.662858378909576,78.12019753994399,31.853636607803008,61.69722405333012,36.909791156480786,7.586874078713434,3.3238095238095235,0.0,7.728571428571428
B3,22.240893508111327,158.89536955002765,40.43540623722043,0.0,41.4503256685548,66.95829729119865,3.0474129792483584,1.9176063423324008,55.4277343986754,144.92593731771308,17.074101440260105,224.659588014184,83.20355508434992,36.69699619848965,6.126190476190475,35.05574553772027,1.5119047619047619,38.098091242827046,18.557142857142853,65.03849317857212,140.273521862055,64.51944636571976,82.94832691804021,65.7780176430559,6.557142857142857,2.6999999999999993,1.2999999999999998,22.181839922975676
B4,9.756588731131721,84.68267114726136,15.940476190476186,41.4503256685548,0.0,22.831739526384347,1.9119047619047616,1.3312276694065037,27.085172963489658,21.85167727347236,1.7119047619047616,48.36238055878897,19.054761904761904,17.74674124631939,3.861350635893624,3.6999999999999993,0.0,6.692857142857142,6.051826826369815,20.51163587473242,26.85165135851094,8.928571428571427,50.21269190733674,17.364518733706536,5.538095238095236,0.5999999999999999,0.9999999999999999,12.55144271383616
B5,21.14627597596342,139.2469449595774,53.053626273944495,66.95829729119865,22.831739526384347,0.0,3.0547619047619046,0.5999999999999999,49.84717823715149,60.06453106044729,4.102380952380951,107.29662312155234,42.122653207677786,26.297619047619055,8.208415557501533,9.649999999999999,0.0,10.459178133439885,10.778571428571427,63.97380952380955,48.86639944605734,47.65841555750155,69.03668998785228,43.78310288261073,5.094969208065749,0.0,0.0,24.68706788389812
B6_0,0.0,1.7999999999999996,1.2428571428571427,3.0474129792483584,1.9119047619047616,3.0547619047619046,0.0,0.0,0.4999999999999999,4.831233058140622,0.5134062769065464,1.8428571428571425,0.7999999999999998,0.5238095238095238,0.5,0.0,0.5999999999999999,0.0,0.6999999999999998,1.3999999999999997,2.2438598737686615,1.2999999999999998,0.5999999999999999,1.4999999999999996,0.0,0.0,0.0,0.5999999999999999
B7,0.5714285714285714,3.6131095051003985,0.5046288711707324,1.9176063423324008,1.3312276694065037,0.5999999999999999,0.0,0.0,4.384318475838322,0.5999999999999999,0.0,3.795238095238095,0.6999999999999998,1.3999999999999997,0.0,0.0,0.0,2.271428571428571,0.0,5.336934755090861,2.477180136454095,2.1324555320336755,1.7621819264191214,1.216227766016838,0.0,0.0,0.0,0.545544725589981
M0,6.8530745307179375,134.35557182154457,88.29653508375519,55.4277343986754,27.085172963489658,49.84717823715149,0.4999999999999999,4.384318475838322,0.0,69.2330109256262,13.984109126788047,213.91908087902684,56.226394263930274,94.10560919893089,10.939882755954503,6.1238095238095225,0.0,24.70238095238096,18.892857142857142,39.8857142857143,75.37056215689213,38.07857142857145,169.33475970760514,124.981844841174,9.05238095238095,3.088095238095238,0.0,25.822386356692633
M1,16.34047619047619,155.74556211565024,50.778797721777565,144.92593731771308,21.85167727347236,60.06453106044729,4.831233058140622,0.5999999999999999,69.2330109256262,0.0,7.152380952380951,242.53333333333273,110.42619047619037,43.28571428571429,8.178571428571427,17.597619047619048,0.4999999999999999,15.521428571428567,15.47619047619047,72.54285714285714,110.53809523809511,55.7809523809524,79.4595238095238,58.06190476190478,6.554761904761904,2.207142857142857,0.5357142857142858,28.923615969321272
M2,1.3714285714285712,9.747619047619045,4.2602996029785265,17.074101440260105,1.7119047619047616,4.102380952380951,0.5134062769065464,0.0,13.984109126788047,7.152380952380951,0.0,11.269047619047617,5.623809523809522,5.9952380952380935,2.176190476190476,1.0714285714285714,0.6547619047619048,3.1579300025748163,0.0,6.314285714285713,10.740476190476187,4.099999999999999,3.7619047619047614,5.1952380952380945,1.2119047619047616,0.0,0.0,0.5
