,B0,B1,B2,B3,B4,B5,B6_0,B7,M0,M1,M2,M3,M4,M5,M7,O10,O4,O7,T0,T1,T2,T3,T4,T5,T6,T6_2,T6_3,T7
B0,0.0,35.94130999018505,10.966666666666665,12.848762044958187,5.449445873988864,9.543108824903442,0.0,0.5714285714285714,2.09047619047619,10.904761904761905,1.3714285714285712,10.103884103462244,4.53095238095238,4.8372983346207405,0.0,0.7999999999999998,0.0,3.5880952380952382,0.5999999999999999,12.404761904761903,8.223809523809521,5.3,6.772019593674061,4.173809523809523,1.8571428571428572,0.0,0.6689323936863109,2.5261904761904757
B1,35.94130999018505,0.0,81.4695534355678,91.77840345516543,46.11340791298607,86.56428571428572,0.5999999999999999,1.9006817257519535,60.25725919558876,91.19482210037643,4.899999999999999,147.92619047619036,47.36666666666668,45.80793000257485,7.328571428571427,7.223809523809522,0.0,23.750949025070156,14.630074579652721,97.51666666666661,141.79638324349455,57.70714285714285,123.5023809523808,69.5238095238095,7.730074579652722,4.1,1.883333333333333,18.668169817747962
B2,10.966666666666665,81.4695534355678,0.0,20.655267289466323,4.523809523809524,32.364488786213194,0.6428571428571428,0.0,46.87632276321586,20.274516100050313,3.0293472220261455,54.41516173805507,12.3354434262975,12.185373819920207,0.6999999999999998,0.5952380952380952,0.0,4.015673640005701,3.164993439361832,27.318168181668455,56.67970485569999,17.611026960605102,30.8440559555172,16.219047619047615,5.239255031094387,1.9238095238095236,0.0,6.0285714285714285
B3,12.848762044958187,91.77840345516543,20.655267289466323,0.0,27.488853314993104,38.032532456298526,1.147412979248359,0.0,26.988111963000183,92.72161600217277,10.07245849432389,133.497698713991,50.28915948852673,17.6167131689097,2.4023809523809523,15.530455109675922,0.4999999999999999,21.32857595027205,6.078571428571427,39.81273625896925,84.20819196026183,33.01627826790681,49.39594339696112,25.91831859241964,4.19047619047619,2.6999999999999993,1.2999999999999998,13.044887264438858
B4,5.449445873988864,46.11340791298607,4.523809523809524,27.488853314993104,0.0,11.790476190476188,1.3999999999999997,0.5312276694065038,8.707930002574816,11.83024870204379,0.5999999999999999,25.73706788389813,9.02142857142857,7.75864600822415,0.0,1.8999999999999997,0.0,3.7452380952380944,1.1547619047619047,12.047619047619042,15.689746596606177,3.2976190476190474,30.64602524067007,7.73095238095238,3.2142857142857135,0.5999999999999999,0.4999999999999999,7.221428571428571
B5,9.543108824903442,86.56428571428572,32.364488786213194,38.032532456298526,11.790476190476188,0.0,1.1999999999999997,0.5999999999999999,20.32857142857143,30.879809801393968,0.7023809523809523,61.37031409625891,17.304646679400594,8.914285714285713,5.7759600254678585,3.09047619047619,0.0,5.340130514392265,4.33095238095238,31.6309523809524,25.67495467206615,23.656588731131716,37.302762391810525,23.704646679400597,2.0999999999999996,0.0,0.0,12.452265727019642
B6_0,0.0,0.5999999999999999,0.6428571428571428,1.147412979248359,1.3999999999999997,1.1999999999999997,0.0,0.0,0.0,2.5312330581406224,0.0,0.6428571428571428,0.0,0.0,0.0,0.0,0.5999999999999999,0.0,0.0,0.7999999999999998,1.7200503499591375,1.2999999999999998,0.0,0.0,0.0,0.0,0.0,0.0
B7,0.5714285714285714,1.9006817257519535,0.0,0.0,0.5312276694065038,0.5999999999999999,0.0,0.0,1.3164307357168348,0.5999999999999999,0.0,1.8952380952380952,0.0,1.3999999999999997,0.0,0.0,0.0,1.7714285714285711,0.0,2.6717932403008935,1.177180136454095,0.6999999999999998,1.2547619047619047,0.0,0.0,0.0,0.0,0.545544725589981
M0,2.09047619047619,60.25725919558876,46.87632276321586,26.988111963000183,8.707930002574816,20.32857142857143,0.0,1.3164307357168348,0.0,31.570687873838608,5.207918650597574,105.88340188459114,25.209523809523812,43.33418062750244,3.9309523809523803,1.7238095238095235,0.0,12.240476190476189,5.714285714285713,21.738095238095237,30.520027200242097,14.19285714285714,75.61680569863012,61.1952380952381,3.814285714285714,1.1999999999999997,0.0,11.91591285092222
M1,10.904761904761905,91.19482210037643,20.274516100050313,92.72161600217277,11.83024870204379,30.879809801393968,2.5312330581406224,0.5999999999999999,31.570687873838608,0.0,2.9976190476190476,152.22142857142828,63.326190476190476,21.714285714285722,1.2999999999999998,10.864285714285709,0.0,8.190476190476188,8.116666666666665,34.53333333333334,59.73571428571432,28.228571428571435,53.50714285714291,26.364285714285717,2.483333333333333,0.6071428571428572,0.5357142857142858,18.02904722545561
