,B0,B1,B2,B3,B4,B5,B6_0,B7,M0,M1,M2,M3,M4,M5,M7,O10,O4,O7,T0,T1,T2,T3,T4,T5,T6,T6_2,T6_3,T7
B0,0.0,21.660472834593964,6.883333333333333,7.3534920344601415,1.2923030168460061,4.299999999999999,0.0,0.0,1.4904761904761903,5.152380952380952,0.0,3.2666666666666657,1.3309523809523807,1.7872983346207414,0.0,0.7999999999999998,0.0,1.2976190476190474,0.0,8.390476190476189,3.4690476190476187,1.9452380952380952,5.572019593674062,0.7142857142857143,1.2738095238095237,0.0,0.6689323936863109,1.3428571428571425
B1,21.660472834593964,0.0,54.225296505443964,42.94105034932268,22.842857142857138,51.03095238095238,0.0,1.341157916228144,22.740476190476194,49.21135063589363,0.7999999999999998,72.48095238095239,15.459523809523805,19.388095238095243,2.5285714285714285,0.6999999999999998,0.0,14.444683969226958,8.463407912986057,61.64285714285713,83.79638324349469,28.89285714285714,74.63809523809525,26.588095238095242,2.7324555320336756,4.1,1.3595238095238094,7.220550770128912
B2,6.883333333333333,54.225296505443964,0.0,14.810568627858077,2.1404761904761904,19.704602087164726,0.0,0.0,25.361904761904764,7.559523809523809,1.3055376982166225,32.19425510043384,3.8180424565356743,5.399999999999999,0.6999999999999998,0.0,0.0,0.7999999999999998,0.5999999999999999,17.283333333333328,44.66065723665237,9.437217436795578,15.598933085640414,7.426190476190475,2.8154455072848634,0.7999999999999998,0.0,4.085714285714285
B3,7.3534920344601415,42.94105034932268,14.810568627858077,0.0,13.335653909027027,19.025252216576952,0.0,0.0,9.944360293938436,45.940490340611255,2.3035261006375793,75.37126757692502,20.843921393288607,3.908646008224152,1.1666666666666665,7.175693204914021,0.0,9.021548318490499,3.4238095238095227,23.33796546733672,49.49088942408382,17.710578301912737,20.81943995236841,8.201325433723856,1.9952380952380948,1.4999999999999996,0.6999999999999998,3.2481088382162824
B4,1.2923030168460061,22.842857142857138,2.1404761904761904,13.335653909027027,0.0,2.6071428571428568,1.3999999999999997,0.0,4.174596669241482,5.993031265248208,0.5999999999999999,14.910877407707648,3.2666666666666666,4.23095238095238,0.0,0.6999999999999998,0.0,1.9142857142857141,0.6309523809523809,2.657142857142857,3.8880952380952376,1.3999999999999997,13.598406193051002,1.4309523809523808,2.0547619047619046,0.5999999999999999,0.0,3.1714285714285713
B5,4.299999999999999,51.03095238095238,19.704602087164726,19.025252216576952,2.6071428571428568,0.0,0.5999999999999999,0.0,7.099999999999999,16.775047896632053,0.7023809523809523,29.418932393686323,8.123694298448214,6.499999999999999,3.975960025467859,0.6190476190476191,0.0,2.030952380952381,1.5999999999999996,10.27142857142857,14.946383243494719,10.090476190476188,19.209523809523816,10.647619047619045,0.7999999999999998,0.0,0.0,4.557142857142857
B6_0,0.0,0.0,0.0,0.0,1.3999999999999997,0.5999999999999999,0.0,0.0,0.0,1.316314551828932,0.0,0.6428571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6999999999999998,0.0,0.0,0.0,0.0,0.0,0.0
B7,0.0,1.341157916228144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6999999999999998,0.0,0.7999999999999998,0.0,0.0,0.0,0.5999999999999999,0.0,0.6866330805977447,0.5771801364540952,0.6999999999999998,0.0,0.0,0.0,0.0,0.0,0.0
M0,1.4904761904761903,22.740476190476194,25.361904761904764,9.944360293938436,4.174596669241482,7.099999999999999,0.0,0.0,0.0,10.773455392706722,1.3999999999999997,49.67931507881609,5.633333333333331,22.253228246550037,2.0595238095238093,0.0,0.0,7.0857142857142845,2.9142857142857137,12.169047619047616,12.519047619047619,2.6190476190476186,37.07871046053493,25.630952380952387,2.414285714285714,0.5999999999999999,0.0,2.9082182495415454
M1,5.152380952380952,49.21135063589363,7.559523809523809,45.940490340611255,5.993031265248208,16.775047896632053,1.316314551828932,0.0,10.773455392706722,0.0,0.0,83.09999999999998,23.65,7.073809523809523,0.4999999999999999,5.773809523809522,0.0,2.759523809523809,4.919047619047618,18.79285714285714,25.91428571428571,16.299999999999997,24.6047619047619,8.16904761904762,1.2999999999999998,0.6071428571428572,0.0,8.8062650558432
