"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Ifi205",0.467601247640741,0.876842025052582,0,0.001,1
"Plxna2",0.467601247640741,0.713589388589966,0,0.001,1
"Sfmbt2",0.467601247640741,0.526141012734165,0,0.001,1
"Pkn3",0.467601247640741,0.89744916327899,0,0.001,1
"Prrx2",0.467601247640741,-0.238920307856718,0,0.001,1
"Plpp7",0.467601247640741,0.355082422073298,0,0.001,1
"Ak1",0.467601247640741,0.815610376367362,0,0.001,1
"Gm13620",0.467601247640741,0.354946243778189,0,0.001,1
"Gm13594",0.467601247640741,0.21103002830821,0,0.001,1
"Ldlrad3",0.467601247640741,-1.0038103864371,0,0.001,1
"Mpped2",0.467601247640741,0.687762777764247,0,0.001,1
"2700033N17Rik",0.467601247640741,0.485254830068337,0,0.001,1
"Fbln7",0.467601247640741,0.565979453602173,0,0.001,1
"Fermt1",0.467601247640741,0.172928471255998,0,0.001,1
"Slc24a3",0.467601247640741,0.98182780253191,0,0.001,1
"Lpin3",0.467601247640741,0.406830989245803,0,0.001,1
"Tshz2",0.467601247640741,0.675071677895831,0,0.001,1
"Bmp7",0.467601247640741,0.401842212655593,0,0.001,1
"Gm14399",0.467601247640741,0.706368728414093,0,0.001,1
"Il7",0.467601247640741,0.452775442182903,0,0.001,1
"Tnik",0.467601247640741,0.736168442899794,0,0.001,1
"Wwtr1",0.467601247640741,0.789697008453699,0,0.001,1
"Arhgef26",0.467601247640741,0.773772320108115,0,0.001,1
"Plch1",0.467601247640741,0.689636693518739,0,0.001,1
"Arl14",0.467601247640741,0.801613118359938,0,0.001,1
"4930589L23Rik",0.467601247640741,0.919640859178619,0,0.001,1
"Gm37876",0.467601247640741,0.938397816183372,0,0.001,1
"Efna4",0.467601247640741,0.453214165875195,0,0.001,1
"Creb3l4",0.467601247640741,0.429971417631828,0,0.001,1
"S100a2",0.467601247640741,0.773601680854624,0,0.001,1
"S100a3",0.467601247640741,0.698040858708799,0,0.001,1
"S100a7a",0.467601247640741,0.627420703947603,0,0.001,1
"Rorc",0.467601247640741,0.66397051894022,0,0.001,1
"Mtmr11",0.467601247640741,0.69703672399991,0,0.001,1
"Hmgcs2",0.467601247640741,0.707221869483901,0,0.001,1
"Gm42699",0.467601247640741,0.639585320605971,0,0.001,1
"5330417C22Rik",0.467601247640741,0.616397557125072,0,0.001,1
"Alpk1",0.467601247640741,0.187252457201867,0,0.001,1
"Enpep",0.467601247640741,0.712622631468722,0,0.001,1
"Emcn",0.467601247640741,0.818302923893418,0,0.001,1
"Negr1",0.467601247640741,0.683728981203473,0,0.001,1
"Esrp1",0.467601247640741,0.495467915019969,0,0.001,1
"Enho",0.467601247640741,0.995478676218815,0,0.001,1
"Tmem246",0.467601247640741,0.327765987823071,0,0.001,1
"Cyp2j6",0.467601247640741,0.506857338421952,0,0.001,1
"Gm12802",0.467601247640741,0.715192134010913,0,0.001,1
"Trabd2b",0.467601247640741,0.662688358709062,0,0.001,1
"Ermap",0.467601247640741,0.532127723088371,0,0.001,1
"Oscp1",0.467601247640741,0.979089123975658,0,0.001,1
"Arhgef10l",0.467601247640741,0.499131628047758,0,0.001,1
"Mfap2",0.467601247640741,0.650751779488576,0,0.001,1
"Arhgef19",0.467601247640741,0.358499142275539,0,0.001,1
"Zfp991",0.467601247640741,0.743236579311429,0,0.001,1
"Gpr157",0.467601247640741,0.178487488100908,0,0.001,1
"Gm43727",0.467601247640741,0.849602242350125,0,0.001,1
"Steap1",0.467601247640741,0.410309292542959,0,0.001,1
"Abcb4",0.467601247640741,0.728458963513127,0,0.001,1
"Dok7",0.467601247640741,0.467052236803394,0,0.001,1
"Prom1",0.467601247640741,0.828200768969776,0,0.001,1
"Kdr",0.467601247640741,0.712590037437964,0,0.001,1
"Shroom3",0.467601247640741,0.91245900716498,0,0.001,1
