gene,pval_lower,pval_median,pval_upper,log2fc_lower,log2fc_median,log2fc_upper,median_Salmonella_infTLSwk3_median,median_IL10_KOTLS_median
Atp6v0d1,6.35071842502183e-05,0.0013600451325973938,0.012128869270031368,0.39284340569710924,0.5756066384803096,0.7657188476257833,0.5860154041591408,0.8737684493183707
Ripor1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Gm5914,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Ctcf,0.002778685068188869,0.029867793297539916,0.2615722360139493,-27.998953027691723,0.0,0.0,0.0,0.0
Carmil2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Acd,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Pard6a,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Enkd1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Gfod2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Ranbp10,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Cenpt,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Thap11,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Nutf2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Edc4,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Pskh1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Ctrl,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Psmb10,0.0001529566816353153,0.00020409154273458706,0.00022199620514430827,-30.199574843108714,-2.2313791381544643,-1.1354743363064832,1.1722417425789913,0.251592090597401
Lcat,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Slc12a4,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Dpep2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Dus2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Ddx28,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Nfatc3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Esrp2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1810019D21Rik,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Pla2g15,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Slc7a6,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Slc7a6os,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Prmt7,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Smpd3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Zfp90,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Cdh1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Tango6,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Chtf8,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Utp4,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Sntb2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Vps4a,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Cog8,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Nip7,0.2615722360139493,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Terf2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Cyb5b,0.2615722360139493,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Nfat5,0.024663758772940858,0.15811639530827631,0.6089809403285674,-29.234211118714036,-1.4104062614474633,-0.07514684395019022,0.54495160486946,0.217710384829204
Nqo1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Nob1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Wwp2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Psmd7,3.5291394948257277e-05,0.0007335473709934008,0.007737120862323551,-29.025144278833597,-28.797028368248387,-28.157242339101447,0.4664115793686435,0.0
Zfhx3,0.266717246715916,0.47495853988950676,1.0,0.0,0.0,0.0,0.0,0.0
Dhx38,0.029867793297539916,0.2615722360139493,1.0,0.0,0.0,0.0,0.0,0.0
Txnl4b,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Hp,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
