"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Saa3",7.20157609672727e-226,6.83152918692928,0.276,0.003,1.4452843068522e-221
"Lyz2",1.34034874756674e-129,2.61318726594761,0.583,0.104,2.68994590149169e-125
"Art2b",7.70897785581271e-118,3.98869544426637,0.294,0.025,1.54711476588305e-113
"Esm1",9.9394888814375e-103,3.10897702501411,0.339,0.041,1.99475602361569e-98
"Tpm3-rs7",7.46378611678617e-101,3.57926616820274,0.24,0.018,1.49790723577782e-96
"S100a9",1.82432537194664e-82,3.17711496443062,0.228,0.021,3.66123858895972e-78
"Asap1",7.75107952954411e-82,1.77264388728014,0.676,0.213,1.55556415078421e-77
"Kif1b",4.94172952174958e-63,1.86674316012809,0.583,0.195,9.91755697719923e-59
"Ramp3",1.43370711340163e-53,-1.83740965897503,0.526,0.802,2.87730680588573e-49
"Cdk5r1",3.18397061806394e-52,1.96595422417109,0.207,0.03,6.38991063339252e-48
"S100a8",1.66664298111799e-50,3.23515131633704,0.126,0.01,3.34478579880569e-46
"Tspan32",2.21793639805696e-49,1.8116653560737,0.339,0.08,4.45117655726052e-45
"Cst7",9.77389332218916e-44,2.13144493266944,0.249,0.051,1.96152265083014e-39
"Fcer1g",2.68681456760711e-43,2.79522685572893,0.165,0.023,5.39216815573071e-39
"Nsg2",4.29721891255054e-43,1.5334484824995,0.348,0.092,8.62408863559768e-39
"C1qa",2.8694767937792e-41,2.6620574148504,0.141,0.017,5.75875297743547e-37
"Cxcl9",6.62654982723125e-41,3.31637075873034,0.081,0.005,1.32988228482704e-36
"Zfp990",2.01876064812654e-40,8.5850788382919,0.042,0,4.05145074472516e-36
"Batf",8.29934519120809e-40,1.07242217117693,0.694,0.339,1.66559558642355e-35
"Nr3c1",1.05779094631583e-39,-2.18298495752968,0.246,0.588,2.12288065016124e-35
"Setbp1",2.66459100636383e-37,2.33816834822636,0.189,0.035,5.34756769067157e-33
"Crem",3.31630437035476e-37,-1.82357812007736,0.342,0.648,6.65549124086496e-33
"Emb",4.11325336047246e-37,-0.935151261927382,0.862,0.921,8.25488816913217e-33
"Slamf6",7.00722359592634e-37,1.176582861094,0.628,0.29,1.40627970346646e-32
"Ly6a",1.00310587384092e-36,1.35104961426821,0.661,0.338,2.01313317821135e-32
"Tcf7",1.86628480887739e-35,0.991357111359734,0.79,0.464,3.74544698293603e-31
"Chil1",1.10529566393256e-34,6.98174267484864,0.039,0,2.21821786794626e-30
"Irf2bp2",1.86551314842948e-34,1.21571633763816,0.634,0.313,3.74389833758312e-30
"2310001H17Rik",2.27002848899425e-34,1.19549758027696,0.505,0.197,4.55572017456256e-30
"Bace2",2.90937270277772e-34,3.19759634720123,0.072,0.005,5.8388200772046e-30
"Actb",5.59659870075021e-34,0.661449307134165,0.997,0.96,1.12318139325356e-29
"Gm15987",6.44875986781118e-34,1.60901259404738,0.369,0.123,1.29420161787102e-29
"Izumo1r",1.61861642509052e-33,1.25008191894756,0.471,0.183,3.24840130351416e-29
"C1qb",2.57223219121566e-33,2.14748467152175,0.168,0.031,5.16221278455071e-29
"Ptrh1",5.46449035834594e-32,2.44970385479052,0.132,0.02,1.09666857001645e-27
"Crip1",1.01234126643136e-31,-2.35462733085098,0.399,0.641,2.03166768760109e-27
"Tespa1",1.03560677205614e-31,1.09947936090634,0.459,0.175,2.07835923083947e-27
"Gbp2b",1.53434664249735e-31,1.90179068191038,0.159,0.029,3.07928027682793e-27
"Rps2",1.92390021167063e-31,-0.619863437018402,0.943,0.976,3.86107533480178e-27
"H2-T23",4.99126387580756e-31,0.961781042766727,0.664,0.329,1.00169674723582e-26
"Abhd8",3.53813364001878e-30,1.39153491749734,0.336,0.11,7.10068040215369e-26
"Nfkbie",3.66348206554258e-30,1.48014713806048,0.336,0.111,7.35224215733741e-26
"Rps3a1",1.87788685826006e-29,-0.405796496457566,0.985,0.997,3.76873113584212e-25
"Ngp",2.47464724621253e-29,8.44382995211615,0.03,0,4.96636955842393e-25
"Cxcr5",3.51199110062979e-29,1.4080069494247,0.222,0.056,7.04821493985392e-25
"Limd2",3.58871627177986e-29,0.887541919372058,0.745,0.441,7.202194685835e-25
"H2-Eb1",4.35759175876743e-29,1.280866308461,0.429,0.169,8.74525090067036e-25
"Ptprc",9.73227672508951e-29,0.5876901531262,0.985,0.925,1.95317061595821e-24
"Ms4a6b",3.3095133654726e-28,0.847892983156644,0.736,0.422,6.64186237316697e-24
"Ostf1",8.030719898945e-28,-1.11770093054852,0.688,0.785,1.61168517651927e-23
"Rac2",1.11563066599973e-27,0.713812830484772,0.862,0.659,2.23895918359487e-23
"Gramd3",3.07819196929868e-27,0.960512816483411,0.7,0.399,6.17762346318553e-23
"Bcl2",7.96256954875719e-27,1.31928152545821,0.372,0.142,1.59800808274008e-22
"Ighg2c",1.28952067180341e-26,2.52369807137842,0.105,0.015,2.58793903624227e-22
"Xist",8.28226094329147e-26,0.701469058861668,0.946,0.862,1.66216694870917e-21
"Tnfrsf14",1.07931518956467e-25,2.8160579417896,0.072,0.007,2.16607765393733e-21
"Jund",2.49837253630971e-25,0.644747579322945,0.931,0.711,5.01398384311996e-21
"Tyrobp",3.65317362976234e-25,2.11073870139747,0.132,0.025,7.33155415757004e-21
"Fas",6.69420908533115e-25,1.34912574829247,0.309,0.11,1.34346082133511e-20
"H2-Aa",1.05621913760885e-24,1.13137337918998,0.429,0.183,2.11972618726719e-20
"Gm26740",1.22096600543228e-24,-2.32468876576842,0.159,0.419,2.45035667630205e-20
"A930005H10Rik",1.40284158166266e-24,1.38717776894905,0.303,0.108,2.8153627702388e-20
"Themis",1.41046860527963e-24,1.17182580575184,0.387,0.155,2.83066944393568e-20
"Ifi27l2a",1.49956825151636e-24,0.854475007761713,0.784,0.516,3.00948352396819e-20
"Arfgef3",1.55768855328715e-24,4.60388004694429,0.039,0.001,3.12612515759198e-20
"Ccdc122",2.4571940839385e-24,2.59833538523619,0.06,0.005,4.93134280705618e-20
"Rpl28",3.26559950834602e-24,0.385602623838611,0.997,0.988,6.55373165329964e-20
"Skap1",5.85004757414145e-24,0.835121527322102,0.808,0.557,1.17404604765445e-19
"Ifngr1",8.12426313947208e-24,-0.788365734141909,0.706,0.835,1.63045836946065e-19
"Nfkbia",1.87317510388294e-23,0.699161004657218,0.775,0.512,3.75927511598267e-19
"Gpr174",1.88685615247763e-23,1.12820556716967,0.369,0.147,3.78673161240735e-19
"Dnase1l3",2.19448403751522e-23,2.2672645423943,0.099,0.016,4.40411001488929e-19
"D16Ertd472e",2.43730969417918e-23,-1.25875330277346,0.417,0.627,4.8914368252482e-19
"Tspan5",2.72104190299724e-23,1.11814046890683,0.342,0.132,5.46085899512515e-19
"Gm42418",2.81303027887253e-23,-0.299290010220013,0.997,0.996,5.64547046666928e-19
"Nfkbiz",3.20186132857647e-23,0.902129837480626,0.441,0.195,6.42581550032013e-19
"Btla",5.98510203848974e-23,1.11220689959474,0.3,0.108,1.20115012810451e-18
"Arpc3",5.99550694314868e-23,-0.715401894377321,0.841,0.89,1.20323828842051e-18
"Neurl3",6.16203415868947e-23,-1.7311364594755,0.183,0.458,1.23665863530739e-18
"Xaf1",7.97197834151419e-23,2.07688582242062,0.141,0.031,1.59989633335848e-18
"Il7r",1.77982440566948e-22,-1.18865245969488,0.405,0.641,3.57192959973809e-18
"mt-Co1",2.12823650223825e-22,0.353978027319002,1,0.999,4.27115783634194e-18
"Gm15056",4.46086802758675e-22,3.72443782291017,0.036,0.001,8.95251604456384e-18
"Trerf1",4.56685407779409e-22,1.13360193010724,0.306,0.113,9.16521944872495e-18
"Rps20",4.96425557800068e-22,0.332824843176331,0.994,0.997,9.96276451948957e-18
"Srgn",5.59171291204694e-22,-0.493127423095666,0.973,0.992,1.1222008643187e-17
"Bri3bp",7.09098099509092e-22,1.33698492478018,0.225,0.071,1.4230889759048e-17
"Ttn",1.18936586978906e-21,2.28853177546896,0.156,0.039,2.38693836407966e-17
"Eif1",1.42407742848647e-21,-0.427282105847775,0.985,0.994,2.85798099122949e-17
"Zbtb8os",1.62580624355755e-21,1.1446749151106,0.3,0.112,3.26283055019564e-17
"Podnl1",3.15050906309628e-21,1.43120396483957,0.243,0.082,6.32275663872793e-17
"Dtwd1",4.56694577445625e-21,2.07636685488141,0.105,0.02,9.16540347475626e-17
"Borcs8",5.18863433770461e-21,1.05404341608046,0.372,0.16,1.04130702523394e-16
"Camp",5.23661736878703e-21,8.12489784447026,0.021,0,1.05093673974187e-16
"H2-Q7",5.87640046726092e-21,0.524586907254726,0.97,0.834,1.17933480977459e-16
"Psmb9",8.04890748050134e-21,0.870926462065419,0.48,0.229,1.61533524226181e-16
"Gprc5b",9.71982694406146e-21,3.36022027472794,0.042,0.003,1.9506720694037e-16
"H2-Ab1",1.09153500082314e-20,0.972225571808235,0.462,0.219,2.19060159315196e-16
"Gbp5",1.55306972669057e-20,1.43033817014279,0.18,0.051,3.1168556344953e-16
"Slpi",1.56639766687084e-20,1.94323850987792,0.123,0.027,3.14360347764309e-16
"Hif1a",1.77870314064831e-20,0.459543387535716,0.961,0.807,3.5696793329671e-16
"Jak3",1.87930850637338e-20,1.91337546115736,0.162,0.044,3.77158424144074e-16
"Dgat1",2.49173349146995e-20,-1.39406670621984,0.273,0.518,5.00065994403103e-16
"Tagap1",2.49882565489184e-20,1.72908585908715,0.162,0.044,5.01489320680243e-16
"Ccl8",2.74043983479684e-20,1.60927514709159,0.135,0.032,5.49978870445378e-16
"Dgkz",3.35682696521131e-20,1.09265094323034,0.279,0.103,6.73681603648257e-16
