gene,pval_lower,pval_median,pval_upper,log2fc_lower,log2fc_median,log2fc_upper,median_Salmonella_infTLSwk3_median,median_IL10_KOTLS_median
Rbm4,0.2615722360139493,0.2615722360139493,0.2615722360139493,0.0,0.0,0.0,0.0,0.0
Rbm14,0.08856750257537103,0.2615722360139493,0.2615722360139493,0.0,0.0,0.0,0.0,0.0
Ccs,0.029867793297539916,0.08856750257537103,0.2615722360139493,0.0,0.0,0.0,0.0,0.0
Ctsf,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Zdhhc24,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Bbs1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Dpp3,0.08856750257537103,0.08856750257537103,1.0,0.0,0.0,0.0,0.0,0.0
Peli3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Mrpl11,0.029867793297539916,0.08856750257537103,0.2615722360139493,0.0,0.0,0.0,0.0,0.0
Slc29a2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
B4gat1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Brms1,0.029867793297539916,0.08856750257537103,1.0,0.0,0.0,0.0,0.0,0.0
Rin1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Cd248,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Tmem151a,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Yif1a,0.08856750257537103,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Cnih2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Rab1b,0.002778685068188869,0.009501095540355024,0.03133528602948436,-28.791340381476147,-27.391785962940354,0.0,0.1760958848672835,0.0
Klc2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Pacs1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Sf3b2,0.0009727957784659389,0.002287873163929379,0.01194860874670429,-29.656894357245054,-29.4902545975142,-29.256334585094436,0.7542004977029554,0.0
Gm50203,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Cst6,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Banf1,0.002778685068188869,0.009501095540355024,0.08856750257537103,-28.6125350253535,-26.79084575319095,0.0,0.11610426598242525,0.0
Eif1ad,0.029867793297539916,0.08856750257537103,0.2615722360139493,0.0,0.0,0.0,0.0,0.0
Sart1,0.2615722360139493,1.0,1.0,0.0,0.0,0.0,0.0,0.0
D330050I16Rik,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
4930481A15Rik,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Drap1,0.0005866867131432236,0.0050666118127268445,0.03554662581706505,-29.544587971584324,-29.360082789502787,-2.951429279135075,0.6906481410861888,0.0
AI837181,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Fosl1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Ccdc85b,0.2615722360139493,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Fibp,0.029867793297539916,0.08856750257537103,0.2615722360139493,0.0,0.0,0.0,0.0,0.0
Ctsw,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Efemp2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Mus81,0.2615722360139493,0.2615722360139493,0.2615722360139493,0.0,0.0,0.0,0.0,0.0
Cfl1,0.02524410573946178,0.3053901722632373,0.9699293482575216,-0.026432838323963606,0.03872861540092774,0.09268529566194156,2.0854832316628515,2.1434824407910487
Snx32,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Ovol1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Ap5b1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Rnaseh2c,0.002778685068188869,0.03765027643980603,0.20595417169428767,-28.500461676641706,-27.49797409393387,0.0,0.18954617285701075,0.0
Kat5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Rela,0.029867793297539916,0.029867793297539916,0.08856750257537103,0.0,0.0,0.0,0.0,0.0
Sipa1,0.08856750257537103,0.2615722360139493,1.0,0.0,0.0,0.0,0.0,0.0
Pcnx3,0.2615722360139493,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Map3k11,0.2615722360139493,0.2615722360139493,0.2615722360139493,0.0,0.0,0.0,0.0,0.0
Kcnk7,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Ehbp1l1,0.029867793297539916,0.08856750257537103,0.2615722360139493,0.0,0.0,0.0,0.0,0.0
Fam89b,0.08856750257537103,0.08856750257537103,0.08856750257537103,0.0,0.0,0.0,0.0,0.0
Znrd2,0.2615722360139493,0.2615722360139493,1.0,0.0,0.0,0.0,0.0,0.0
Ltbp3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Scyl1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Malat1,0.08249583234103358,0.23797729618163055,0.5208065412399778,-0.09225124227310867,-0.06618768360748356,-0.0331978874136792,5.24450230887582,5.008023941636573
Neat1,0.11526553941414623,0.5713582599031516,1.0,-0.34782744470765414,-0.12467734497146059,0.1421090336369293,1.2375880211324193,1.1319035283744514
Frmd8os,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Frmd8,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Slc25a45,0.2615722360139493,0.2615722360139493,1.0,0.0,0.0,0.0,0.0,0.0
Dpf2,0.029867793297539916,0.08856750257537103,0.2615722360139493,0.0,0.0,0.0,0.0,0.0
Gm42067,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Cdc42ep2,0.08856750257537103,0.2615722360139493,0.2615722360139493,0.0,0.0,0.0,0.0,0.0
Pola2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Capn1,0.08856750257537103,0.2615722360139493,1.0,0.0,0.0,0.0,0.0,0.0
Syvn1,0.2615722360139493,0.2615722360139493,1.0,0.0,0.0,0.0,0.0,0.0
Mrpl49,0.2615722360139493,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Fau,0.2082876875446535,0.7314242132757971,1.0,-0.036686292980237095,0.002009042746694124,0.03467895389439384,3.78336123687093,3.787905359861874
Znhit2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Tm7sf2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Vps51,0.08856750257537103,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Zfpl1,0.2615722360139493,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Cdca5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Sac3d1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Snx15,0.2615722360139493,0.2615722360139493,1.0,0.0,0.0,0.0,0.0,0.0
Arl2,0.2615722360139493,1.0,1.0,0.0,0.0,0.0,0.0,0.0
