"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Saa3",7.46452146443707e-138,4.83698591933338,0.393,0.017,1.49805481269788e-133
"S100a8",9.02016822801107e-71,2.51506205188142,0.3,0.023,1.81025756167954e-66
"Angptl7",5.67605620131942e-69,4.68523213154564,0.193,0.008,1.13912771904279e-64
"Tpm3-rs7",1.17719477435058e-62,3.29196786210323,0.371,0.043,2.36251219264417e-58
"S100a9",7.01503989608914e-60,1.22888081999045,0.321,0.032,1.40784835674613e-55
"Camp",3.16663435244599e-56,7.98272104489562,0.071,0,6.35511848192386e-52
"Marco",5.27642629701327e-53,5.68343133367995,0.114,0.003,1.05892599354759e-48
"Cxcl9",1.15550874081372e-42,2.14131433202494,0.757,0.253,2.31899049193905e-38
"Art2b",1.39345571811833e-42,2.63591186777145,0.514,0.124,2.79652628069167e-38
"Fpr1",3.61660288743924e-39,4.02029818765431,0.136,0.008,7.2581603348018e-35
"Ly6a",1.30128441156673e-38,2.07589011656535,0.729,0.266,2.61154768557327e-34
"Sh3bgrl3",1.52576173323597e-38,-1.40686564989913,0.886,0.939,3.06205122243126e-34
"Vxn",1.0563926006427e-34,6.30294534613552,0.05,0,2.12007431022984e-30
"Ubd",2.69972770519806e-34,3.83617009275913,0.1,0.005,5.41808353156199e-30
"Fam167b",3.30412850299442e-33,3.4776398837987,0.121,0.008,6.63105549265951e-29
"Cxcl13",1.40555266432564e-32,3.57495170424922,0.4,0.095,2.82080364203512e-28
"AW112010",6.13732869585958e-32,1.38422991975513,0.971,0.77,1.23170049597206e-27
"Il18bp",1.11928592635814e-29,1.83924979993615,0.629,0.229,2.24629492560814e-25
"Ngp",6.15388049559715e-29,7.07532757152126,0.036,0,1.23502227666139e-24
"Ccrl2",3.62189157717465e-28,1.44719241907258,0.864,0.455,7.26877420623181e-24
"Gbp2b",7.26049603335107e-28,1.78852357510566,0.664,0.255,1.45710894893323e-23
"Rps3a1",9.98878134418949e-28,-0.77397261910699,1,0.987,2.00464852796539e-23
"Cx3cr1",1.19075297224676e-27,1.93893975794467,0.686,0.299,2.38972214000201e-23
"C4b",3.79516425580045e-27,1.96889501227953,0.321,0.068,7.61651514496593e-23
"Arl4c",4.70725238769458e-27,-1.17123105520179,0.893,0.939,9.44698481686426e-23
"Gm4841",1.32918475488391e-26,2.7600961840689,0.193,0.027,2.66754088457651e-22
"Cd44",6.2559172532226e-26,-1.53353085797475,0.757,0.893,1.25550003354924e-21
"Crip1",7.79313586170842e-26,-1.96639883409761,0.557,0.826,1.56400443608626e-21
"Iigp1",6.537367630479e-25,1.34203695970957,0.429,0.119,1.31198430976083e-20
"Dhrs3",1.14657726972357e-24,1.22732308694782,0.571,0.198,2.30106592260823e-20
"Stat1",1.29216629841953e-24,1.27922006933191,0.893,0.521,2.59324854429816e-20
"Gm4951",2.23158586873691e-24,2.55789293632954,0.171,0.023,4.47856967996811e-20
"Ahnak",9.85768021586491e-24,-2.50860714371914,0.321,0.707,1.97833784252193e-19
"Fpr2",1.61584517248536e-23,1.48775091906303,0.464,0.145,3.24283967666087e-19
"Themis2",3.73362443566965e-23,2.22233684633034,0.307,0.074,7.49301087994542e-19
"Elavl4",5.3655451696819e-23,2.44528182493345,0.093,0.007,1.07681126010346e-18
"Ptpn6",1.00046659478861e-22,1.29011471030753,0.657,0.266,2.00783640908125e-18
"Lgals3",1.53301085177241e-22,-1.43053372212093,0.679,0.868,3.07659947842206e-18
"Cd38",1.97702468286774e-22,1.03168282736939,0.707,0.299,3.96769083604727e-18
"Chil1",8.71092888182552e-22,2.709523551673,0.307,0.079,1.74819631729356e-17
"Got1",1.09355755083345e-21,-1.9010062755838,0.507,0.739,2.19466064876765e-17
"Gbp6",1.17432838672847e-21,1.66001283265473,0.229,0.044,2.35675963932536e-17
"Atf3",1.53850623917551e-21,1.50467864255357,0.657,0.293,3.08762817140132e-17
"Ctsc",1.63413333188293e-21,0.937249531417809,0.993,0.898,3.27954218375584e-17
"B2m",2.004074532321e-21,0.374860916381514,1,0.997,4.02197717891502e-17
"Gpr31b",3.00068995205336e-21,2.09717946474942,0.243,0.05,6.02208466477588e-17
"Calhm6",6.19952574852472e-21,1.82272691135842,0.436,0.147,1.24418282247143e-16
"Tspan7",8.65805409231082e-21,3.36442435094165,0.129,0.016,1.73758487578586e-16
"Thbs1",9.24916061614897e-21,-2.98436497327439,0.286,0.642,1.85621404405494e-16
"Ciita",1.33821982740288e-20,1.30016657843056,0.714,0.35,2.68567337161484e-16
"Slc1a3",1.4670191249409e-20,3.05952315607571,0.093,0.008,2.94416068184388e-16
"Ccl5",4.8761574915626e-20,0.465078945832659,0.45,0.148,9.78596046981699e-16
"Mertk",5.29201383666186e-20,1.89024979972396,0.314,0.085,1.06205425687967e-15
"Vmp1",6.59975312408807e-20,1.10932521143764,0.879,0.537,1.32450445447324e-15
"Cfb",8.50225724935603e-20,1.94264881307719,0.55,0.233,1.70631800737326e-15
"Hcar2",2.66343392668746e-19,1.53876049629198,0.3,0.077,5.34524554746906e-15
"Ppfia4",3.97248327890878e-19,1.32957860701238,0.55,0.216,7.97237669244204e-15
"C1qa",4.08991665310519e-19,0.744949689235828,0.914,0.817,8.2080537311168e-15
"Ccl4",5.16808875233342e-19,1.07960048620426,0.407,0.135,1.03718373170579e-14
"Atp13a2",6.16067883062314e-19,1.18848598922322,0.557,0.224,1.23638663451776e-14
"Ly6i",1.81519394835809e-18,1.5689358993483,0.5,0.202,3.64291273495985e-14
"Cp",2.13582580652603e-18,1.71110402450142,0.571,0.266,4.28638881111709e-14
"Ifi44",4.28155713170936e-18,1.24058761205439,0.343,0.1,8.59265700762752e-14
"Adgrf3",5.40537832940259e-18,6.27778143807868,0.021,0,1.08480537692781e-13
"Gm48293",5.40537832940259e-18,7.38116439500691,0.021,0,1.08480537692781e-13
"Gm13814",5.40537832940259e-18,6.32171301936835,0.021,0,1.08480537692781e-13
"Gm16192",5.40537832940259e-18,7.06462843381174,0.021,0,1.08480537692781e-13
"Rps6ka1",6.99700475839871e-18,1.42489696997338,0.35,0.107,1.40422888496304e-13
"Clec12a",7.44208166285206e-18,1.28376780066338,0.636,0.303,1.49355136891778e-13
"H2-T23",7.54540609184567e-18,0.849495635255022,0.9,0.642,1.51428754857251e-13
"Gbp8",1.03604210422996e-17,1.68626305621911,0.443,0.167,2.07923289897911e-13
"C1qb",1.29035684610045e-17,0.754917087479982,0.929,0.834,2.58961715443899e-13
"Slc45a4",1.2914253400209e-17,1.64227279465686,0.357,0.114,2.59176151488794e-13
"Ccl8",1.44565743063538e-17,2.45572030439932,0.614,0.32,2.90128989754215e-13
"H2-D1",1.58168342318444e-17,0.45304366621564,1,0.98,3.17428046198886e-13
"AC149090.1",2.4028803047406e-17,1.29430232497497,0.629,0.296,4.82234048358392e-13
"Ighg2c",2.65654044497287e-17,1.86999432142537,0.129,0.019,5.33141101901604e-13
"Mgl2",9.75190061319951e-17,-2.6655078591741,0.171,0.515,1.95710893406301e-12
"Limd2",1.88934623571198e-16,1.11604596716303,0.643,0.305,3.79172896045038e-12
"H2-M2",2.38656965605701e-16,1.32194074192007,0.679,0.371,4.78960664274081e-12
"Rps2",2.52735550294169e-16,-0.765911197689459,0.921,0.935,5.07214975885368e-12
"C1qc",4.80596327514768e-16,0.6840274961366,0.907,0.812,9.64508769689387e-12
"Plk3",7.22461886775452e-16,1.34521267976765,0.343,0.113,1.44990876056965e-11
"Endou",7.76420637239148e-16,5.24567921468824,0.036,0.001,1.55819857687525e-11
"Rrbp1",1.09975649624342e-15,0.728083398336532,0.943,0.755,2.20710131231093e-11
"Rasgef1b",1.15341810915383e-15,0.940999951334016,0.529,0.218,2.31479480326082e-11
"Gm5086",1.21411168496211e-15,4.12996502788853,0.05,0.003,2.43660074055046e-11
"Lap3",1.27696887958564e-15,1.13224820269269,0.521,0.229,2.56274884444043e-11
"Gm15056",1.50985532076377e-15,2.44981215491842,0.264,0.076,3.03012864324081e-11
"Irf2",1.56103254406436e-15,1.13319481945334,0.564,0.248,3.13283621268277e-11
"Psmb8",1.57756233181407e-15,0.663601057604786,0.957,0.791,3.16600984371766e-11
"Lst1",1.64427415199491e-15,0.730584561844098,0.964,0.839,3.29989379563858e-11
"Inka1",1.76589473010974e-15,2.10287892622296,0.107,0.015,3.54397413385723e-11
"Tifa",1.87286919856123e-15,0.950781500882627,0.436,0.161,3.75866119459253e-11
"Fyb",1.97918849932343e-15,0.894955001974683,0.914,0.754,3.97203339929219e-11
"C6",2.67265578010544e-15,1.97832364599056,0.279,0.083,5.3637528850936e-11
"Nfkbiz",3.28695991374451e-15,0.9562611668809,0.743,0.433,6.59659985089386e-11
"Tagln2",4.79511219629725e-15,-1.29166398748675,0.55,0.765,9.62331066674896e-11
"Serpina3g",5.9813206053887e-15,1.46535845913788,0.407,0.157,1.20039123229546e-10
"Btg2",6.01099916955157e-15,1.34925079053188,0.764,0.465,1.2063474233373e-10
"H2-Q7",6.01389520193078e-15,0.753933760539207,0.957,0.725,1.20692862807549e-10
"Kcnj10",6.05928620228685e-15,1.24425096455205,0.407,0.155,1.21603814793695e-10
"Mgst1",6.21973643717982e-15,1.05953701550319,0.436,0.166,1.24823890557762e-10
