"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Pfkp",0.16113375927043,-0.254267740364272,0.488,0.448,1
"Hist1h2ap",0.161160957473185,0.0482443135919635,0.012,0.007,1
"1700028N14Rik",0.16117177938961,-1.59636625697366,0.004,0.01,1
"Srfbp1",0.161277086861739,-0.0499134010274473,0.077,0.059,1
"Rnf113a1",0.161380694681724,0.147809854121022,0.032,0.022,1
"Kif13b",0.161394489443337,-0.00154141771102134,0.052,0.038,1
"Adgrl1",0.16155761529163,0.0152680489740855,0.053,0.04,1
"Tyk2",0.161698288399639,-0.146821404301301,0.09,0.071,1
"Cldnd1",0.161768094305425,-0.629391729907472,0.237,0.238,1
"Polr2a",0.161815749130176,-0.55021514279182,0.241,0.243,1
"Enox2",0.162205947091274,0.28017625894209,0.033,0.023,1
"Lrrk2",0.162548509436879,-2.03456504163923,0.011,0.019,1
"Map3k11",0.162677788690319,-0.187580794229959,0.07,0.053,1
"Ddx21",0.162790636148658,-0.0625755732464132,0.436,0.363,1
"Cpq",0.162927527879842,-0.567665460382625,0.004,0.01,1
"Lamp1",0.163199973334816,-0.131040562713807,0.256,0.211,1
"Dnajc25",0.163393353303149,-0.0347938548182158,0.032,0.022,1
"Cops5",0.163521676321086,-0.200398057216894,0.199,0.161,1
"Wwp2",0.163836540846418,-0.0708041916094742,0.144,0.118,1
"Pde4a",0.163937268192143,-0.372230390261065,0.004,0.01,1
"Magoh",0.164006357782269,-0.108126401528968,0.481,0.389,1
"Acad8",0.164056110323481,-0.117699083768461,0.03,0.02,1
"Mycbp",0.164341011359906,-0.37082653838525,0.063,0.047,1
"Slc9a9",0.164356270363318,-0.0747643612250477,0.045,0.033,1
"1700021F05Rik",0.164551908433319,-0.110744185994439,0.032,0.022,1
"Ano10",0.164676671586175,-0.16664062734761,0.023,0.015,1
"Mkrn1",0.164792624753278,-0.282765013649339,0.499,0.46,1
"Zfp777",0.164800436293163,-0.308654283824618,0.03,0.02,1
"Nagk",0.164949606138671,-0.103642872116789,0.03,0.02,1
"Mtg1",0.165196206741737,-0.433917318775642,0.029,0.019,1
"Thbd",0.165333350848754,-0.461176936457199,0.004,0.01,1
"Harbi1",0.165385056113656,0.409066039008446,0.025,0.016,1
"Dnajb4",0.165685512303388,-0.766681217777205,0.037,0.049,1
"Elf1",0.16569868166186,-0.0284198793155022,0.682,0.558,1
"Plekha5",0.165782502449919,-0.202067896767028,0.145,0.118,1
"Nln",0.1657948191067,0.0366193516518827,0.023,0.015,1
"Sfmbt2",0.165881066454295,0.239028715560935,0.023,0.015,1
"Depdc5",0.166025101810509,0.220335196657611,0.033,0.023,1
"Bptf",0.166453961216493,0.00739498562251473,0.452,0.38,1
