gene,pval_lower,pval_median,pval_upper,log2fc_lower,log2fc_median,log2fc_upper,median_Salmonella_infTLSwk3_median,median_IL10_KOTLS_median
Zfp992,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Zfp991,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Zfp982,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Zfp979,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Zfp984,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Gm20707,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Zfp933,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Miip,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Fv1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Mfn2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Plod1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2510039O18Rik,0.2615722360139493,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Nppb,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Clcn6,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Mthfr,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Agtrap,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Draxin,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Mad2l2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Fbxo6,0.08856750257537103,0.2615722360139493,1.0,0.0,0.0,0.0,0.0,0.0
Fbxo44,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Fbxo2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Ubiad1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Mtor,0.2615722360139493,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Angptl7,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Exosc10,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Srm,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Tardbp,0.21093556161598892,0.7227912249010906,1.0,-1.0531800660063095,0.03692521423119547,1.263545938810721,0.46745041207237426,0.478734821129543
Gm13203,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Casz1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Gm13205,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Pex14,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Dffa,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Cenps,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Pgd,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Kif1b,0.08856750257537103,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Ube4b,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Rbp7,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Nmnat1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Lzic,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Ctnnbip1,0.08856750257537103,0.2615722360139493,1.0,0.0,0.0,0.0,0.0,0.0
Clstn1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Pik3cd,0.08856750257537103,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Tmem201,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Slc25a33,0.002778685068188869,0.009501095540355024,0.029867793297539916,-28.45848836697153,-27.160610314328252,0.0,0.1500231922334225,0.0
Spsb1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
H6pd,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Gpr157,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Eno1,0.015860919266492024,0.31569248034287245,0.970681114551083,-0.310125537952561,-0.1064591330536376,0.13163497887969003,0.6302223761633321,0.5841735987420205
Rere,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Gm13091,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Errfi1,0.47495853988950676,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Park7,0.13493688973565135,0.6784313725490196,1.0,-0.16781718270269624,-0.04977167496084065,0.08648782151319313,1.0237335325926757,0.9877216045087811
Tnfrsf9,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Camta1,0.08856750257537103,0.2615722360139493,1.0,0.0,0.0,0.0,0.0,0.0
Per3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Vamp3,0.029867793297539916,0.2615722360139493,1.0,0.0,0.0,0.0,0.0,0.0
Dnajc11,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Thap3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Phf13,0.2615722360139493,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Klhl21,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Zbtb48,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Nol9,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Plekhg5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Tnfrsf25,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Espn,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Acot7,0.029867793297539916,0.08856750257537103,1.0,0.0,0.0,0.0,0.0,0.0
Gpr153,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Icmt,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Rpl22,0.02524410573946178,0.09788044772564897,0.34314519329999205,0.02772328143397779,0.05035410874566579,0.07734163056994658,2.8093111074403665,2.907028268050314
Kcnab2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Nphp4,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
A430005L14Rik,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Dffb,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Cep104,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Lrrc47,0.2615722360139493,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Smim1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Trp73,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Wrap73,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Tprgl,0.08856750257537103,0.2615722360139493,1.0,0.0,0.0,0.0,0.0,0.0
Arhgef16,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Prdm16,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Prxl2b,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Tnfrsf14,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Pank4,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Plch2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Pex10,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Rer1,0.00964015276773659,0.09666103305783773,0.48728954994267204,-0.31227684256334226,-0.17076724244587574,-0.048218237679874855,0.6266236331924224,0.5558304024930774
Morn1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Ski,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Faap20,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Prkcz,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Gabrd,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
5830444B04Rik,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Cfap74,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Gnb1,0.00011113757243788204,0.009557831229657855,0.3053901722632373,-0.3326473880579264,-0.23229795728104422,-0.09061577270243272,1.1798896075281702,1.0054444820740736
Nadk,0.002778685068188869,0.029867793297539916,0.2615722360139493,-28.301510869359532,0.0,0.0,0.0,0.0
Slc35e2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Gm16023,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Cdk11b,0.231052016598276,0.7344923394458999,1.0,-0.2349347176163429,-0.04195859633074535,0.16502360952893724,0.5720378433699518,0.5526514283020478
Mmp23,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Mib2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Fndc10,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Ssu72,1.5876796062554575e-05,0.00024233435263260392,0.0015241724220052392,-0.6966587204825891,-0.5307287880988629,-0.38610835458732085,0.8080995589311388,0.5609481550076205
1500002C15Rik,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Tmem240,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Atad3a,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Atad3aos,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Vwa1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Tmem88b,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
