gene,pval_lower,pval_median,pval_upper,log2fc_lower,log2fc_median,log2fc_upper,median_Salmonella_infTLSwk3_median,median_IL10_KOTLS_median
Ifngr1,0.009557831229657855,0.05737874097007224,0.23173915530391234,0.2357672485627966,0.34678250094905144,0.4813086675241571,1.8580027584543526,2.3641198675489736
Il22ra2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Pex7,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Map3k5,0.2615722360139493,0.2615722360139493,1.0,0.0,0.0,0.0,0.0,0.0
Map7,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
4933406P04Rik,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Bclaf1,0.057322517474446534,0.5431163746929171,1.0,-29.794851129067922,-28.613770096202558,26.826286988582897,0.6339190876926419,0.0
Mtfr2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Pde7b,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Ahi1,0.2615722360139493,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Myb,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Hbs1l,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Sgk1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
E030030I06Rik,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
H60b,0.2615722360139493,0.2615722360139493,1.0,0.0,0.0,0.0,0.0,0.0
Gm26740,0.08715662938217593,0.15351977021153562,0.15351977021153562,0.0,0.0,0.0,0.0,0.0
Slc2a12,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Tbpl1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Gm10824,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Tcf21,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Eya4,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Rps12,0.04734460585853775,0.4726680955783123,1.0,-0.04479200669006054,-0.017624307822715624,0.013932029829936772,3.814086246646855,3.7679135569303934
Slc18b1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Vnn3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Stx7,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Moxd1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Gm15270,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Ccn2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
