"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Actr3",4.17276432285259e-20,0.606623016605732,0.979,0.987,8.37432071953287e-16
"Unc93b1",6.66565856941068e-20,0.791060839733988,0.964,0.806,1.33773101829503e-15
"Pfn1",7.61733442992194e-20,0.598567192276406,0.984,0.994,1.52872284674103e-15
"Phf11a",8.57525607206585e-20,1.90654202769776,0.521,0.13,1.7209681411029e-15
"Cdc14a",1.23610621210555e-19,1.4533093910435,0.693,0.279,2.48074155707462e-15
"Asah1",1.26176464461277e-19,0.907914361633706,0.911,0.724,2.53223546527338e-15
"Bst1",1.63693466722131e-19,2.06105943149083,0.474,0.105,3.28516418364644e-15
"Ighm",1.72545257431421e-19,1.54076043321401,0.651,0.222,3.46281077139118e-15
"Psma4",1.89196644690333e-19,0.962014021462157,0.927,0.79,3.7969874622903e-15
"Lap3",2.18929247544887e-19,1.52671108611631,0.745,0.368,4.39369106897834e-15
"Tmem173",2.63554102118074e-19,1.69354558705899,0.479,0.105,5.28926727540763e-15
"Scin",3.79886607035922e-19,-4.30190145369287,0.047,0.406,7.62394431660392e-15
"Gcsam",4.16897598607324e-19,1.67181473077618,0.641,0.241,8.36671790645039e-15
"Cd44",5.4035423072559e-19,-1.67548600349271,0.734,0.825,1.08443690564319e-14
"Sema4a",6.10435915792481e-19,1.57521806765297,0.667,0.248,1.22508383940393e-14
"Vsir",6.58406090741635e-19,2.51563669278343,0.417,0.083,1.32135518350939e-14
"Cxcr4",7.4145951199555e-19,-2.50669047444876,0.286,0.603,1.48803509462387e-14
"Sgms1",8.39143806220164e-19,1.28249273610014,0.708,0.311,1.68407770470325e-14
"Arl4c",9.57544325460024e-19,-2.12041111299651,0.479,0.711,1.92169570676572e-14
"Lmna",1.48107762547231e-18,-2.19536227911945,0.333,0.648,2.97237468656038e-14
"Avpi1",1.89499817779956e-18,-1.41000386186712,0.672,0.819,3.80307184302594e-14
"Gm4841",1.96965166695099e-18,6.7446665788184,0.224,0,3.95289393040394e-14
"Rrbp1",2.38258389069426e-18,0.872501886173769,0.964,0.848,4.78160761023431e-14
"Gramd3",2.63948436430327e-18,1.81142547891887,0.49,0.124,5.29718117072023e-14
"Hif1a",3.07583326972565e-18,1.13200702119765,0.875,0.562,6.17288978901241e-14
"S100a8",3.37784244963629e-18,2.72174752310531,0.312,0.032,6.77899201217508e-14
"Tbxas1",3.88289955137999e-18,1.35606465314669,0.708,0.302,7.79259110966449e-14
"Vim",7.76713039114664e-18,-1.44733226802603,0.901,0.937,1.55878539819922e-13
"Fchsd2",7.95440964085057e-18,1.63625136644995,0.646,0.232,1.5963704708223e-13
"Sri",1.00747242131679e-17,0.823618582331907,0.938,0.819,2.02189640234067e-13
"Tagap1",1.08112222137285e-17,2.05259694575184,0.375,0.063,2.16970418607317e-13
"Epcam",1.49638339831124e-17,-2.89107001210288,0.161,0.505,3.00309184207083e-13
"Igtp",1.50115862122856e-17,1.89035483033146,0.37,0.06,3.01267523694359e-13
"Txndc15",1.6546296261658e-17,1.01543459725003,0.849,0.537,3.32067619675213e-13
"Psap",2.42574044531618e-17,0.441127741341977,1,1,4.86821849970504e-13
"Irf1",6.16077649874519e-17,1.15982329651247,0.859,0.521,1.23640623553317e-12
"Spop",6.2151264645426e-17,1.01458942694222,0.911,0.651,1.24731373016906e-12
"Gm49980",7.02391355649852e-17,4.19813918771202,0.234,0.01,1.40962921165369e-12
"Plet1",8.70948798416656e-17,-3.32250218341453,0.208,0.543,1.74790714354239e-12
"Rps27a",9.63746185691595e-17,-0.271250542796023,0.99,0.997,1.93414222006446e-12
"Phc2",1.0036712407294e-16,-1.10984690653456,0.792,0.883,2.01426781301984e-12
"Eps8",1.05271992624925e-16,-1.96563518869343,0.432,0.654,2.11270361998962e-12
"Fuca1",1.16766958079442e-16,0.708803104041797,0.979,0.883,2.34339608169632e-12
"Cmtm7",1.37802312014816e-16,0.837967673400028,0.911,0.632,2.76555459982535e-12
"Plscr1",1.61462870874446e-16,1.26006248759545,0.698,0.27,3.24039835557926e-12
"Ezr",1.77915316966194e-16,-1.04424500634478,0.755,0.879,3.57058249619454e-12
"Rps15a",1.8365423086961e-16,-0.29625389842347,0.99,0.997,3.68575675932221e-12
"Gm42418",1.86553017520288e-16,-0.636897256179599,1,1,3.74393250861466e-12
"Sept3",1.99572596459597e-16,1.16697899956222,0.802,0.448,4.00522243834766e-12
"Antxr2",2.35813618573524e-16,-1.57558856206294,0.521,0.721,4.73254351115206e-12
"Atp8a1",2.75133728453228e-16,1.07669575053832,0.797,0.365,5.52165879632783e-12
"Bri3bp",2.85078910799106e-16,0.912242602567041,0.896,0.597,5.72124866082726e-12
"H2-D1",3.20299220347166e-16,0.401636089775346,1,0.994,6.42808505314727e-12
"Clec12a",4.01298199037437e-16,0.873014132107861,0.885,0.578,8.05365355648232e-12
"Trim25",4.90305662029023e-16,-1.58921413348826,0.505,0.752,9.83994433126045e-12
"Spint1",5.20184234748386e-16,-6.39377206483946,0,0.286,1.04395774071654e-11
"Arhgap15",5.24690831327648e-16,1.16412803813482,0.823,0.467,1.05300202939146e-11
"Cpne2",7.77870696640077e-16,1.29990324252886,0.651,0.27,1.56110870108697e-11
"Map3k14",9.0564850704504e-16,-1.35651911859897,0.583,0.787,1.81754598878869e-11
"Ctsz",1.25606408708063e-15,0.640783581781251,0.979,0.905,2.52079501636212e-11
"Glrx",1.30124398982657e-15,1.17407690333955,0.75,0.387,2.61146656318295e-11
"Sdhb",1.40509580392779e-15,0.978751568881757,0.891,0.584,2.81988676890269e-11
"Gm4951",1.54726690947559e-15,5.24635621754624,0.198,0.003,3.10520996062655e-11
"Cd2ap",1.84205586419348e-15,0.852242205387113,0.917,0.695,3.6968219138499e-11
"Plekho1",2.11640849084409e-15,0.981595477166828,0.865,0.559,4.24742020027501e-11
"Foxn3",2.75205160426927e-15,-1.82205331877062,0.448,0.663,5.523092364608e-11
"Zbtb8os",3.49954295141084e-15,1.22908176654561,0.677,0.314,7.02323274918642e-11
"Calhm6",4.69090612803397e-15,4.12461585892855,0.203,0.006,9.41417950835137e-11
"Cebpb",5.25657327049376e-15,1.58396237620945,0.646,0.257,1.05494168965539e-10
"Arpc2",5.27645300683334e-15,0.33821920669848,0.984,0.994,1.05893135394138e-10
"Gsap",5.32720896787594e-15,1.46770234506065,0.526,0.165,1.06911756776302e-10
"Batf3",5.36437495727742e-15,1.05522894747444,0.776,0.381,1.076576410176e-10
"Ppp1r14a",6.24169724050354e-15,2.11233487456785,0.391,0.092,1.25264621919666e-10
"Tmpo",7.48531771524868e-15,1.22670944680278,0.698,0.311,1.50222841227326e-10
"Nfe2l2",7.97618370495855e-15,-1.01883112807221,0.818,0.94,1.60074030774813e-10
"Sub1",8.69497971761788e-15,-0.47975010153846,0.984,0.997,1.74499547952873e-10
"Mapk13",9.27493697176443e-15,1.69110100303455,0.333,0.06,1.8613871008634e-10
"Gfod1",1.04981411632854e-14,-1.17579968145475,0.635,0.8,2.10687195005975e-10
"Fermt3",1.16168756458752e-14,0.998954279142197,0.839,0.552,2.3313907733707e-10
"AB124611",1.23559093477016e-14,1.6047488412984,0.401,0.092,2.47970744699023e-10
"Chchd10",1.38352811587022e-14,1.5310095823892,0.568,0.219,2.77660257573995e-10
"Gatm",1.53816505050737e-14,0.709438433629996,0.927,0.714,3.08694343986325e-10
"Cox14",1.65171372375163e-14,0.834531885115936,0.927,0.737,3.31482427219714e-10
"Sdc3",1.7205828099591e-14,1.07524031140605,0.75,0.378,3.45303764130691e-10
"Sdad1",1.84937422174056e-14,0.938325333051069,0.896,0.654,3.71150912561113e-10
"Skap2",2.22015278658603e-14,0.718666562065947,0.948,0.784,4.4556246273995e-10
"C1qbp",2.28948478179134e-14,0.941060711147347,0.854,0.549,4.59476700857703e-10
"Pdia3",2.7949184679828e-14,0.588947330487866,0.979,0.959,5.60912187339468e-10
"Gpsm3",3.47953088786987e-14,0.933675553610834,0.896,0.61,6.98307053886604e-10
"Malt1",3.47976388725646e-14,-1.5866757348473,0.521,0.714,6.983538145335e-10
"Rnase6",3.77592474576568e-14,1.18210080158771,0.818,0.524,7.57790337227714e-10
"Gcnt2",4.40276716167841e-14,-2.41397904632176,0.339,0.597,8.8359134167724e-10
"Tagln2",4.80303287670888e-14,-0.881556884098705,0.859,0.943,9.63920668026705e-10
"Nectin1",5.42797506674272e-14,-2.71482496981092,0.099,0.39,1.0893403161446e-09
"Fli1",6.1551700307955e-14,-1.46373056434649,0.484,0.657,1.23528107348035e-09
"Nsmce1",8.04468259598127e-14,1.36702916232557,0.604,0.26,1.61448735018748e-09
"Tap2",8.07653801650995e-14,0.742320997577364,0.943,0.711,1.62088041453338e-09
"Bcl6",9.18008499489398e-14,1.42459503694586,0.516,0.175,1.84235125762527e-09
"Il1r2",1.03756181457148e-13,-2.05872274703188,0.344,0.584,2.08228280566351e-09
"Phlpp1",1.14988127874292e-13,-2.03106536270792,0.281,0.537,2.30769673830917e-09
"Ccrl2",1.16772485055621e-13,2.78981879243869,0.307,0.06,2.34350700258127e-09
"Rpl23",1.74050194861234e-13,-0.250648723871658,0.995,1,3.49301336067011e-09
"Casp3",1.99003581541404e-13,1.21886152492216,0.677,0.34,3.99380287795443e-09
"Gpr33",2.03260164647648e-13,1.40222348487544,0.448,0.137,4.07922824431364e-09
"Frmd4a",2.16003198389831e-13,2.32100729569602,0.297,0.054,4.33496818848551e-09
"Dnase1l3",2.17265985555826e-13,0.839731188100084,0.948,0.778,4.36031106411987e-09
"Ap1ar",2.37685621580576e-13,1.1487468221322,0.516,0.171,4.77011273950057e-09
"Rps19",2.55271139257827e-13,-0.273394985435375,1,1,5.12303649376533e-09
"Pycard",2.63922991267026e-13,1.09395126292538,0.781,0.467,5.29667051173795e-09
"Ncoa7",2.66229254457768e-13,0.72764549809254,0.969,0.844,5.34295490771295e-09
"Mcl1",2.82085489104234e-13,-0.633098769211681,0.969,0.994,5.66117368083288e-09
"Irf7",3.01729056022233e-13,1.83428709734402,0.359,0.092,6.0554004253102e-09
"Dbnl",3.09188477107915e-13,0.783177905790056,0.932,0.667,6.20510354707874e-09
"Sf3b2",3.57550446847781e-13,0.790046070451992,0.88,0.635,7.17567991778812e-09
"H2-T22",3.90726962327079e-13,0.906647182375899,0.828,0.476,7.84149940694214e-09
"App",4.17273710961535e-13,1.07854496475951,0.75,0.365,8.37426610528705e-09
"Ifi204",4.17754237709692e-13,1.89829551854032,0.354,0.086,8.38390979659581e-09
