"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Spint1",1.31418254222769e-197,-8.64980041595617,0.001,0.158,2.63743294399676e-193
"Il22ra2",2.31272659274467e-80,-10.4535009614304,0.001,0.065,4.64141099897928e-76
"Saa3",9.11828563545802e-71,6.07140236956006,0.814,0.092,1.82994874418007e-66
"2900052N01Rik",1.82471410231946e-70,-8.22044073117194,0.002,0.076,3.66201873194492e-66
"Skint3",7.74396459600428e-68,-9.01286163225078,0,0.038,1.5541362547721e-63
"AW112010",9.50147531895677e-68,1.73290245650473,0.994,0.734,1.90685108176143e-63
"Ly6a",9.47719989377235e-60,2.08174643076811,0.936,0.359,1.90197924668117e-55
"Ifi213",2.11514020686223e-58,-9.6997839347198,0,0.033,4.24487488115182e-54
"Chil1",4.41912046747392e-53,2.4515869774043,0.847,0.266,8.86873286617341e-49
"Gbp2b",4.74739058672586e-53,2.47473781263336,0.828,0.201,9.52753816850012e-49
"Mgst1",1.43239842394123e-45,2.17758040725273,0.795,0.239,2.87468039700765e-41
"Ly6i",2.88167035380893e-45,1.79551335570251,0.906,0.429,5.78322423305915e-41
"Txn1",1.12382322685411e-44,1.19731510320536,0.986,0.739,2.25540083397351e-40
"Cd38",2.86907337691828e-42,2.01732304279961,0.767,0.223,5.75794336013731e-38
"Mgl2",7.83807119692417e-42,-5.02745598434669,0.014,0.141,1.57302250851071e-37
"Ctsc",5.96000954545366e-41,1.03661190215754,0.987,0.772,1.1961143156771e-36
"Sod2",1.46743422954199e-40,1.48457756783522,0.962,0.614,2.94499375526783e-36
"Trim5",1.62897434615709e-39,-10.5255049676164,0,0.022,3.26918861530266e-35
"Tspo",2.54658780183518e-39,1.15372429452579,0.976,0.663,5.11074705950303e-35
"Calhm6",6.48763752264799e-39,1.85298020983292,0.788,0.277,1.30200397442022e-34
"Bst1",1.26953609866848e-38,2.57327386871137,0.688,0.163,2.54783199641777e-34
"Cxcl9",1.78202945195388e-38,1.70861674652222,0.809,0.261,3.57635490712624e-34
"Pla2g7",5.43857733734132e-38,1.08021160922954,0.971,0.625,1.09146808583103e-33
"Plaat3",1.32154198423644e-37,1.56537418795741,0.778,0.261,2.65220260816411e-33
"Cfb",1.98356101928939e-37,1.85270413519479,0.849,0.364,3.98080860961189e-33
"Fcer1g",2.98383171134245e-36,0.72615814204506,0.994,0.777,5.98825186149316e-32
"Fcgr3",3.67538695742278e-36,1.0893293045125,0.942,0.527,7.37613408485177e-32
"Gm42418",4.537104648475e-36,-1.96171396938393,0.998,1,9.10551531902447e-32
"Ccrl2",4.54401881403456e-35,1.40426254355887,0.926,0.495,9.11939135788596e-31
"Acod1",5.97245206665098e-35,2.02495166948227,0.754,0.234,1.19861140525619e-30
"Gvin1",7.25168606718255e-35,-6.8059116957154,0,0.027,1.45534087682287e-30
"Retnla",9.60121574648686e-35,-8.35959561998276,0.001,0.033,1.92686798816245e-30
"Iigp1",4.0328079712795e-34,1.83148573020656,0.657,0.136,8.09344231756082e-30
"AB124611",7.49185677745784e-34,1.5840535567959,0.775,0.288,1.50354073666801e-29
"Psmb9",7.78222369585771e-34,1.04051799339288,0.932,0.527,1.56181447352168e-29
"Clec12a",1.36622702416505e-33,1.26307211181356,0.887,0.446,2.74188101479684e-29
"Aldoa",1.62360791434448e-33,1.08138180063789,0.952,0.63,3.25841872329793e-29
"Il18bp",2.30258771350045e-33,1.09143697736867,0.689,0.152,4.62106328222404e-29
"Stat1",3.24526058232149e-33,1.11271799131575,0.952,0.565,6.512913462661e-29
"Samhd1",6.30440552934435e-33,1.11376193277096,0.959,0.592,1.26523114568412e-28
"Fcgr4",1.05147164445153e-32,1.55541273453156,0.776,0.283,2.11019844324978e-28
"Tpm3-rs7",1.54155006337993e-32,3.19393636162133,0.486,0.011,3.09373682219717e-28
"Itgb2",4.52027480758389e-32,1.23677865383744,0.904,0.5,9.0717395113401e-28
"Prdx5",1.18011668839197e-31,1.05271530393522,0.991,0.793,2.36837618193384e-27
