"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Bmpr2",0.102104080671208,-0.30277172269223,0.221,0.252,1
"C330007P06Rik",0.102117797521417,0.0628821634259746,0.188,0.145,1
"Sirt7",0.102426107756372,0.18693384125449,0.286,0.238,1
"Gm5617",0.102622542519714,0.0651946967960302,0.182,0.144,1
"D730003I15Rik",0.102694305760169,0.279315791703218,0.112,0.084,1
"Srek1ip1",0.102748560098395,0.291565450521841,0.122,0.092,1
"Ensa",0.102766154577789,-0.207778245729329,0.5,0.514,1
"Asap2",0.102817070818978,-1.19505858934805,0.055,0.077,1
"Bcl2a1c",0.102961702370777,-1.25345372188931,0.018,0.034,1
"Yes1",0.103091191956567,-1.03710888045157,0.034,0.054,1
"Gm5165",0.103116617174013,-1.16256349499272,0.026,0.044,1
"Desi2",0.103121660430994,-0.266633350612786,0.247,0.276,1
"Zfp809",0.103169586976965,-0.645001720696813,0.099,0.126,1
"Kcnn4",0.103242662860234,0.319632617928548,0.143,0.111,1
"Osbpl7",0.103300653033429,0.361088419497607,0.055,0.036,1
"Washc5",0.103351548216185,0.130893325084514,0.19,0.15,1
"Zmiz2",0.103384718120868,-0.0957112420034131,0.688,0.693,1
"Sdf2l1",0.103527954979131,0.198908338901393,0.607,0.581,1
"Cryzl2",0.103765752389982,0.0928529258311372,0.086,0.061,1
"Mtch2",0.104086360731427,0.194278621165339,0.445,0.395,1
"6430590A07Rik",0.104297626874678,-1.18398560327985,0.013,0.027,1
"Fadd",0.10437841765193,0.297230671708001,0.052,0.033,1
"Itih5",0.104399683003048,-1.91963279800374,0,0.007,1
"Grin3a",0.104399683003048,-1.26552302917238,0,0.007,1
"Gm12655",0.104399683003048,-1.65306911928771,0,0.007,1
"Tmem82",0.104399683003048,-1.52473594469146,0,0.007,1
"Sdsl",0.104399683003048,-1.34007121994043,0,0.007,1
"A430078I02Rik",0.104399683003048,-1.6923872183349,0,0.007,1
"Klra3",0.104399683003048,-1.62398781689074,0,0.007,1
"Grik5",0.104399683003048,-1.31993892415406,0,0.007,1
"Mamstr",0.104399683003048,-1.35875560492394,0,0.007,1
