gene,pval_lower,pval_median,pval_upper,log2fc_lower,log2fc_median,log2fc_upper,median_Salmonella_infTLSwk6_median,median_IL10_KOTLS_median
Haao,0.08856750257537103,0.2615722360139493,1.0,0.0,0.0,0.0,0.0,0.0
C430042M11Rik,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1810073O08Rik,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
8430430B14Rik,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Gm19696,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Zfp36l2,0.0007335473709934008,0.0017888776467873766,0.006087403864745258,-29.747326119286075,-29.466856909360732,-29.201519179799604,0.7420066663118242,0.0
Thada,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Plekhh2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Dync2li1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Lrpprc,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1110020A21Rik,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Ppm1b,0.2615722360139493,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Prepl,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Camkmt,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Srbd1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Prkce,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Epas1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Rhoq,0.023345821050211796,0.2957986736283067,0.9689946775534558,0.030842221986821006,0.9841800292653193,29.000166840781166,0.2749519029449898,0.5372687508262546
Gm50012,0.2615722360139493,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Pigf,0.2615722360139493,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Cript,0.06909581646423751,0.4726680955783123,0.970681114551083,-0.22150460177401604,-0.09526631513386752,0.05245858151702166,0.6534148979078558,0.6089664115608627
Socs5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Mcfd2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
4833418N02Rik,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Ttc7,0.009501095540355024,0.08856750257537103,0.2615722360139493,-26.279227761839667,0.0,0.0,0.0,0.0
Calm2,0.18134476462649837,0.6238787012780821,1.0,-0.008972586191541055,0.06308278377940307,0.14523091967313573,1.2873364604616002,1.34736076279964
Gm30984,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Epcam,0.0028677490529391346,0.022643021023352115,0.22999483848400837,0.5334418082729897,1.3155578555738663,30.209045048722974,0.5033707557895313,1.2513137749074263
Msh2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Msh6,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Fbxo11,0.002778685068188869,0.062077525274525876,0.6993022710519221,-28.551187911159378,-26.97240939777157,0.0,0.13167528916464424,0.0
Foxn2,0.012791635946468309,0.12803324454997875,0.6686253628132339,0.0,0.0,28.664543740950723,0.0,0.0
Ppp1r21,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Ston1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Gtf2a1l,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Gm10184,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Nrxn1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Mettl4,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Gm1976,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Gm20939,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
